EEG.O1,EEG.O2,MarkerValueInt
4174.487305,4170.384766,3.0
4173.846191,4174.743652,3.0
4169.102539,4165.384766,3.0
4171.538574,4155.897461,3.0
4176.410156,4159.102539,3.0
4172.05127,4157.692383,3.0
4167.94873,4151.410156,3.0
4170.128418,4153.846191,3.0
4168.846191,4156.153809,3.0
4165.769043,4152.179688,3.0
4167.692383,4158.717773,3.0
4170.769043,4166.922852,3.0
4170.641113,4160.256348,3.0
4168.974121,4159.358887,3.0
4168.461426,4169.358887,3.0
4167.94873,4166.410156,3.0
4166.410156,4153.589844,3.0
4167.94873,4152.436035,3.0
4171.410156,4157.820313,3.0
4170.641113,4155.384766,3.0
4168.461426,4152.820313,3.0
4168.333496,4155.256348,3.0
4168.717773,4157.820313,3.0
4172.05127,4158.333496,3.0
4176.282227,4157.692383,3.0
4172.563965,4157.692383,3.0
4167.692383,4155.512695,3.0
4168.974121,4154.487305,3.0
4170.897461,4159.487305,3.0
4176.538574,4166.025879,3.0
4184.230957,4169.615234,3.0
4183.846191,4169.230957,3.0
4181.666504,4168.717773,3.0
4180.256348,4166.282227,3.0
4173.974121,4162.563965,3.0
4172.94873,4164.487305,3.0
4184.102539,4174.615234,3.0
4189.871582,4182.820313,3.0
4185.512695,4176.666504,3.0
4182.563965,4166.794922,3.0
4183.589844,4167.820313,3.0
4185.384766,4173.077148,3.0
4185.641113,4174.102539,3.0
4184.102539,4172.94873,3.0
4182.94873,4171.410156,3.0
4184.230957,4170.641113,3.0
4184.615234,4171.666504,3.0
4183.461426,4173.205078,3.0
4187.05127,4178.333496,3.0
4189.358887,4184.615234,3.0
4184.102539,4186.538574,3.0
4181.666504,4182.94873,3.0
4185.769043,4179.358887,3.0
4188.846191,4183.461426,3.0
4187.94873,4189.230957,3.0
4185.0,4185.769043,3.0
4182.563965,4180.256348,3.0
4184.871582,4184.615234,3.0
4187.820313,4187.563965,3.0
4183.205078,4184.230957,3.0
4181.538574,4189.871582,3.0
4192.563965,4202.692383,3.0
4199.230957,4203.846191,3.0
4189.871582,4193.333496,3.0
4181.922852,4185.641113,3.0
4186.282227,4185.256348,3.0
4187.05127,4184.615234,3.0
4185.0,4184.487305,3.0
4188.589844,4190.512695,3.0
4189.743652,4193.589844,3.0
4191.794922,4193.589844,3.0
4197.436035,4200.256348,3.0
4197.436035,4202.94873,3.0
4196.153809,4197.692383,3.0
4198.974121,4198.974121,3.0
4200.0,4202.563965,3.0
4198.461426,4198.589844,3.0
4200.256348,4198.974121,3.0
4199.743652,4203.077148,3.0
4196.666504,4202.436035,3.0
4195.512695,4197.94873,3.0
4192.179688,4196.153809,3.0
4187.94873,4200.384766,3.0
4185.128418,4199.615234,3.0
4183.846191,4191.666504,3.0
4184.358887,4186.666504,3.0
4188.589844,4189.358887,3.0
4184.743652,4185.256348,3.0
4170.256348,4169.615234,3.0
4172.820313,4169.871582,3.0
4188.461426,4184.230957,3.0
4185.256348,4181.282227,3.0
4168.717773,4166.410156,3.0
4165.512695,4165.769043,3.0
4176.282227,4174.102539,3.0
4182.563965,4178.205078,3.0
4180.769043,4181.794922,3.0
4182.436035,4185.256348,3.0
4189.487305,4187.692383,3.0
4182.820313,4185.769043,3.0
4173.205078,4182.179688,3.0
4181.282227,4185.512695,3.0
4189.487305,4190.384766,3.0
4184.615234,4186.153809,3.0
4181.538574,4183.205078,3.0
4186.922852,4193.461426,3.0
4191.538574,4203.077148,3.0
4189.358887,4194.358887,3.0
4186.922852,4184.102539,3.0
4195.256348,4193.461426,3.0
4201.794922,4201.922852,3.0
4190.0,4192.820313,3.0
4179.358887,4182.563965,3.0
4182.307617,4183.077148,3.0
4179.230957,4185.897461,3.0
4169.871582,4183.589844,3.0
4174.487305,4182.179688,3.0
4187.05127,4184.230957,3.0
4183.846191,4184.615234,3.0
4173.846191,4180.897461,3.0
4174.487305,4181.282227,3.0
4177.179688,4187.563965,3.0
4174.487305,4188.461426,3.0
4170.128418,4183.846191,3.0
4169.102539,4182.563965,3.0
4175.769043,4186.025879,3.0
4181.410156,4188.461426,3.0
4180.256348,4186.025879,3.0
4179.743652,4185.256348,3.0
4178.333496,4180.384766,3.0
4173.461426,4170.512695,3.0
4176.025879,4176.538574,3.0
4177.692383,4187.563965,3.0
4168.461426,4178.846191,3.0
4168.461426,4172.94873,3.0
4180.641113,4190.384766,3.0
4184.102539,4199.358887,3.0
4180.769043,4193.077148,3.0
4182.05127,4191.666504,3.0
4185.641113,4191.922852,3.0
4184.102539,4191.666504,3.0
4182.307617,4192.436035,3.0
4183.974121,4189.230957,3.0
4179.615234,4183.717773,3.0
4177.436035,4183.846191,3.0
4182.307617,4182.05127,3.0
4181.666504,4178.205078,3.0
4177.94873,4180.897461,3.0
4181.666504,4189.615234,3.0
4185.128418,4196.153809,3.0
4181.538574,4196.282227,3.0
4184.487305,4200.897461,3.0
4187.820313,4201.666504,3.0
4178.589844,4188.205078,3.0
4172.692383,4179.871582,3.0
4180.384766,4186.794922,3.0
4186.538574,4188.077148,3.0
4181.153809,4181.922852,3.0
4181.666504,4185.0,3.0
4183.205078,4187.05127,3.0
4176.153809,4184.102539,3.0
4176.794922,4186.410156,3.0
4177.563965,4188.461426,3.0
4170.769043,4185.769043,3.0
4174.871582,4186.025879,3.0
4181.282227,4187.692383,3.0
4174.743652,4188.461426,3.0
4171.538574,4187.692383,3.0
4173.205078,4179.871582,3.0
4170.384766,4177.94873,3.0
4170.641113,4182.05127,3.0
4169.871582,4176.922852,3.0
4166.922852,4172.05127,3.0
4169.743652,4173.717773,3.0
4171.538574,4173.717773,3.0
4169.102539,4176.538574,3.0
4169.358887,4185.256348,3.0
4171.282227,4187.692383,3.0
4170.769043,4182.307617,3.0
4168.461426,4177.563965,3.0
4167.05127,4179.743652,3.0
4168.589844,4184.102539,3.0
4169.358887,4178.333496,3.0
4168.846191,4169.743652,3.0
4171.282227,4172.05127,3.0
4172.307617,4179.358887,3.0
4171.153809,4183.461426,3.0
4172.94873,4186.153809,3.0
4174.358887,4188.205078,3.0
4168.717773,4186.666504,3.0
4166.666504,4185.384766,3.0
4174.230957,4187.563965,3.0
4174.743652,4189.871582,3.0
4168.589844,4185.0,3.0
4167.820313,4174.487305,3.0
4169.358887,4175.0,3.0
4166.922852,4182.436035,3.0
4160.641113,4177.436035,3.0
4155.384766,4167.692383,3.0
4160.0,4168.205078,3.0
4168.846191,4176.282227,3.0
4164.487305,4181.282227,3.0
4159.615234,4177.179688,3.0
4160.512695,4168.589844,3.0
4158.974121,4166.282227,3.0
4160.0,4169.102539,3.0
4163.589844,4172.436035,3.0
4165.512695,4176.410156,3.0
4163.846191,4172.436035,3.0
4158.205078,4170.641113,3.0
4152.692383,4171.794922,3.0
4156.153809,4160.769043,3.0
4166.666504,4158.717773,3.0
4171.538574,4171.794922,3.0
4166.410156,4172.692383,3.0
4156.153809,4163.461426,3.0
4154.487305,4165.0,3.0
4156.410156,4164.102539,3.0
4153.717773,4153.461426,3.0
4154.230957,4158.077148,3.0
4155.641113,4172.05127,3.0
4154.358887,4168.846191,3.0
4152.563965,4155.128418,3.0
4154.230957,4157.94873,3.0
4158.589844,4171.025879,3.0
4157.94873,4170.384766,3.0
4159.102539,4164.487305,3.0
4166.666504,4168.077148,3.0
4167.307617,4172.179688,3.0
4164.615234,4169.743652,3.0
4164.230957,4167.05127,3.0
4160.641113,4168.846191,3.0
4159.743652,4171.794922,3.0
4164.871582,4173.333496,3.0
4159.358887,4167.563965,3.0
4152.563965,4160.0,3.0
4161.794922,4163.974121,3.0
4169.358887,4170.641113,3.0
4171.794922,4173.589844,3.0
4170.384766,4171.666504,3.0
4164.743652,4168.205078,3.0
4167.05127,4172.563965,3.0
4171.538574,4176.282227,3.0
4170.641113,4175.128418,3.0
4172.94873,4181.153809,3.0
4175.128418,4185.641113,3.0
4169.487305,4174.102539,3.0
4170.512695,4167.436035,3.0
4176.538574,4172.05127,3.0
4171.025879,4168.974121,3.0
4166.794922,4166.666504,3.0
4176.410156,4175.256348,3.0
4184.615234,4185.641113,3.0
4178.717773,4185.897461,3.0
4169.230957,4178.333496,3.0
4166.538574,4170.897461,3.0
4168.974121,4167.563965,3.0
4171.922852,4168.589844,3.0
4171.410156,4168.846191,3.0
4168.717773,4171.025879,3.0
4170.128418,4176.282227,3.0
4172.05127,4175.384766,3.0
4168.461426,4168.717773,3.0
4165.256348,4169.743652,3.0
4167.94873,4176.666504,3.0
4172.692383,4176.282227,3.0
4169.743652,4170.769043,3.0
4165.0,4166.153809,3.0
4169.487305,4169.358887,3.0
4171.538574,4173.333496,3.0
4165.769043,4165.256348,3.0
4166.282227,4159.615234,3.0
4171.794922,4168.974121,3.0
4169.230957,4176.922852,3.0
4164.871582,4168.589844,3.0
4168.846191,4164.615234,3.0
4167.05127,4170.256348,3.0
4158.077148,4167.94873,3.0
4156.153809,4160.0,3.0
4158.461426,4156.666504,3.0
4156.794922,4157.563965,3.0
4155.512695,4155.128418,3.0
4155.641113,4153.846191,3.0
4159.487305,4162.563965,3.0
4160.65918,4163.47998,3.0
4161.831543,4164.395508,3.0
4163.003906,4165.311523,3.0
4164.175781,4166.227051,3.0
4165.348145,4167.143066,3.0
