EEG.O1,EEG.O2,MarkerValueInt
4152.179688,4159.871582,5.0
4148.077148,4146.410156,5.0
4157.307617,4165.769043,5.0
4160.0,4170.641113,5.0
4150.384766,4154.487305,5.0
4151.282227,4157.820313,5.0
4159.358887,4165.769043,5.0
4157.179688,4157.820313,5.0
4152.820313,4154.743652,5.0
4149.487305,4160.256348,5.0
4139.487305,4151.794922,5.0
4135.128418,4140.641113,5.0
4140.769043,4142.436035,5.0
4137.179688,4141.666504,5.0
4136.153809,4138.077148,5.0
4147.05127,4139.230957,5.0
4147.692383,4143.717773,5.0
4137.692383,4141.153809,5.0
4131.794922,4135.769043,5.0
4139.230957,4142.436035,5.0
4152.179688,4150.897461,5.0
4156.410156,4153.461426,5.0
4152.563965,4152.436035,5.0
4148.589844,4152.692383,5.0
4153.717773,4159.615234,5.0
4166.410156,4171.282227,5.0
4168.461426,4170.0,5.0
4154.102539,4155.384766,5.0
4151.153809,4157.436035,5.0
4159.871582,4170.897461,5.0
4157.179688,4172.05127,5.0
4156.153809,4165.128418,5.0
4157.820313,4157.179688,5.0
4154.615234,4158.589844,5.0
4160.897461,4171.025879,5.0
4173.077148,4174.615234,5.0
4173.077148,4172.05127,5.0
4161.666504,4176.794922,5.0
4161.410156,4177.05127,5.0
4166.922852,4171.794922,5.0
4158.717773,4166.794922,5.0
4148.974121,4161.794922,5.0
4154.102539,4165.384766,5.0
4163.077148,4170.256348,5.0
4159.615234,4160.512695,5.0
4152.820313,4155.641113,5.0
4156.666504,4168.846191,5.0
4170.256348,4176.410156,5.0
4171.922852,4168.461426,5.0
4163.717773,4169.871582,5.0
4170.128418,4184.230957,5.0
4176.025879,4183.461426,5.0
4168.077148,4176.666504,5.0
4163.589844,4179.487305,5.0
4169.615234,4184.871582,5.0
4175.256348,4192.05127,5.0
4172.94873,4195.512695,5.0
4170.128418,4189.871582,5.0
4167.179688,4184.230957,5.0
4156.025879,4177.307617,5.0
4151.153809,4164.743652,5.0
4162.563965,4171.666504,5.0
4172.05127,4195.641113,5.0
4175.0,4203.846191,5.0
4183.077148,4201.666504,5.0
4185.256348,4203.461426,5.0
4175.0,4200.0,5.0
4168.205078,4188.461426,5.0
4170.769043,4185.128418,5.0
4173.205078,4190.384766,5.0
4169.230957,4186.538574,5.0
4165.384766,4181.538574,5.0
4171.025879,4193.717773,5.0
4176.538574,4202.436035,5.0
4173.205078,4191.025879,5.0
4169.743652,4183.461426,5.0
