EEG.O1,EEG.O2,MarkerValueInt
4186.282227,4157.692383,1.0
4185.384766,4156.794922,1.0
4184.743652,4154.871582,1.0
4175.897461,4154.230957,1.0
4169.615234,4152.436035,1.0
4178.461426,4153.589844,1.0
4185.897461,4155.384766,1.0
4186.153809,4157.307617,1.0
4182.05127,4153.077148,1.0
4178.077148,4147.05127,1.0
4182.436035,4148.205078,1.0
4186.282227,4153.589844,1.0
4181.538574,4158.717773,1.0
4173.717773,4157.436035,1.0
4160.769043,4140.769043,1.0
4149.615234,4130.512695,1.0
4156.410156,4146.410156,1.0
4156.922852,4144.487305,1.0
4138.333496,4115.0,1.0
4132.563965,4112.307617,1.0
4142.692383,4126.153809,1.0
4145.384766,4122.179688,1.0
4147.820313,4125.0,1.0
4160.641113,4146.922852,1.0
4171.922852,4158.461426,1.0
4168.333496,4151.922852,1.0
4154.487305,4140.897461,1.0
4157.179688,4141.410156,1.0
4177.94873,4157.05127,1.0
4179.487305,4156.538574,1.0
4160.769043,4135.512695,1.0
4154.615234,4130.384766,1.0
4159.230957,4135.384766,1.0
4155.256348,4132.563965,1.0
4150.128418,4126.410156,1.0
4152.563965,4125.384766,1.0
4155.128418,4133.974121,1.0
4153.974121,4137.179688,1.0
4152.05127,4124.230957,1.0
4152.436035,4120.897461,1.0
4158.205078,4141.666504,1.0
4154.871582,4141.025879,1.0
4138.333496,4109.358887,1.0
4131.410156,4102.94873,1.0
4140.0,4123.077148,1.0
4143.974121,4129.615234,1.0
4142.05127,4122.436035,1.0
4144.102539,4126.025879,1.0
4144.615234,4129.358887,1.0
4136.538574,4117.692383,1.0
4124.743652,4102.94873,1.0
4127.179688,4104.230957,1.0
4146.794922,4125.897461,1.0
4160.769043,4144.358887,1.0
4155.769043,4141.025879,1.0
4144.102539,4125.641113,1.0
4135.641113,4113.589844,1.0
4134.871582,4114.358887,1.0
4147.179688,4128.333496,1.0
4154.615234,4135.128418,1.0
4144.871582,4127.563965,1.0
4137.563965,4125.0,1.0
4137.05127,4120.897461,1.0
4129.487305,4109.871582,1.0
4127.436035,4112.563965,1.0
4143.974121,4126.153809,1.0
4155.384766,4132.179688,1.0
4153.077148,4133.461426,1.0
4154.358887,4141.410156,1.0
4162.563965,4150.384766,1.0
4158.333496,4146.282227,1.0
4141.153809,4129.358887,1.0
4139.871582,4125.512695,1.0
4146.410156,4131.410156,1.0
4131.282227,4110.769043,1.0
4115.897461,4087.820557,1.0
4121.153809,4096.282227,1.0
4123.974121,4107.307617,1.0
4117.307617,4101.153809,1.0
4120.641113,4096.410156,1.0
4125.512695,4102.563965,1.0
4123.333496,4105.256348,1.0
4128.846191,4109.102539,1.0
4138.846191,4117.820313,1.0
4146.025879,4122.692383,1.0
4151.410156,4131.282227,1.0
4154.487305,4140.897461,1.0
4154.487305,4136.538574,1.0
4148.333496,4123.974121,1.0
4141.153809,4120.256348,1.0
4145.897461,4124.102539,1.0
4158.846191,4127.692383,1.0
4152.94873,4123.589844,1.0
4136.410156,4108.974121,1.0
4133.717773,4103.589844,1.0
4139.615234,4115.128418,1.0
4142.563965,4124.102539,1.0
4141.666504,4120.256348,1.0
4135.512695,4113.846191,1.0
4128.589844,4108.461426,1.0
4132.692383,4105.0,1.0
4138.974121,4110.0,1.0
4138.974121,4121.025879,1.0
4144.358887,4123.974121,1.0
4151.410156,4121.538574,1.0
4146.410156,4126.666504,1.0
4137.436035,4120.128418,1.0
4143.974121,4112.563965,1.0
4157.05127,4128.846191,1.0
4157.563965,4134.743652,1.0
4150.256348,4118.589844,1.0
4149.615234,4121.666504,1.0
4155.897461,4138.205078,1.0
4155.0,4134.102539,1.0
4141.794922,4118.589844,1.0
4137.820313,4115.0,1.0
4151.794922,4125.384766,1.0
4154.102539,4128.974121,1.0
4138.333496,4112.436035,1.0
4132.563965,4102.179688,1.0
4132.05127,4104.230957,1.0
4120.897461,4095.0,1.0
4121.282227,4090.641113,1.0
4130.641113,4103.974121,1.0
4123.846191,4105.897461,1.0
4121.922852,4102.563965,1.0
4137.179688,4115.256348,1.0
4144.358887,4123.077148,1.0
4136.794922,4113.333496,1.0
4137.179688,4108.077148,1.0
4137.692383,4111.538574,1.0
4126.538574,4102.94873,1.0
4119.743652,4089.743652,1.0
4122.307617,4089.230713,1.0
4127.179688,4097.563965,1.0
4134.358887,4107.307617,1.0
4147.307617,4118.205078,1.0
4154.102539,4121.538574,1.0
4145.128418,4109.230957,1.0
4137.692383,4105.641113,1.0
4145.0,4123.333496,1.0
4153.461426,4137.94873,1.0
4154.230957,4138.077148,1.0
4155.128418,4139.871582,1.0
4155.512695,4144.615234,1.0
4151.922852,4137.436035,1.0
4149.358887,4129.358887,1.0
4152.436035,4134.743652,1.0
4153.846191,4142.05127,1.0
4150.769043,4134.230957,1.0
4150.384766,4128.205078,1.0
4153.717773,4135.256348,1.0
4153.974121,4137.307617,1.0
4152.436035,4136.282227,1.0
4155.512695,4143.205078,1.0
4155.512695,4147.179688,1.0
4141.025879,4131.922852,1.0
4121.666504,4108.717773,1.0
4122.05127,4103.846191,1.0
4137.307617,4124.358887,1.0
4141.666504,4137.307617,1.0
4135.641113,4124.743652,1.0
4136.666504,4119.358887,1.0
4139.871582,4124.871582,1.0
4143.717773,4127.05127,1.0
4159.102539,4145.769043,1.0
4167.179688,4163.974121,1.0
4156.153809,4152.05127,1.0
4151.153809,4143.589844,1.0
4161.922852,4153.205078,1.0
4171.794922,4156.666504,1.0
4173.589844,4158.846191,1.0
4164.743652,4155.256348,1.0
4153.589844,4138.333496,1.0
4157.436035,4136.410156,1.0
4168.846191,4154.743652,1.0
4172.563965,4162.820313,1.0
4161.794922,4151.922852,1.0
4150.641113,4142.436035,1.0
4154.743652,4146.282227,1.0
4161.538574,4157.94873,1.0
4162.563965,4168.333496,1.0
4166.922852,4174.615234,1.0
4172.563965,4171.538574,1.0
4171.794922,4167.820313,1.0
4172.692383,4177.94873,1.0
4173.589844,4184.871582,1.0
4166.794922,4170.384766,1.0
4165.128418,4158.589844,1.0
4172.563965,4171.025879,1.0
4173.077148,4180.0,1.0
4169.615234,4173.846191,1.0
4179.102539,4179.871582,1.0
4189.487305,4191.922852,1.0
4185.256348,4190.0,1.0
4180.769043,4187.820313,1.0
4186.666504,4200.0,1.0
4190.512695,4206.153809,1.0
4182.179688,4193.589844,1.0
4176.153809,4180.128418,1.0
4184.615234,4185.256348,1.0
4191.025879,4193.205078,1.0
4183.077148,4185.897461,1.0
4182.436035,4186.794922,1.0
4194.487305,4203.333496,1.0
4194.358887,4208.077148,1.0
4184.358887,4199.230957,1.0
4183.589844,4196.794922,1.0
4188.461426,4203.461426,1.0
4186.410156,4205.384766,1.0
4184.615234,4202.307617,1.0
4188.333496,4199.487305,1.0
4185.256348,4195.256348,1.0
4178.846191,4190.769043,1.0
4182.563965,4199.871582,1.0
4187.692383,4208.461426,1.0
4181.794922,4203.333496,1.0
4179.487305,4203.846191,1.0
4191.538574,4220.897461,1.0
4206.153809,4240.384766,1.0
4215.384766,4253.333496,1.0
4216.025879,4249.230957,1.0
4212.563965,4232.563965,1.0
4216.153809,4235.128418,1.0
4219.743652,4250.769043,1.0
4216.538574,4250.0,1.0
4213.974121,4242.436035,1.0
4217.179688,4247.820313,1.0
4226.410156,4258.077148,1.0
4233.205078,4258.461426,1.0
4231.025879,4260.384766,1.0
4239.230957,4281.538574,1.0
4260.769043,4302.820313,1.0
4259.615234,4293.717773,1.0
4252.179688,4291.666504,1.0
4270.128418,4316.794922,1.0
