EEG.O1,EEG.O2,MarkerValueInt
4175.641113,4185.769043,5.0
4176.282227,4183.589844,5.0
4176.282227,4187.436035,5.0
4175.897461,4185.641113,5.0
4172.436035,4177.436035,5.0
4169.230957,4175.897461,5.0
4168.205078,4179.230957,5.0
4167.94873,4171.282227,5.0
4168.077148,4172.94873,5.0
4168.461426,4183.974121,5.0
4168.205078,4178.717773,5.0
4171.025879,4173.717773,5.0
4174.230957,4183.077148,5.0
4172.05127,4183.974121,5.0
4170.128418,4174.487305,5.0
4171.282227,4175.897461,5.0
4171.538574,4176.794922,5.0
4170.897461,4175.384766,5.0
4171.025879,4178.974121,5.0
4170.641113,4178.077148,5.0
4168.846191,4173.974121,5.0
4173.589844,4177.179688,5.0
4179.743652,4180.256348,5.0
4177.820313,4183.333496,5.0
4173.589844,4186.153809,5.0
4173.717773,4185.256348,5.0
4173.974121,4183.974121,5.0
4171.794922,4186.153809,5.0
4171.282227,4179.871582,5.0
4173.077148,4170.641113,5.0
4173.333496,4174.358887,5.0
4170.128418,4176.922852,5.0
4170.128418,4171.922852,5.0
4176.794922,4171.666504,5.0
4176.282227,4178.846191,5.0
4169.102539,4175.897461,5.0
4165.769043,4167.563965,5.0
4167.436035,4162.820313,5.0
4166.794922,4162.307617,5.0
4160.256348,4161.666504,5.0
4158.333496,4161.282227,5.0
4165.256348,4162.94873,5.0
4170.128418,4168.461426,5.0
4169.615234,4176.282227,5.0
4170.128418,4177.820313,5.0
4171.666504,4175.256348,5.0
4171.410156,4173.205078,5.0
4169.743652,4167.692383,5.0
4167.94873,4161.282227,5.0
4166.922852,4164.615234,5.0
4168.333496,4168.333496,5.0
4168.589844,4163.974121,5.0
4168.589844,4161.794922,5.0
4167.94873,4162.436035,5.0
4165.897461,4161.538574,5.0
4168.333496,4169.230957,5.0
4171.410156,4174.358887,5.0
4167.05127,4166.538574,5.0
4163.974121,4163.333496,5.0
4162.307617,4162.820313,5.0
4160.256348,4158.846191,5.0
4161.282227,4161.282227,5.0
4158.974121,4161.410156,5.0
4153.974121,4155.0,5.0
4159.358887,4159.358887,5.0
4169.230957,4167.436035,5.0
4170.641113,4171.025879,5.0
4170.256348,4171.410156,5.0
4169.615234,4168.461426,5.0
4167.179688,4166.538574,5.0
4168.333496,4175.128418,5.0
4168.077148,4174.871582,5.0
4163.205078,4169.358887,5.0
4162.94873,4176.153809,5.0
4167.820313,4181.153809,5.0
4168.589844,4175.384766,5.0
4167.94873,4172.436035,5.0
4171.153809,4178.974121,5.0
4171.410156,4176.922852,5.0
4169.230957,4175.897461,5.0
4170.128418,4178.205078,5.0
4168.205078,4171.153809,5.0
4166.410156,4167.563965,5.0
4169.871582,4176.025879,5.0
4171.794922,4175.384766,5.0
4167.692383,4169.102539,5.0
4167.94873,4172.436035,5.0
4173.717773,4175.384766,5.0
4173.461426,4174.230957,5.0
4173.333496,4176.025879,5.0
4181.922852,4177.05127,5.0
4186.153809,4177.307617,5.0
4184.487305,4179.743652,5.0
4183.333496,4180.256348,5.0
4176.282227,4173.461426,5.0
4167.563965,4164.743652,5.0
4171.794922,4169.358887,5.0
4174.743652,4174.615234,5.0
4174.487305,4170.256348,5.0
4179.487305,4169.615234,5.0
4177.563965,4177.179688,5.0
4174.615234,4183.846191,5.0
4182.436035,4190.256348,5.0
4187.692383,4196.538574,5.0
4183.717773,4198.589844,5.0
4183.333496,4194.102539,5.0
4181.282227,4185.641113,5.0
4175.0,4174.871582,5.0
4175.256348,4168.461426,5.0
4176.153809,4171.282227,5.0
4175.384766,4175.897461,5.0
4180.256348,4181.410156,5.0
4187.692383,4189.615234,5.0
4187.179688,4189.615234,5.0
4183.077148,4179.487305,5.0
4182.692383,4179.743652,5.0
4184.487305,4181.666504,5.0
4184.358887,4178.846191,5.0
4182.05127,4177.563965,5.0
4181.794922,4181.282227,5.0
4184.615234,4187.436035,5.0
4182.436035,4186.922852,5.0
4173.846191,4179.871582,5.0
4169.230957,4172.94873,5.0
4176.282227,4177.436035,5.0
4181.025879,4184.358887,5.0
4178.077148,4181.153809,5.0
4175.641113,4172.692383,5.0
4177.94873,4174.615234,5.0
4181.410156,4181.538574,5.0
4183.461426,4179.743652,5.0
4181.410156,4175.897461,5.0
4174.487305,4173.846191,5.0
4171.538574,4169.871582,5.0
4175.0,4172.820313,5.0
4180.256348,4178.974121,5.0
4184.615234,4179.615234,5.0
4182.05127,4176.794922,5.0
4174.871582,4176.666504,5.0
4176.666504,4177.94873,5.0
4180.0,4175.384766,5.0
4174.358887,4175.0,5.0
4175.769043,4175.128418,5.0
4185.384766,4174.743652,5.0
4184.102539,4172.179688,5.0
4175.256348,4172.05127,5.0
4173.846191,4178.205078,5.0
4173.461426,4182.179688,5.0
4171.282227,4171.410156,5.0
4168.461426,4160.384766,5.0
4166.794922,4161.666504,5.0
4169.102539,4163.333496,5.0
4171.282227,4160.641113,5.0
4170.256348,4159.230957,5.0
4168.846191,4157.820313,5.0
4170.769043,4159.871582,5.0
4173.461426,4170.0,5.0
4171.794922,4169.102539,5.0
4168.461426,4161.538574,5.0
4167.563965,4160.512695,5.0
4168.077148,4160.512695,5.0
4171.538574,4161.794922,5.0
4174.487305,4169.743652,5.0
4171.538574,4169.871582,5.0
4167.179688,4160.256348,5.0
4168.717773,4159.102539,5.0
4172.820313,4170.128418,5.0
