,EEG.O1,EEG.O2,MarkerValueInt
0,8.3612,14.436,4
1,10.008,20.279,4
2,6.2439,17.604,4
3,3.0484,12.516,4
4,2.4677,8.5145,4
5,1.7384,4.5241,4
6,-0.40547,0.052506,4
7,-1.6117,-2.8422,4
8,-0.6005,-3.6964,4
9,0.46975,-5.3608,4
10,-0.071782,-9.1709,4
11,-0.82886,-11.749,4
12,-0.84845,-9.9054,4
13,-2.2709,-6.2043,4
14,-6.2866,-5.3007,4
15,-9.1079,-5.9333,4
16,-6.1616,-1.9568,4
17,0.82492,7.5165,4
18,5.1809,14.318,4
19,3.9327,11.356,4
20,1.223,2.9991,4
21,1.8923,0.030324,4
22,5.0379,5.4073,4
23,6.2447,10.705,4
24,3.8785,7.7147,4
25,0.32787,-1.5645,4
26,-1.8906,-9.262,4
27,-2.5197,-11.668,4
28,-2.23,-10.577,4
29,-1.2502,-7.3512,4
30,0.095203,-1.4233,4
31,0.99443,5.2564,4
32,0.92364,7.6764,4
33,-0.021351,4.1639,4
34,-1.5751,-0.21005,4
35,-3.0294,0.12642,4
36,-2.8078,3.748,4
37,-0.1156,4.5616,4
38,2.7326,0.47167,4
39,1.8126,-4.4485,4
40,-3.3402,-6.7065,4
41,-7.9309,-7.8113,4
42,-7.032,-9.6904,4
43,-1.4229,-9.577,4
44,3.6892,-3.7871,4
45,5.1034,5.2503,4
46,4.4919,10.678,4
47,4.7943,10.086,4
48,6.0826,8.1179,4
49,6.1354,8.7323,4
50,3.7343,9.2006,4
51,0.081879,5.1115,4
52,-2.5927,-1.7974,4
53,-3.1051,-5.5319,4
54,-2.2452,-4.5588,4
55,-1.8741,-3.6979,4
56,-2.7847,-6.2608,4
57,-3.7073,-8.6954,4
58,-3.158,-6.0497,4
59,-1.7385,0.0941,4
60,-1.181,3.236,4
61,-1.5083,0.64732,4
62,-1.2315,-3.5278,4
63,-0.40228,-4.4236,4
64,-0.71211,-2.1289,4
65,-1.683,0.50511,4
66,0.0086425,2.6973,4
67,5.1547,5.4055,4
68,8.9183,7.8504,4
69,6.6804,7.7474,4
70,0.97036,4.7794,4
71,-1.8071,1.1375,4
72,-0.51721,-1.499,4
73,-0.068329,-3.0983,4
74,-2.7622,-3.3883,4
75,-4.4947,-1.7776,4
76,-1.8635,0.17852,4
77,1.9916,-0.57702,4
78,2.5809,-3.912,4
79,1.2348,-5.4388,4
80,1.9845,-2.4928,4
81,3.583,1.4639,4
82,0.64392,1.5745,4
83,-7.1076,-1.2801,4
84,-12.225,-1.9728,4
85,-8.6098,1.1662,4
86,0.29999,4.3177,4
87,5.6015,4.1881,4
88,3.5732,2.1533,4
89,-0.83591,0.94226,4
90,-1.0652,0.41039,4
91,3.2509,-1.0004,4
92,7.0767,-2.6565,4
93,7.0468,-2.3263,4
94,4.9994,0.28221,4
95,3.884,2.7319,4
96,2.8703,2.7416,4
97,-0.69533,0.60986,4
98,-5.7019,-1.4534,4
99,-7.5996,-1.8039,4
100,-5.145,-1.0984,4
101,-2.9124,-1.5078,4
102,-4.4245,-3.6194,4
103,-6.0562,-4.5731,4
104,-2.2428,-1.2653,4
105,4.9181,4.1846,4
106,6.9941,5.1771,4
107,1.0791,-0.79029,4
108,-5.0621,-6.9112,4
109,-3.0134,-4.6339,4
110,4.9272,4.6274,4
111,9.0496,10.438,4
112,5.125,6.8282,4
113,-1.0739,-0.34951,4
114,-2.4925,-2.2811,4
115,0.53693,1.2036,4
116,2.647,3.5713,4
117,1.385,2.0279,4
118,-0.7048,-0.12539,4
119,-1.1356,-0.93376,4
120,-1.2394,-3.1837,4
121,-3.5054,-8.2563,4
122,-6.9309,-11.637,4
123,-7.3046,-8.448,4
124,-2.4146,-0.63408,4
125,4.5258,5.3584,4
126,7.7871,6.5209,4
127,4.9488,5.0227,4
128,-1.1033,2.8796,4
129,-5.5514,-0.55285,4
130,-5.8258,-4.7956,4
131,-2.5701,-6.0754,4
132,2.0561,-1.6686,4
133,6.1673,5.8401,4
134,8.658,11.21,4
135,8.5529,11.952,4
136,4.6628,8.8804,4
137,-2.6948,3.158,4
138,-9.3963,-3.8703,4
139,-9.5489,-8.9058,4
140,-2.371,-8.8834,4
141,4.7418,-5.5355,4
142,3.9272,-4.0773,4
143,-2.8503,-5.9365,4
144,-5.8833,-6.4073,4
145,-1.0209,-1.9999,4
146,4.5218,3.3674,4
147,2.9138,3.6838,4
148,-2.761,0.11605,4
149,-3.656,-0.45723,4
150,1.1522,4.0219,4
151,3.7639,7.4435,4
152,0.30428,4.7272,4
153,-3.0404,-0.56699,4
154,0.04043,-1.5836,4
155,6.1218,2.1969,4
156,7.1491,5.1334,4
157,1.664,3.5509,4
158,-4.3884,-0.58462,4
159,-6.1317,-3.6097,4
160,-4.1335,-4.124,4
161,-1.1563,-2.9339,4
162,0.9947,-1.9254,4
163,1.2961,-2.9318,4
164,-0.12565,-5.2133,4
165,-1.0065,-4.8039,4
166,0.68172,0.37486,4
167,3.145,5.5577,4
168,2.5923,3.9344,4
169,-0.96741,-3.0523,4
170,-3.0456,-5.5633,4
171,-0.95771,1.7126,4
172,2.2224,11.14,4
173,1.968,11.38,4
174,-1.5999,2.2091,4
175,-4.2206,-5.7277,4
176,-2.911,-5.3021,4
177,1.212,-0.83924,4
178,4.9567,0.20985,4
179,6.0839,-2.1104,4
180,4.3596,-2.593,4
181,1.038,-0.39309,4
182,-2.2081,0.041397,4
183,-4.3762,-2.721,4
