,EEG.O1,EEG.O2,MarkerValueInt
0,19.47,38.872,5
1,35.866,67.608,5
2,44.895,77.523,5
3,46.059,68.723,5
4,44.038,51.61,5
5,39.066,33.843,5
6,21.548,9.9994,5
7,-13.545,-26.097,5
8,-49.391,-61.486,5
9,-58.215,-70.943,5
10,-34.507,-48.93,5
11,-6.3508,-22.292,5
12,-3.8527,-19.647,5
13,-22.681,-34.869,5
14,-30.797,-35.049,5
15,-9.7406,-4.0502,5
16,23.349,36.147,5
17,38.931,53.351,5
18,29.956,43.146,5
19,14.718,28.22,5
20,10.221,25.684,5
21,13.909,28.796,5
22,13.14,22.687,5
23,3.4547,6.1793,5
24,-8.5059,-9.5042,5
25,-15.359,-16.69,5
26,-15.447,-16.893,5
27,-10.637,-13.711,5
28,-3.9354,-9.2167,5
29,0.14536,-7.2511,5
30,-1.7969,-11.804,5
31,-7.0463,-19.593,5
32,-8.268,-21.04,5
33,-2.4732,-12.373,5
34,4.6139,-1.5257,5
35,6.0044,2.2422,5
36,2.7355,0.3181,5
37,2.0017,1.3445,5
38,7.0537,8.6877,5
39,12.704,16.564,5
40,11.531,17.71,5
41,2.1189,10.749,5
42,-9.7852,0.30253,5
43,-16.789,-7.0175,5
44,-15.816,-7.2238,5
45,-9.6455,-2.2818,5
46,-3.2491,1.9353,5
47,1.3046,3.0316,5
48,5.447,4.9566,5
49,9.4544,10.144,5
50,9.994,12.421,5
51,5.1602,4.5253,5
52,-0.19681,-8.8741,5
53,0.87149,-14.275,5
54,7.4429,-7.0319,5
55,10.892,2.5532,5
56,6.9821,4.7379,5
57,2.1944,3.46,5
58,3.4512,6.6156,5
59,6.0083,10.06,5
60,-1.0778,2.3885,5
61,-18.359,-16.114,5
62,-32.41,-30.337,5
63,-31.137,-28.555,5
64,-16.898,-15.175,5
65,-0.92488,-1.6093,5
66,9.9903,7.6789,5
67,15.76,14.015,5
68,16.289,16.082,5
69,11.013,11.907,5
70,4.8139,6.6845,5
71,5.6122,8.7324,5
72,12.78,16.344,5
73,15.254,17.53,5
74,6.5034,6.8324,5
75,-4.8446,-5.4312,5
76,-6.8365,-7.3852,5
77,-1.9055,-2.87,5
78,-2.6287,-4.8554,5
79,-11.306,-14.387,5
80,-15.397,-17.642,5
