EEG.O1,EEG.O2,MarkerValueInt
4171.153809,4192.307617,2
4179.615234,4181.282227,2
4176.922852,4183.077148,2
4168.077148,4174.230957,2
4168.461426,4153.717773,2
4169.615234,4146.922852,2
4167.820313,4160.256348,2
4171.666504,4171.282227,2
4173.717773,4162.05127,2
4173.077148,4151.282227,2
4176.922852,4156.153809,2
4180.897461,4157.179688,2
4182.307617,4154.487305,2
4187.05127,4166.153809,2
4191.025879,4173.589844,2
4187.179688,4168.461426,2
4183.846191,4170.256348,2
4182.436035,4177.05127,2
4176.025879,4175.0,2
4169.487305,4170.769043,2
4170.0,4168.589844,2
4173.846191,4167.94873,2
4174.871582,4169.487305,2
4172.436035,4165.128418,2
4174.102539,4169.102539,2
4178.589844,4184.871582,2
4177.436035,4177.820313,2
4172.692383,4154.102539,2
4171.282227,4155.128418,2
4170.641113,4170.128418,2
4169.358887,4170.641113,2
4169.743652,4165.256348,2
4170.256348,4166.538574,2
4171.282227,4166.538574,2
4171.153809,4150.897461,2
4169.102539,4125.144409625,2
4168.717773,4125.144409625,2
4170.769043,4127.563965,2
4174.102539,4168.589844,2
4174.102539,4177.307617,2
4171.025879,4173.205078,2
4169.358887,4167.820313,2
4168.461426,4141.666504,2
4167.436035,4131.282227,2
4170.384766,4160.512695,2
4173.717773,4179.102539,2
4173.974121,4175.0,2
4173.077148,4170.256348,2
4171.666504,4163.846191,2
4171.282227,4158.205078,2
4171.025879,4158.077148,2
4168.589844,4158.717773,2
4169.358887,4163.717773,2
4171.153809,4169.871582,2
4170.256348,4168.717773,2
4175.384766,4169.230957,2
4184.487305,4174.102539,2
4183.461426,4177.436035,2
4180.384766,4182.563965,2
4183.717773,4184.102539,2
4180.0,4175.0,2
4174.230957,4165.512695,2
4181.153809,4174.102539,2
4186.410156,4183.461426,2
4181.922852,4171.922852,2
4184.230957,4166.153809,2
4182.94873,4176.153809,2
4172.436035,4175.384766,2
4176.153809,4168.846191,2
4184.487305,4171.538574,2
4181.410156,4174.871582,2
4181.794922,4172.692383,2
4183.205078,4167.563965,2
4176.153809,4157.05127,2
4172.820313,4138.333496,2
4172.692383,4125.144409625,2
4168.205078,4125.144409625,2
4168.717773,4125.144409625,2
4170.128418,4125.144409625,2
4170.512695,4157.563965,2
4170.769043,4178.974121,2
4166.922852,4171.922852,2
4167.820313,4167.94873,2
4169.743652,4167.692383,2
4159.743652,4159.358887,2
4154.230957,4155.641113,2
4160.641113,4155.0,2
4160.0,4156.794922,2
4158.717773,4157.563965,2
4166.410156,4143.077148,2
4169.487305,4135.0,2
4168.846191,4150.0,2
4171.666504,4163.077148,2
4173.205078,4161.025879,2
4172.820313,4140.769043,2
4171.922852,4125.144409625,2
4167.94873,4130.0,2
4169.871582,4147.820313,2
4177.692383,4139.102539,2
4178.077148,4141.794922,2
4172.179688,4143.846191,2
4173.077148,4125.144409625,2
4179.871582,4125.144409625,2
4184.487305,4125.144409625,2
4184.230957,4128.589844,2
4181.922852,4148.589844,2
4181.666504,4171.282227,2
4182.692383,4177.05127,2
4177.94873,4167.94873,2
4172.820313,4160.641113,2
4178.077148,4167.179688,2
4187.307617,4175.384766,2
4186.153809,4167.94873,2
4178.846191,4164.871582,2
4176.025879,4170.0,2
4173.205078,4148.974121,2
4169.743652,4127.820313,2
4171.666504,4145.384766,2
4173.846191,4157.436035,2
4170.512695,4138.461426,2
4170.641113,4130.512695,2
4176.153809,4135.128418,2
4174.358887,4125.144409625,2
4169.487305,4125.144409625,2
4169.358887,4125.144409625,2
4169.358887,4138.589844,2
4168.205078,4172.179688,2
4168.461426,4167.307617,2
4168.846191,4140.256348,2
4168.974121,4154.743652,2
4170.384766,4180.769043,2
4170.256348,4170.384766,2
4169.358887,4159.230957,2
4169.358887,4170.897461,2
4170.128418,4172.94873,2
4170.769043,4168.846191,2
4170.256348,4177.563965,2
4168.974121,4182.692383,2
4169.102539,4178.717773,2
4169.487305,4171.025879,2
4169.487305,4151.666504,2
4169.871582,4125.144409625,2
4169.358887,4125.144409625,2
4169.615234,4143.589844,2
4170.128418,4159.487305,2
4170.384766,4166.666504,2
4170.512695,4166.922852,2
4170.384766,4172.179688,2
4171.538574,4191.282227,2
4172.179688,4195.384766,2
4176.282227,4181.538574,2
4179.743652,4183.077148,2
4174.487305,4191.666504,2
4170.769043,4183.333496,2
4175.641113,4169.743652,2
4180.256348,4167.307617,2
4182.436035,4176.410156,2
4183.077148,4186.153809,2
4175.128418,4180.897461,2
4167.179688,4168.077148,2
4171.025879,4174.102539,2
4173.077148,4187.692383,2
4169.358887,4174.102539,2
4169.358887,4142.436035,2
4172.179688,4129.871582,2
4172.307617,4137.692383,2
4172.05127,4136.153809,2
4173.077148,4125.769043,2
4171.025879,4127.820313,2
4168.846191,4141.794922,2
4169.871582,4145.512695,2
4169.358887,4139.743652,2
4163.717773,4143.205078,2
4161.666504,4141.666504,2
4166.794922,4137.179688,2
4169.871582,4146.153809,2
4167.307617,4147.94873,2
4165.641113,4133.589844,2
4169.230957,4130.512695,2
4170.897461,4140.769043,2
4167.307617,4137.436035,2
4163.974121,4130.384766,2
4166.794922,4134.102539,2
4171.153809,4141.410156,2
4169.358887,4155.769043,2
4165.256348,4172.436035,2
4166.410156,4172.179688,2
4169.487305,4156.282227,2
4168.461426,4151.153809,2
4169.102539,4154.615234,2
4173.974121,4146.922852,2
4175.0,4135.384766,2
4169.102539,4137.820313,2
4165.128418,4150.128418,2
4166.922852,4157.05127,2
4168.589844,4154.230957,2
4167.94873,4151.666504,2
4168.589844,4158.974121,2
4170.769043,4169.871582,2
4169.358887,4170.641113,2
4166.410156,4158.846191,2
4166.153809,4145.256348,2
4167.692383,4145.769043,2
4167.820313,4151.922852,2
4167.179688,4153.846191,2
4169.230957,4161.538574,2
4170.641113,4167.820313,2
4170.0,4161.794922,2
