EEG.O1,EEG.O2,MarkerValueInt
4216.282227,4209.743652,5
4219.743652,4207.692383,5
4219.743652,4203.974121,5
4215.0,4199.358887,5
4212.05127,4196.538574,5
4215.897461,4200.256348,5
4213.846191,4202.307617,5
4204.358887,4193.461426,5
4196.794922,4180.897461,5
4189.358887,4176.025879,5
4183.974121,4174.743652,5
4185.128418,4173.333496,5
4177.692383,4172.94873,5
4158.717773,4165.0,5
4159.102539,4155.0,5
4169.358887,4155.769043,5
4160.0,4152.563965,5
4147.179688,4141.153809,5
4150.897461,4142.05127,5
4158.205078,4151.794922,5
4157.05127,4152.307617,5
4152.94873,4149.358887,5
4151.922852,4151.153809,5
4152.563965,4156.153809,5
4154.230957,4156.922852,5
4162.692383,4155.512695,5
4173.589844,4158.461426,5
4172.05127,4159.102539,5
4168.333496,4156.666504,5
4172.307617,4157.94873,5
4173.205078,4157.05127,5
4167.307617,4156.666504,5
4169.358887,4168.333496,5
4173.717773,4175.512695,5
4167.820313,4168.205078,5
4166.025879,4167.692383,5
4171.794922,4171.153809,5
4168.077148,4167.94873,5
4161.410156,4167.94873,5
4158.974121,4165.641113,5
4156.922852,4155.897461,5
4163.461426,4162.692383,5
4175.384766,4183.589844,5
4172.563965,4180.897461,5
4167.436035,4172.307617,5
4173.974121,4182.820313,5
4177.436035,4188.717773,5
4172.692383,4180.256348,5
4168.461426,4171.794922,5
4168.205078,4167.179688,5
4170.256348,4165.128418,5
4172.94873,4169.358887,5
4169.871582,4169.102539,5
4166.410156,4167.436035,5
4171.410156,4171.282227,5
4174.615234,4171.025879,5
4170.384766,4166.538574,5
4167.820313,4166.410156,5
4170.0,4168.846191,5
4172.179688,4169.487305,5
4173.205078,4169.487305,5
4174.615234,4172.179688,5
4184.487305,4183.461426,5
4190.0,4186.794922,5
4176.153809,4173.333496,5
4174.102539,4169.871582,5
4184.358887,4178.717773,5
4174.358887,4176.025879,5
4160.256348,4168.077148,5
4168.589844,4172.820313,5
4174.102539,4176.794922,5
4163.589844,4171.153809,5
4167.94873,4173.077148,5
4185.384766,4186.538574,5
4188.589844,4186.666504,5
4181.794922,4170.641113,5
4181.922852,4168.846191,5
4184.615234,4180.128418,5
4185.0,4180.128418,5
4185.0,4175.769043,5
4180.384766,4182.179688,5
4181.410156,4190.384766,5
4183.333496,4187.179688,5
4175.384766,4180.897461,5
4174.871582,4182.05127,5
4185.256348,4187.820313,5
4182.692383,4189.871582,5
4176.153809,4187.692383,5
4176.538574,4181.666504,5
4173.077148,4174.230957,5
4168.974121,4170.0,5
4169.230957,4169.230957,5
4170.769043,4175.256348,5
4171.282227,4182.94873,5
4172.692383,4183.461426,5
4179.743652,4183.077148,5
4186.794922,4184.871582,5
4183.589844,4183.077148,5
4180.256348,4181.794922,5
4184.743652,4187.05127,5
4186.025879,4186.922852,5
4180.769043,4184.487305,5
4180.256348,4192.94873,5
4194.871582,4207.307617,5
4203.589844,4207.692383,5
4190.769043,4197.307617,5
4186.410156,4203.589844,5
4199.230957,4217.692383,5
4206.666504,4214.615234,5
4200.512695,4204.358887,5
4186.410156,4198.974121,5
4185.256348,4198.461426,5
4198.077148,4201.922852,5
4198.589844,4206.410156,5
4186.538574,4201.666504,5
4186.410156,4197.307617,5
4193.846191,4202.307617,5
4187.94873,4201.922852,5
4174.743652,4187.179688,5
4166.153809,4173.717773,5
4160.897461,4168.205078,5
4142.436035,4158.846191,5
4121.922852,4150.512695,5
4123.205078,4151.282227,5
4127.94873,4148.974121,5
4119.871582,4141.666504,5
4114.871582,4137.820313,5
4119.615234,4140.256348,5
4116.794922,4141.025879,5
4111.538574,4140.512695,5
4114.230957,4142.307617,5
4112.692383,4140.512695,5
4115.641113,4143.333496,5
4128.717773,4155.512695,5
4126.025879,4155.641113,5
4112.307617,4144.615234,5
4115.512695,4141.282227,5
4124.487305,4140.512695,5
4123.205078,4145.0,5
4114.615234,4151.410156,5
4107.436035,4143.333496,5
4108.205078,4137.05127,5
4110.769043,4140.769043,5
4102.05127,4129.102539,5
4086.666748,4110.641113,5
4083.974365,4108.461426,5
4089.230713,4109.615234,5
4090.512939,4106.282227,5
4089.871826,4105.897461,5
4091.281982,4107.563965,5
4092.307617,4111.794922,5
4093.846191,4114.743652,5
4096.794922,4112.179688,5
4092.692383,4108.846191,5
4085.0,4108.589844,5
4081.538574,4105.769043,5
4081.410156,4103.333496,5
4075.512939,4097.94873,5
4057.94873,4077.564209,5
4045.0,4057.94873,5
4042.820557,4056.794922,5
4037.692383,4059.230713,5
4033.076904,4058.461426,5
4033.589844,4059.102539,5
4029.871826,4057.820557,5
4026.666748,4061.153809,5
4034.871826,4068.076904,5
4042.94873,4065.128174,5
4046.794922,4063.846191,5
4047.820557,4068.205078,5
4044.358887,4063.461426,5
4038.205078,4056.281982,5
4031.025635,4058.718018,5
4030.512939,4062.05127,5
4033.205078,4059.230713,5
4030.256348,4059.615479,5
4026.794922,4060.128174,5
4025.769287,4050.128174,5
4022.94873,4042.692383,5
4012.820557,4043.205078,5
4004.102539,4037.564209,5
4007.94873,4031.153809,5
4015.0,4031.410156,5
4008.461426,4028.0126352499997,5
4001.410156,4028.0126352499997,5
4009.487061,4030.128174,5
4013.205078,4034.102539,5
4011.538574,4029.487061,5
4012.820557,4031.794922,5
4007.94873,4030.512939,5
4001.538574,4028.0126352499997,5
4004.871826,4028.0126352499997,5
4018.461426,4034.102539,5
4021.410156,4039.871826,5
3999.358887,4028.0126352499997,5
3994.102539,4028.0126352499997,5
4016.281982,4028.461426,5
