,EEG.O1,EEG.O2,MarkerValueInt
0,-1.9137,-11.137,4
1,0.25573,-15.433,4
2,4.1556,-13.58,4
3,3.9102,-10.741,4
4,-2.1287,-8.5407,4
5,-9.4353,-4.2595,4
6,-12.464,3.069,4
7,-9.5173,10.135,4
8,-3.0593,13.637,4
9,2.6614,13.803,4
10,4.5857,12.393,4
11,3.2612,9.7963,4
12,2.163,5.8421,4
13,3.3853,1.61,4
14,4.9299,-1.5601,4
15,4.0219,-3.8309,4
16,1.8041,-5.9473,4
17,1.6979,-7.4046,4
18,3.5815,-7.3453,4
19,3.4814,-6.678,4
20,0.083074,-7.1351,4
21,-2.4024,-8.2205,4
22,-0.5783,-7.4388,4
23,2.0928,-4.3041,4
24,-0.2661,-1.7574,4
25,-6.9974,-1.8954,4
26,-11.077,-2.2927,4
27,-8.3798,0.69018,4
28,-2.4007,5.9816,4
29,1.5356,8.5891,4
30,2.6403,6.6637,4
31,2.7977,4.3306,4
32,2.039,5.6405,4
33,-0.19514,8.5633,4
34,-1.4985,8.2303,4
35,1.1786,4.6201,4
36,6.0988,2.8729,4
37,7.906,5.4229,4
38,4.9734,7.6431,4
39,1.7808,3.7621,4
40,2.2004,-5.2123,4
41,3.6912,-12.668,4
42,1.199,-14.63,4
43,-5.1115,-13.473,4
44,-9.6979,-12.827,4
45,-9.0111,-11.995,4
46,-5.6851,-7.9106,4
47,-4.176,-1.0927,4
48,-4.7518,3.6214,4
49,-4.0229,3.015,4
50,-0.13575,0.061123,4
51,5.1271,0.91797,4
52,9.2369,8.0242,4
53,11.37,17.384,4
54,11.19,22.402,4
55,7.5993,19.435,4
56,0.78057,9.9587,4
57,-5.8858,-1.293,4
58,-8.4893,-9.8905,4
59,-6.9491,-14.291,4
60,-4.5953,-15.556,4
61,-3.5017,-14.759,4
62,-2.5625,-11.542,4
63,-0.46976,-5.8603,4
64,2.068,0.34221,4
65,4.0277,5.126,4
66,5.3283,9.0687,4
67,4.979,12.952,4
68,0.94559,13.761,4
69,-5.6571,7.3436,4
70,-8.9818,-3.9254,4
71,-4.7637,-10.817,4
72,3.3217,-7.8843,4
73,7.4647,-1.1077,4
74,5.0917,-0.54577,4
75,0.6437,-7.1018,4
76,-1.4739,-11.515,4
77,-1.41,-6.6104,4
78,-0.88746,4.1047,4
79,0.015509,11.935,4
80,1.4425,13.411,4
81,2.268,11.77,4
82,1.7634,9.8487,4
83,0.51481,5.9516,4
84,-1.2823,-1.9421,4
85,-3.9944,-10.966,4
86,-6.2648,-15.332,4
87,-5.4677,-12.739,4
88,-1.6702,-6.4063,4
89,1.6114,-0.89836,4
90,2.028,1.6656,4
91,1.1959,1.2861,4
92,1.473,-0.69977,4
93,2.656,-0.79699,4
94,3.6381,4.7117,4
95,4.6598,14.024,4
96,5.6416,18.678,4
97,4.6424,12.294,4
98,0.67158,-0.77872,4
99,-3.7488,-9.8014,4
100,-5.6118,-10.273,4
101,-5.6367,-7.6437,4
102,-6.4977,-7.8487,4
103,-7.7706,-9.3688,4
104,-6.0269,-7.5565,4
105,-0.24952,-2.5427,4
106,5.8117,1.8156,4
107,7.9998,4.5631,4
108,6.561,8.0029,4
109,4.9988,11.771,4
110,5.0912,11.567,4
111,4.7583,5.3494,4
112,1.1476,-2.9115,4
113,-5.1646,-7.819,4
114,-10.023,-8.2458,4
115,-9.9023,-6.4995,4
116,-5.5701,-4.4687,4
117,-0.91168,-3.0186,4
118,1.3815,-2.6998,4
119,1.8464,-2.0467,4
120,2.3256,2.5051,4
121,3.7298,11.188,4
122,6.0358,17.284,4
123,8.5553,13.829,4
124,9.1692,3.2647,4
125,5.2571,-4.9165,4
126,-2.7322,-6.6813,4
127,-10.089,-7.7894,4
128,-12.434,-13.252,4
129,-10.382,-18.043,4
130,-7.2106,-13.402,4
131,-3.2927,0.48997,4
132,3.2916,13.577,4
133,10.803,17.303,4
134,13.281,12.619,4
135,7.9731,5.9799,4
136,-0.32647,1.0487,4
137,-5.1617,-3.2885,4
138,-5.7735,-8.3583,4
139,-5.4021,-12.053,4
140,-4.872,-10.869,4
141,-2.2544,-4.6345,4
142,2.2617,2.6278,4
143,5.7477,7.2781,4
144,6.8848,9.7595,4
145,6.8059,11.777,4
146,5.0485,11.408,4
147,-0.79465,4.974,4
148,-9.3798,-5.8415,4
149,-13.729,-12.994,4
150,-8.7885,-10.707,4
151,1.3719,-2.368,4
152,7.7068,3.7654,4
153,6.5453,3.5428,4
154,2.3271,-0.8437,4
155,0.4426,-5.0732,4
156,1.1776,-5.7697,4
157,1.8146,-1.3852,4
158,1.3611,5.8052,4
159,0.60743,9.4626,4
160,-0.65445,5.1301,4
161,-3.3207,-3.4984,4
162,-6.0782,-7.9468,4
163,-5.6437,-4.9362,4
164,-1.0382,0.56932,4
165,4.2287,2.8244,4
166,5.8389,1.8188,4
167,3.4145,0.74635,4
168,0.013491,0.65146,4
169,-2.0605,0.36412,4
170,-2.7669,-0.55992,4
171,-2.2964,-1.5139,4
172,-0.46994,-1.988,4
173,1.3528,-1.0304,4
174,0.77293,2.7348,4
175,-1.6842,8.3304,4
176,-1.7738,11.356,4
177,2.8467,8.4433,4
178,8.1964,1.643,4
179,8.2251,-4.3661,4
180,2.3538,-8.3076,4
181,-4.3479,-12.028,4
182,-7.7374,-14.749,4
