,EEG.O1,EEG.O2,MarkerValueInt
0,3.4726,50.243,5
1,5.9786,82.439,5
2,7.1761,90.265,5
3,6.5962,77.956,5
4,3.7209,52.428,5
5,-0.046638,20.992,5
6,-1.3312,-7.4123,5
7,1.1642,-26.069,5
8,3.8815,-35.855,5
9,2.3951,-42.118,5
10,-2.3982,-46.121,5
11,-5.0908,-43.786,5
12,-3.0693,-33.304,5
13,0.054218,-19.472,5
14,-0.3141,-8.5785,5
15,-3.6984,-1.9695,5
16,-6.0772,3.3039,5
17,-5.7095,9.6458,5
18,-4.4065,16.788,5
19,-3.4072,23.1,5
20,-1.1261,27.059,5
21,3.7859,27.911,5
22,9.1957,26.124,5
23,11.208,22.934,5
24,8.5194,18.831,5
25,3.7623,13.099,5
26,0.67027,5.431,5
27,0.64595,-2.8121,5
28,1.78,-9.734,5
29,0.67714,-14.748,5
30,-4.1698,-18.644,5
31,-10.11,-22.282,5
32,-12.194,-25.547,5
33,-8.3367,-26.912,5
34,-1.8805,-23.937,5
35,2.3052,-15.581,5
36,3.3517,-4.5339,5
37,3.9926,4.2706,5
38,5.3004,8.3282,5
39,4.9302,9.2923,5
40,1.4851,9.5311,5
41,-2.2614,9.3973,5
42,-2.6696,9.1497,5
43,-0.038712,10.429,5
44,2.2179,13.16,5
45,2.2204,13.878,5
46,1.1499,10.734,5
47,0.57965,7.4924,5
48,0.56428,7.8303,5
49,0.57468,8.0174,5
50,0.3693,1.7048,5
51,-0.60515,-8.8364,5
52,-2.9511,-13.948,5
53,-5.5807,-10.495,5
54,-5.74,-6.5541,5
55,-2.1485,-8.3133,5
56,2.7643,-9.9793,5
57,5.2336,-3.8288,5
58,4.3581,5.3994,5
59,2.4292,5.7913,5
60,1.2056,-3.9503,5
61,-0.16006,-11.81,5
62,-2.5865,-9.0541,5
63,-4.3469,-1.0264,5
64,-3.1111,2.3782,5
65,-0.0038381,0.048409,5
66,1.0997,-2.053,5
67,-0.94308,-0.98454,5
68,-2.1862,1.5008,5
69,1.3095,4.9077,5
70,7.4037,10.61,5
71,9.502,16.281,5
72,4.3803,15.835,5
73,-3.7202,7.4924,5
74,-7.8342,-2.0517,5
75,-5.8477,-4.874,5
76,-1.9668,-1.3106,5
77,-1.03,1.0764,5
78,-2.8522,-2.4233,5
79,-3.0886,-7.8066,5
80,0.80593,-8.0845,5
81,5.8845,-2.832,5
82,6.9533,1.1545,5
83,2.9931,-0.92935,5
84,-1.283,-5.4386,5
85,-1.0949,-5.8489,5
86,2.3825,-2.4111,5
87,3.4492,-1.3204,5
88,-0.72457,-4.3222,5
