EEG.O1,EEG.O2,MarkerValueInt
4180.384766,4202.692383,4
4175.512695,4188.717773,4
4170.128418,4186.153809,4
4173.077148,4195.384766,4
4170.897461,4190.384766,4
4168.589844,4181.794922,4
4169.358887,4191.538574,4
4169.102539,4196.538574,4
4170.641113,4185.384766,4
4170.769043,4187.179688,4
4174.871582,4202.436035,4
4182.307617,4201.025879,4
4182.820802,4192.692383,4
4182.563965,4202.436035,4
4178.077148,4205.512695,4
4171.538574,4190.897461,4
4171.025879,4192.05127,4
4174.230957,4204.102539,4
4172.179688,4203.974121,4
4175.769043,4205.384766,4
4181.153809,4212.563965,4
4180.897461,4207.179688,4
4177.179688,4200.256348,4
4172.692383,4201.794922,4
4176.538574,4200.512695,4
4182.820802,4204.871582,4
4182.820802,4214.214416749999,4
4182.820802,4214.214416749999,4
4182.820802,4214.214416749999,4
4182.820802,4214.214416749999,4
4182.820802,4214.214416749999,4
4182.820802,4214.214416749999,4
4181.025879,4204.230957,4
4174.743652,4206.538574,4
4182.820802,4214.214416749999,4
4182.820802,4214.214416749999,4
4170.897461,4202.179688,4
4167.692383,4200.769043,4
4174.615234,4213.461426,4
4174.358887,4208.846191,4
4168.205078,4192.692383,4
4169.615234,4202.307617,4
4175.641113,4214.214416749999,4
4172.692383,4203.333496,4
4170.512695,4193.717773,4
4182.436035,4207.307617,4
4182.820802,4214.214416749999,4
4180.512695,4207.307617,4
4173.205078,4202.307617,4
4176.794922,4202.307617,4
4176.794922,4200.512695,4
4170.256348,4202.692383,4
4168.077148,4199.743652,4
4167.820313,4185.641113,4
4170.384766,4182.563965,4
4181.666504,4196.025879,4
4182.820802,4203.077148,4
4176.153809,4200.769043,4
4169.615234,4200.512695,4
4171.153809,4196.153809,4
4167.307617,4187.820313,4
4157.436035,4184.615234,4
4154.1020499999995,4188.205078,4
4154.1020499999995,4189.358887,4
4154.1020499999995,4178.077148,4
4154.1020499999995,4172.94873,4
4154.487305,4183.846191,4
4154.358887,4180.384766,4
4154.1020499999995,4163.846191,4
4154.615234,4168.589844,4
4154.1020499999995,4176.666504,4
4154.1020499999995,4169.487305,4
4155.641113,4175.384766,4
4156.410156,4188.461426,4
4154.1020499999995,4183.333496,4
4154.1020499999995,4175.256348,4
4157.05127,4179.615234,4
4169.871582,4186.666504,4
4167.563965,4186.794922,4
4154.1020499999995,4183.589844,4
4157.05127,4182.179688,4
4171.538574,4188.077148,4
4173.589844,4199.102539,4
4168.717773,4204.230957,4
4167.179688,4196.025879,4
4167.563965,4186.410156,4
4172.563965,4187.307617,4
4176.410156,4190.641113,4
4171.794922,4185.256348,4
4170.641113,4186.410156,4
4173.461426,4197.05127,4
4171.922852,4193.846191,4
4167.94873,4181.282227,4
4166.025879,4182.179688,4
4167.307617,4190.128418,4
4168.077148,4187.563965,4
4167.563965,4181.538574,4
4165.641113,4183.333496,4
4165.384766,4185.0,4
