EEG.O1,EEG.O2,MarkerValueInt
4075.512939,4342.692383,5
4076.538574,4341.282227,5
4078.846191,4343.077148,5
4077.820557,4340.897461,5
4082.05127,4342.820313,5
4084.230713,4344.615234,5
4079.743652,4339.358887,5
4085.256348,4340.384766,5
4093.076904,4344.615234,5
4086.410156,4341.025879,5
4082.692383,4339.487305,5
4092.435791,4345.0,5
4095.384521,4341.922852,5
4090.128174,4333.077148,5
4092.307617,4331.666504,5
4093.974365,4328.846191,5
4090.128174,4319.871582,5
4092.94873,4318.717773,5
4098.846191,4323.205078,5
4099.102539,4325.0,5
4097.05127,4327.05127,5
4096.153809,4328.717773,5
4098.077148,4327.820313,5
4098.333496,4326.666504,5
4098.333496,4326.666504,5
4102.307617,4325.641113,5
4102.436035,4318.333496,5
4101.922852,4315.384766,5
4105.641113,4322.820313,5
4107.307617,4326.538574,5
4112.05127,4323.333496,5
4118.589844,4324.615234,5
4112.563965,4327.179688,5
4109.615234,4326.153809,5
4120.256348,4325.769043,5
4116.666504,4324.615234,5
4113.846191,4327.436035,5
4122.820313,4327.94873,5
4115.512695,4316.666504,5
4103.461426,4308.846191,5
4103.333496,4310.512695,5
4094.871826,4299.743652,5
4078.589844,4278.461426,5
4070.384521,4272.05127,5
4067.94873,4273.461426,5
4067.94873,4268.333496,5
4066.025635,4261.153809,5
4064.743652,4258.717773,5
4072.564209,4266.282227,5
4079.102539,4272.692383,5
4075.384521,4267.05127,5
4073.974365,4264.358887,5
4082.692383,4274.615234,5
4085.641113,4276.282227,5
4077.179443,4264.743652,5
4071.666748,4257.94873,5
4075.384521,4257.820313,5
4077.564209,4259.358887,5
4082.820557,4261.922852,5
4091.025635,4262.94873,5
4087.94873,4261.153809,5
4084.358887,4260.769043,5
4090.769287,4263.717773,5
4093.461426,4263.205078,5
4087.564209,4257.307617,5
4087.94873,4258.333496,5
4093.589844,4265.384766,5
4089.615479,4260.512695,5
4081.153809,4247.820313,5
4077.564209,4244.615234,5
4076.794922,4250.641113,5
4074.871826,4245.0,5
4078.589844,4236.666504,5
4082.435791,4242.179688,5
4077.179443,4242.307617,5
4076.025635,4231.666504,5
4076.538574,4228.717773,5
4073.718018,4233.589844,5
4080.256348,4233.846191,5
4090.769287,4234.230957,5
4086.923096,4234.358887,5
4075.769287,4229.743652,5
4078.205078,4229.487305,5
4084.487061,4232.563965,5
4080.256348,4232.692383,5
4073.589844,4225.897461,5
4073.205078,4217.692383,5
4077.179443,4216.153809,5
4082.820557,4221.922852,5
4085.384521,4227.692383,5
4080.641113,4227.94873,5
4082.435791,4228.333496,5
4094.487061,4233.589844,5
4096.153809,4235.897461,5
4088.461426,4231.282227,5
4089.487061,4228.846191,5
4093.461426,4232.820313,5
4088.846191,4230.769043,5
4082.564209,4219.871582,5
4082.564209,4218.846191,5
4087.435791,4228.589844,5
4089.358887,4230.384766,5
4089.871826,4224.871582,5
4091.281982,4221.666504,5
4092.692383,4218.846191,5
4093.333252,4216.794922,5
4092.05127,4217.307617,5
4093.718018,4217.307617,5
4098.717773,4220.128418,5
4105.769043,4229.102539,5
4111.666504,4236.025879,5
4108.461426,4229.871582,5
4103.461426,4220.641113,5
4104.871582,4220.256348,5
4106.153809,4218.589844,5
4103.589844,4216.282227,5
4107.692383,4221.666504,5
4110.769043,4224.358887,5
4104.871582,4218.589844,5
4102.307617,4216.025879,5
4104.743652,4215.897461,5
4105.0,4214.358887,5
4106.538574,4214.230957,5
4111.666504,4216.538574,5
4116.794922,4223.333496,5
4127.692383,4232.563965,5
4137.307617,4235.256348,5
4131.794922,4232.307617,5
4123.974121,4227.692383,5
4123.846191,4221.282227,5
4121.282227,4215.128418,5
4117.307617,4212.820313,5
4125.512695,4216.666504,5
4132.820313,4224.871582,5
4136.794922,4230.384766,5
4147.820313,4232.05127,5
4154.871582,4231.922852,5
4152.94873,4232.05127,5
4162.94873,4239.743652,5
4183.589844,4257.820313,5
4187.94873,4265.512695,5
4173.205078,4256.025879,5
4160.897461,4245.897461,5
