,RESULTS - WHITHOUT DATA AUGMENTATION,,,,,,,,,,,,,,RESULTS - WHIT DATA AUGMENTATION (0 - 0.5 - 5),,,,,,,,,,,,,
,XGBoost,,,,,,,,,,,,,,XGBoost,,,,,,,,,,,,,
,accuracy_train,accuracy_valid,accuracy_test,timing_train,timing_classif,TP,FP,FN,TN,recall,precision,specificity,,,accuracy_train,accuracy_valid,accuracy_test,timing_train,timing_classif,TP,FP,FN,TN,recall,precision,specificity,,
0,0.714828897,0.506666667,0.462555066,19.29104331,0.001992989,52,61,61,53,0.460176991,0.460176991,0.464912281,,0,0.992712294,0.502222222,0.568281938,51.30626214,0.007952356,66,47,51,63,0.564102564,0.584070796,0.572727273,,
1,0.856464781,0.508888889,0.498821393,19.68959873,0.004749238,58,54,59,55,0.495726496,0.517857143,0.504587156,,1,0.992399199,0.482222222,0.560456759,50.88975236,0.008011019,62,51,49,65,0.558558559,0.548672566,0.560344828,,
2,0.903046031,0.485276958,0.484594379,19.75655522,0.006170003,56,57,60,54,0.482758621,0.495575221,0.486486486,,2,0.992510472,0.463074402,0.5534624,50.68249377,0.007991362,60,52,49,65,0.550458716,0.535714286,0.555555556,,
3,0.925628894,0.485639135,0.480258011,19.72529955,0.006811142,52,60,58,56,0.472727273,0.464285714,0.482758621,,3,0.992017669,0.451288102,0.524267106,50.68453124,0.008030647,55,57,50,64,0.523809524,0.491071429,0.52892562,,
4,0.938992256,0.483665493,0.474162741,19.67192959,0.007202153,52,61,58,56,0.472727273,0.460176991,0.478632479,,4,0.992480991,0.458827839,0.518977004,50.70463929,0.007980285,54,59,50,64,0.519230769,0.477876106,0.520325203,,
5,0.949002981,0.492628733,0.479918226,19.66164619,0.007528273,53,60,58,56,0.477477477,0.469026549,0.482758621,,5,0.992423887,0.460917472,0.510017068,50.73825942,0.00800062,52,61,50,64,0.509803922,0.460176991,0.512,,
,Random Forest,,,,,,,,,,,,,,Random Forest,,,,,,,,,,,,,
,accuracy_train,accuracy_valid,accuracy_test,timing_train,timing_classif,TP,FP,FN,TN,recall,precision,specificity,,,accuracy_train,accuracy_valid,accuracy_test,timing_train,timing_classif,TP,FP,FN,TN,recall,precision,specificity,accuracy,
0,1,0.564444444,0.528634361,,,67,61,46,53,0.592920354,0.5234375,0.464912281,,0,1,0.56,0.546255507,,,69,49,47,62,0.594827586,0.584745763,0.558558559,0.577092511,227
1,1,0.533333333,0.486842105,,,55,59,58,56,0.486725664,0.48245614,0.486956522,,1,1,0.537777778,0.451754386,,,49,61,64,54,0.433628319,0.445454545,0.469565217,,228
2,1,0.530973451,0.526315789,,,57,52,56,63,0.504424779,0.52293578,0.547826087,,2,1,0.526548673,0.548245614,,,63,53,50,62,0.557522124,0.543103448,0.539130435,,228
3,1,0.504424779,0.489082969,,,58,61,56,54,0.50877193,0.487394958,0.469565217,,3,1,0.517699115,0.489082969,,,56,59,58,56,0.49122807,0.486956522,0.486956522,,229
4,1,0.519823789,0.537117904,,,55,47,59,68,0.48245614,0.539215686,0.591304348,,4,1,0.54185022,0.493449782,,,54,56,60,59,0.473684211,0.490909091,0.513043478,,229
5,1,0.555066079,0.504347826,,,51,50,64,65,0.443478261,0.504950495,0.565217391,,5,1,0.54185022,0.482608696,,,48,52,67,63,0.417391304,0.48,0.547826087,,230
,SVM,,,,,,,,,,,,,,SVM,,,,,,,,,,,,,
,accuracy_train,accuracy_valid,accuracy_test,timing_train,timing_classif,TP,FP,FN,TN,recall,precision,specificity,,,accuracy_train,accuracy_valid,accuracy_test,timing_train,timing_classif,TP,FP,FN,TN,recall,precision,specificity,,
0,0.55418251,0.524444444,0.497797357,12.22264557,0.019897509,26,87,27,87,0.490566038,0.230088496,0.5,,0,0.840937896,0.515555556,0.546255507,96.98318148,0.037087512,71,42,61,53,0.537878788,0.628318584,0.557894737,,
