EEG.O1,EEG.O2
0.30023,7.6478
0.12332,13.999
0.028966000000000002,17.244
0.76137,15.397
2.0349,8.4586
3.0793,0.34643
3.8225,-3.4774
4.5607,-1.6369
4.9617,1.5458
4.4294,1.3774
2.9466,-2.1985
0.5078699999999999,-6.5571
-3.3741,-10.718
-7.9313,-14.525
-9.9795,-15.595
-7.3224,-11.655999999999999
-2.9567,-5.3583
-2.1796,-1.8074
-4.6683,-0.50258
-3.6903,5.0711
4.1901,17.085
12.532,27.159000000000002
12.571,25.377
4.9344,13.287
-1.5376,2.381
-2.0189,-0.6419100000000001
-1.0289,-1.7946
-3.9813,-9.8534
-8.3006,-21.846999999999998
-6.8317,-24.135
1.8713,-9.3561
10.437999999999999,11.859000000000002
10.55,20.603
2.2688,10.413
-5.8141,-6.3545
-5.95,-14.165
0.25039,-11.32
4.2502,-7.2184
1.2618,-6.8148
-4.3837,-5.4945
-5.9285,0.64512
-3.0408,7.3273
-0.56001,8.7635
-0.57728,6.301
-0.58965,5.1351
0.74574,5.8223
1.1337,5.0208
-0.41473000000000004,3.0372
-0.54142,4.0505
3.2944,7.9583
7.4463,8.017999999999999
5.9311,-0.09907
-1.1831,-10.865
-6.8615,-14.704
-5.2567,-9.3628
1.6314,-1.5618
6.6306,2.0321
5.3338,1.6013
0.073834,1.1584
-3.5398,1.9608
-2.9209,1.3543
-0.81401,-2.7571
-1.3994,-8.2206
-4.7860000000000005,-10.023
-6.5641,-5.2365
-3.3254,3.4692
2.5961,9.6319
5.5708,8.952
3.6558,3.4072
1.0228,-1.0241
2.1811,-0.52382
5.4452,3.2501
4.8657,5.6843
-1.3455,4.1382
-7.4517,0.2178
-7.2292,-2.3471
-2.1431,-1.9434
0.78401,-1.0505
-1.4776,-3.0813
-4.2745,-6.9969
-2.0504,-7.1016
4.2869,-0.3639
8.7993,7.5729999999999995
7.5602,7.6261
2.3503,-0.95173
-1.8906,-8.2571
-2.1164,-5.7961
-0.031316000000000004,2.6908
0.10325,6.805
-2.7176,3.6474
-3.9360000000000004,0.44528
0.38101999999999997,2.6692
6.2215,5.7076
5.3782,1.9643
-2.6664,-7.6694
-8.3369,-14.284
-4.7981,-11.755999999999998
1.9968,-3.062
1.7616,4.4736
-5.1224,7.0609
-8.4496,6.2694
-3.2794,5.0265
3.5410000000000004,4.0394
4.1649,2.3525
0.4967,0.062163
-0.3503,-1.0872
3.0935,-0.20776
6.0616,1.0190000000000001
5.8064,0.6315
4.5632,-0.50661
4.0041,-0.13172999999999999
2.0513,1.2067
-2.4209,0.38451
-5.5852,-3.0062
-3.1981,-4.9176
2.5212,-2.7464
4.5631,-0.1171
0.062769,-1.8639
-5.642,-5.7178
-5.6469,-4.1583
-0.2446,4.3278
3.4687,10.774000000000001
0.49653,6.532
-5.8536,-4.2365
-8.0463,-8.6549
-3.7042,-2.0998
1.1446,5.0999
-0.57123,1.9578
-7.4203,-7.0626
-10.085,-7.8703
-2.8787,2.6975
8.0134,11.675999999999998
11.607999999999999,8.5386
6.4336,-0.21054
2.2495,-2.3487
5.9384,1.7369
12.218,3.2284
13.545,2.6476
12.956,8.3205
16.904,16.283
18.23,8.7621
0.89179,-18.554000000000002
-33.24,-41.534
-55.721000000000004,-34.306999999999995
-42.004,-3.3923
-3.6172,20.257
23.858,20.018
22.439,8.5462
7.3368,3.4674
0.08946699999999999,4.8789
1.7426,3.7658
0.5643,-0.68983
-5.8727,-3.0705
-9.4695,-2.9721
-7.1918,-3.6976
-4.8652,-4.4137
-5.4012,-2.685
-3.9232,-0.93474
2.5953,-1.8282
9.4046,-1.3324
12.395,4.2343
16.066,8.7375
26.614,5.6211
39.718,2.6662
41.13,11.314
20.906999999999996,22.25
-13.873,12.357000000000001
-41.216,-17.494
-42.678999999999995,-33.43
-24.232,-13.234000000000002
-14.179,17.392
-30.061999999999998,16.314
-50.61,-16.7
-37.996,-39.580999999999996
8.2901,-25.621
41.522,4.3462
26.234,15.923
-12.505999999999998,5.7548
-21.568,-3.4136
11.187000000000001,1.3037
48.647,10.466
59.691,11.988
50.623999999999995,7.9974
37.062,9.0351
16.352999999999998,19.276
-15.33,30.807
-41.398999999999994,30.316999999999997
-42.651,11.937000000000001
-25.322,-14.819
-12.32,-32.309
-12.624,-32.373000000000005
-15.743,-23.629
-12.993,-18.616
-8.3362,-18.426
-6.9327,-15.409
-5.7979,-7.0049
-0.43362,1.3042
7.2637,6.0884
12.36,10.488
13.469000000000001,16.212
12.536,18.367
11.235999999999999,13.455
10.409,7.4418
10.825999999999999,8.8262
11.86,15.444
10.59,15.534
4.7272,3.5801
-3.5302,-10.932
-8.5629,-14.797
-7.4763,-7.5919
-4.111000000000001,-1.3608
-4.8466,-4.5764
-10.325999999999999,-12.255
-14.014000000000001,-14.359000000000002
-10.604000000000001,-9.2642
-3.2606,-3.7903
0.7340300000000001,-1.9469999999999998
-0.082694,-0.042339999999999996
-0.24958000000000002,5.6358
3.6324,11.734000000000002
7.4489,12.26
5.457000000000001,6.9063
-1.3906,0.7237
-6.1313,-2.7302
-3.8308,-3.7165
3.3338,-2.86
9.0189,-0.024919
9.4721,3.0647
6.8056,3.3858
5.3892,1.0112
5.4121,-0.72716
2.1313,-0.7925
-6.6649,-2.0529
-14.574000000000002,-4.9325
-12.324000000000002,-3.8985
-0.015711000000000003,4.7954
10.725999999999999,14.374
9.2704,12.856
-2.263,-2.1363
-12.422,-18.772000000000002
-13.172,-23.35
-6.1106,-13.982000000000001
2.0741,0.019939
6.371,9.2365
6.1069,11.478
4.2956,10.056000000000001
4.7017,8.6435
7.3211,8.3723
7.3116,7.8386
1.0615,4.8391
-7.57,-1.4304
-10.800999999999998,-9.3158
-6.6414,-15.385
-1.0190000000000001,-16.17
0.53567,-10.623
-0.81274,-2.1203
-0.8024,3.4805
1.9276,4.0865
5.7868,4.2294
8.8523,8.398
8.8678,13.054
3.7019,10.605
-4.8862,1.3312
-10.367,-5.1786
-8.0902,-2.9246
-1.4165,2.3526
2.255,2.1233
0.49606000000000006,-3.1933
-2.6046,-7.0923
-3.0941,-7.3587
-1.3287,-6.6965
0.80288,-5.4929
2.9162,-1.4439
4.7924,4.0056
4.8694,5.8302
2.2126,3.1307
-1.5711,0.7360899999999999
-4.0103,1.4729
-4.172,2.3619
-2.2542,0.8786799999999999
1.5826,-0.27328
6.1655,1.7448
8.361,4.3107
5.6444,3.3347
-0.41135,-0.073737
-5.1549,-1.7729
-5.8193,-1.6955
-4.0951,-3.68
-3.2776,-8.4299
-4.1276,-11.345999999999998
-4.495,-8.3633
-2.4352,-0.27516999999999997
1.2041,9.5428
3.4643,17.633
2.4554,19.294
-0.28318000000000004,10.074
-1.2052,-7.3364
1.1331,-21.063000000000002
4.3488,-20.382
5.5068,-7.3623
4.9179,5.9779
4.8867,11.290999999999999
5.5546,10.088
4.5274,6.9585
0.64402,2.9665
-4.3537,-1.8493
-8.2805,-4.7304
-10.243,-3.4025
-9.5859,-0.26753000000000005
-6.01,0.68323
-1.659,-0.53101
0.077376,-1.0965
-0.5414,-0.9305399999999999
0.9219299999999999,-2.7766
6.3236,-6.7605
10.687000000000001,-8.7557
8.1995,-5.5015
0.39276,1.2145
-5.6302,6.7984
-6.0417,8.527999999999999
-3.3163,7.1662
-0.75532,5.5241
1.5573,5.9909
4.1475,7.8879
5.4684,7.1282
4.426,0.73431
2.9696,-8.0365
3.1036,-12.129000000000001
2.8711,-9.4241
-1.2458,-5.6703
-8.1825,-6.2538
-11.933,-8.224
-8.5168,-4.6017
-0.91265,5.0173
4.6653,12.982999999999999
5.651,13.105
4.1465,7.4765
2.2933,2.1469
-0.27401,-0.54499
-3.8558,-2.4186
-6.4107,-4.4793
-5.9859,-5.4102
-3.9516,-4.9825
-3.1164,-5.4951
-2.9008,-8.1003
0.55587,-9.7044
8.2389,-5.8344
14.972999999999999,3.9013
15.102,14.895999999999999
9.8856,21.843000000000004
5.5719,22.337
4.2768,16.421
1.1339,5.1009
-7.5064,-8.8715
-16.767,-20.065
-18.166,-22.951
-10.411,-16.660999999999998
-1.1894,-6.4958
2.1018,0.39038
-0.031775,1.1922
-2.0597,-0.72282
-1.0296,-0.2495
1.18,3.6408
1.9854,7.3547
1.797,7.8696
2.8017,6.6256
5.2762,6.5746
6.6433,6.7194
4.7366,2.8177
1.0131,-5.8676
-0.99511,-13.465
-0.16275,-13.122
1.3798,-4.2127
2.2275,7.4922
3.6084,15.15
5.5431,14.811
4.2565,6.5576
-2.7041,-4.9606
-10.503,-12.091
-11.136,-9.9673
-3.9178,-1.6632
2.639,4.3788
1.1540000000000001,2.6574
-6.0288,-4.7642
-10.95,-11.412
-9.6943,-12.331
-4.7098,-7.2493
0.5506,0.07488
5.3978,5.443
10.255999999999998,8.3993
14.118,11.918
14.796,16.293
10.806,15.716
2.9674,5.3441
-5.0372,-9.0577
-8.3739,-14.579
-5.0954,-6.4276
1.2770000000000001,5.233
4.5906,7.4498
2.1404,-0.25761999999999996
-2.8197,-7.482
-5.1429,-7.2977
-3.7574,-3.3379
-2.6717,-2.6673
-5.7511,-6.7155
-11.187999999999999,-10.950999999999999
-12.561,-10.219
-6.0968,-2.7791
4.3392,8.4335
11.22,17.211
11.758,18.91
9.9285,14.970999999999998
9.6791,10.509
9.0062,6.93
3.2279,0.42955
-7.2383,-10.46
-15.489,-19.762
-15.257,-20.459
-7.597,-13.800999999999998
0.73683,-7.5623
4.7383,-5.4635
5.6607,-2.8239
8.0843,5.9657
13.539000000000001,19.015
17.922,27.985
15.275,25.741
3.7818,11.936
-11.83,-6.6645
-23.295,-19.994
-24.570999999999998,-21.445
-16.257,-13.509
-5.2966,-5.4009
0.76681,-3.0951
0.65291,-3.4165
-0.10589000000000001,-0.17989000000000002
3.3599,6.2482
8.5459,9.6062
8.9889,6.9208
3.8573,2.2799
0.16685999999999998,0.5744100000000001
3.6789,1.5414
10.956,2.0053
13.874,0.95509
9.9944,-0.1704
4.1048,-0.38426
3.5527e-15,4.4409e-16
