EEG.O1,EEG.O2,MarkerValueInt
4163.589844,4175.128418,2.0
4156.410156,4172.05127,2.0
4162.692383,4179.230957,2.0
4165.384765999999,4177.94873,2.0
4161.2822270000015,4172.436035,2.0
4153.205078,4171.025879,2.0
4150.6411130000015,4169.3588869999985,2.0
4159.3588869999985,4167.307617,2.0
4153.589844,4157.05127,2.0
4153.589844,4157.820313,2.0
4157.563965,4166.2822270000015,2.0
4161.794922,4172.307617,2.0
4147.05127,4161.666504,2.0
4154.743652,4170.0,2.0
4159.487305,4176.153809,2.0
4164.102539,4178.333496,2.0
4152.820313,4166.794922,2.0
4149.615234000001,4161.025879,2.0
4149.615234000001,4160.0,2.0
4160.128418,4169.487305,2.0
4158.0771479999985,4166.410156,2.0
4153.846191,4161.794922,2.0
4154.102539,4167.692383,2.0
4157.94873,4172.05127,2.0
4157.94873,4172.563965,2.0
4149.487305,4167.820313,2.0
4154.743652,4167.820313,2.0
4165.128418,4172.307617,2.0
4172.692383,4176.9228520000015,2.0
4162.692383,4167.179688,2.0
4168.589844,4170.512695,2.0
4163.846191,4169.871582,2.0
4158.589844,4167.307617,2.0
4147.179688,4161.666504,2.0
4151.153809,4165.256348,2.0
4150.384765999999,4162.94873,2.0
4171.153809,4178.0771479999985,2.0
4171.9228520000015,4177.563965,2.0
4148.0771479999985,4158.974121,2.0
4142.179688,4155.769043,2.0
4176.9228520000015,4178.7177729999985,2.0
4186.410156,4184.487305,2.0
4171.666504,4174.487305,2.0
4178.333496,4176.410156,2.0
4172.05127,4173.846191,2.0
4151.2822270000015,4167.692383,2.0
4146.794922,4165.0,2.0
4171.410156,4176.9228520000015,2.0
4170.128418,4174.871582,2.0
4159.3588869999985,4163.333496,2.0
4150.897461,4150.6411130000015,2.0
4162.820313,4159.615234000001,2.0
4157.307617,4160.256348,2.0
4157.563965,4158.0771479999985,2.0
4157.436035,4155.769043,2.0
4159.230957,4161.666504,2.0
4152.05127,4157.94873,2.0
4155.256348,4156.153809,2.0
4152.94873,4153.974121,2.0
4157.179688,4156.025879,2.0
4165.769043,4159.871582,2.0
4169.871582,4164.230957,2.0
4174.3588869999985,4170.384765999999,2.0
4176.410156,4173.333496,2.0
4179.230957,4177.436035,2.0
4167.692383,4169.3588869999985,2.0
4165.6411130000015,4165.256348,2.0
4161.666504,4161.410156,2.0
4166.410156,4165.897461,2.0
4151.410156,4158.589844,2.0
4148.333496,4160.897461,2.0
4155.256348,4165.0,2.0
4171.666504,4170.897461,2.0
4164.871582,4166.2822270000015,2.0
