EEG.O1,EEG.O2
4156.538574,4173.0771479999985
4153.974121,4164.102539
4149.615234000001,4154.102539
4150.256348,4158.974121
4151.9228520000015,4168.0771479999985
4153.461426,4167.94873
4159.102539,4166.410156
4161.666504,4169.102539
4162.179688,4171.153809
4162.692383,4174.102539
4162.307617,4174.615234000001
4160.0,4169.743652
4162.820313,4169.615234000001
4164.3588869999985,4171.410156
4159.743652,4169.102539
4157.820313,4166.410156
4157.563965,4167.307617
4159.487305,4167.692383
4168.333496,4168.846191
4175.128418,4177.307617
4167.94873,4183.846191
4156.153809,4171.410156
4154.871582,4156.2822270000015
4155.6411130000015,4161.2822270000015
4152.820313,4170.0
4152.692383,4168.205078
4156.9228520000015,4168.205078
4158.7177729999985,4171.153809
4158.461426,4172.692383
4156.538574,4173.974121
4152.307617,4172.94873
4151.794922,4170.769043
4152.94873,4168.461426
4153.7177729999985,4165.897461
4159.102539,4168.205078
4164.487305,4168.333496
4157.692383,4158.205078
4147.179688,4154.102539
4148.205078,4160.0
4152.820313,4159.615234000001
4151.410156,4158.333496
4152.05127,4165.512695
4155.512695,4170.256348
4160.512695,4169.487305
4165.769043,4170.256348
4163.846191,4164.871582
4154.743652,4160.128418
4151.666504,4163.7177729999985
4153.7177729999985,4162.05127
4151.025879,4154.615234000001
4152.436035,4154.487305
4155.256348,4156.153809
4152.692383,4155.128418
4151.794922,4157.820313
4154.230957,4159.230957
4152.820313,4153.974121
4147.820313,4150.769043
4147.307617,4152.307617
4153.846191,4155.512695
4156.025879,4155.0
4147.563965,4153.7177729999985
4145.384765999999,4155.384765999999
4153.846191,4156.2822270000015
4155.512695,4159.487305
4152.820313,4164.743652
4154.743652,4163.333496
4154.871582,4158.0771479999985
4151.2822270000015,4156.153809
4150.384765999999,4155.128418
4152.05127,4154.615234000001
4151.538574,4156.2822270000015
4148.7177729999985,4157.436035
4148.7177729999985,4158.589844
4153.205078,4161.666504
4156.153809,4162.179688
4153.974121,4160.384765999999
4150.128418,4154.3588869999985
4150.6411130000015,4153.0771479999985
4154.743652,4163.0771479999985
4153.974121,4165.6411130000015
4154.3588869999985,4162.820313
4160.6411130000015,4170.512695
4164.487305,4176.025879
4163.205078,4172.563965
4156.410156,4169.871582
4147.05127,4165.512695
4151.410156,4164.102539
4162.436035,4174.3588869999985
4159.743652,4177.563965
4152.307617,4169.3588869999985
4155.0,4169.615234000001
4158.205078,4172.820313
4156.2822270000015,4172.94873
4155.769043,4180.384765999999
4158.846191,4181.153809
4157.179688,4171.025879
4155.512695,4172.820313
4161.410156,4178.846191
4163.205078,4172.05127
4159.743652,4168.974121
4164.3588869999985,4175.128418
4172.307617,4173.461426
4168.846191,4172.179688
4157.436035,4174.3588869999985
4154.743652,4173.0771479999985
4157.179688,4172.94873
4155.256348,4168.846191
4157.436035,4166.153809
4167.563965,4176.666504
4171.025879,4182.563965
4167.179688,4173.0771479999985
4173.589844,4170.897461
4180.256348,4179.743652
4174.230957,4180.512695
4166.794922,4178.974121
4169.230957,4185.0
4173.333496,4188.7177729999985
4170.256348,4185.897461
4168.7177729999985,4184.743652
4170.384765999999,4186.025879
4168.461426,4185.0
4166.2822270000015,4182.05127
4169.487305,4182.307617
4172.05127,4186.2822270000015
4168.461426,4185.769043
4166.153809,4176.025879
4167.179688,4169.230957
4166.666504,4174.871582
4167.563965,4182.05127
4171.410156,4183.333496
4174.3588869999985,4182.94873
4171.666504,4181.538574
4171.794922,4181.153809
4179.871582,4183.846191
4181.794922,4186.666504
4177.563965,4185.0
4181.794922,4180.384765999999
4164.008068175281,4180.512695
4185.6411130000015,4181.153809
4173.589844,4173.461426
4168.7177729999985,4167.94873
4170.6411130000015,4179.230957
4171.9228520000015,4185.897461
4167.820313,4174.871582
4163.974121,4167.820313
4171.666504,4174.743652
4178.7177729999985,4178.7177729999985
4172.563965,4172.692383
4173.205078,4174.3588869999985
4181.666504,4184.102539
4176.2822270000015,4185.769043
4170.256348,4183.461426
4173.974121,4186.153809
4169.871582,4182.94873
4163.846191,4176.410156
4168.7177729999985,4177.436035
4170.384765999999,4178.974121
4168.0771479999985,4179.743652
4169.871582,4184.487305
4169.743652,4187.05127
4165.128418,4182.820313
4164.102539,4181.794922
4170.128418,4187.05127
4165.0,4181.2822270000015
4154.871582,4170.384765999999
4158.0771479999985,4173.205078
4162.820313,4181.2822270000015
4162.307617,4178.846191
4163.461426,4174.3588869999985
4159.615234000001,4172.820313
4150.897461,4166.2822270000015
4152.05127,4163.205078
4152.563965,4163.7177729999985
4143.0771479999985,4157.692383
4140.769043,4153.461426
4144.230957,4155.512695
4144.230957,4154.615234000001
4140.6411130000015,4151.153809
4164.008068175281,4154.743652
4164.008068175281,4158.205078
4164.008068175281,4156.153809
4141.794922,4152.436035
4146.666504,4150.6411130000015
4154.3588869999985,4155.0
4158.461426,4157.94873
4159.743652,4156.666504
4159.871582,4157.05127
4155.897461,4155.769043
4156.153809,4153.333496
4162.05127,4157.94873
4162.179688,4157.05127
4158.333496,4149.230957
4163.0771479999985,4159.615234000001
4168.205078,4172.94873
4158.846191,4160.512695
4151.025879,4170.571590813483
4155.512695,4157.692383
4156.666504,4161.410156
4153.205078,4156.025879
4153.0771479999985,4157.436035
4155.512695,4160.6411130000015
4158.974121,4164.743652
4164.3588869999985,4169.871582
4168.205078,4170.512695
4165.769043,4171.153809
4159.230957,4171.410156
4152.820313,4163.589844
4154.871582,4161.2822270000015
4159.871582,4162.94873
4152.563965,4158.461426
4151.794922,4163.461426
4166.666504,4174.230957
4168.205078,4170.512695
4155.128418,4163.846191
4158.846191,4170.256348
4174.230957,4176.025879
4167.05127,4170.384765999999
4154.743652,4169.615234000001
4162.94873,4180.0
4171.9228520000015,4184.487305
4167.307617,4181.538574
4165.6411130000015,4184.102539
4174.743652,4186.794922
4175.769043,4186.153809
4166.9228520000015,4184.743652
4165.0,4179.230957
4167.94873,4175.128418
4165.6411130000015,4176.9228520000015
4160.6411130000015,4176.538574
4161.025879,4171.410156
4163.333496,4167.563965
4167.179688,4173.333496
4174.230957,4181.794922
4170.6411130000015,4177.436035
4161.538574,4168.589844
4162.94873,4169.743652
4171.025879,4177.94873
4172.05127,4183.589844
4164.871582,4180.384765999999
4163.461426,4178.846191
4163.7177729999985,4179.3588869999985
4159.743652,4173.974121
4163.589844,4176.025879
4171.025879,4185.128418
4170.384765999999,4184.487305
4169.615234000001,4183.205078
4174.871582,4192.307617
4179.615234000001,4170.571590813483
4180.128418,4170.571590813483
4173.461426,4187.820313
4169.230957,4185.0
4172.307617,4186.9228520000015
4172.820313,4185.769043
4169.871582,4183.461426
4169.487305,4182.820313
4172.179688,4184.615234000001
4171.666504,4185.0
4167.307617,4182.436035
4165.769043,4180.897461
4166.2822270000015,4182.436035
4165.256348,4185.512695
4165.512695,4187.436035
4169.487305,4182.820313
4168.461426,4173.846191
4160.128418,4169.230957
4153.205078,4169.3588869999985
4155.128418,4169.871582
4161.2822270000015,4170.897461
4159.871582,4171.538574
4154.3588869999985,4170.256348
4152.179688,4169.3588869999985
