EEG.O1,EEG.O2
9.2736,14.999
13.097000000000001,25.747
9.9327,28.308000000000003
4.0313,22.448
1.695,13.435
3.9992,7.1652
5.3418,3.5341
1.1268,-2.5681
-5.8173,-13.239
-9.5103,-23.434
-8.9896,-26.504
-7.903,-21.771
-7.3756,-14.206
-4.5089999999999995,-7.6404
1.5232,-1.1954
6.7742,7.1264
7.9817,15.872
6.9981,20.968000000000004
7.0154,20.075
7.1285,14.526
4.0662,7.4589
-1.9777,1.5151
-6.6288,-1.8936
-6.666,-2.8588
-3.737,-3.1582
-1.8765,-4.8476
-2.5875,-7.6847
-3.4105,-8.7384
-1.1814,-5.6142
3.825,0.23293000000000003
7.4393,4.288
5.6853,3.2005
-0.74992,-2.0735
-6.7888,-7.2346
-7.9379,-8.5285
-4.3297,-5.7966
0.5351,-1.7798
4.018,1.3806
6.0125,4.003
6.8449,6.584
5.5794,7.2169
1.6818,3.9006
-2.7087,-0.86475
-4.1742,-1.3644
-2.0899,3.6829
0.14586,7.791
-0.9466200000000001,4.3431
-4.4622,-4.0518
-5.8923,-7.8516
-2.3736,-2.3001
3.9275,6.8701
8.0488,10.689
7.0051,6.6315
1.8215,-1.203
-4.2542,-8.7211
-8.3092,-14.663
-8.7668,-17.611
-5.4228,-14.654000000000002
0.38333,-5.1805
5.9421,6.1456
8.436,12.679
6.5537,11.824000000000002
1.1608,6.6932
-5.0545,2.248
-8.3575,0.88844
-5.4675,1.6092
3.7918,2.3042
14.582,2.3397
19.246,2.8888
13.458,4.5902
0.53376,5.1982
-11.457,1.0385
-17.070999999999998,-8.061
-17.008,-16.4
-14.474,-17.082
-10.384,-9.2223
-3.8608,1.1883
3.967,7.8819
9.4664,9.7667
10.322000000000001,9.1011
8.0735,6.925
5.8158,2.9269
4.4898,-1.5624
2.7346,-3.8151
-0.08540299999999999,-3.2615
-2.3077,-2.1935
-2.032,-2.1313
0.25823,-1.7729
2.2859,0.22145
2.8334,2.5007
2.6057,2.967
2.048,1.9678
0.032868,1.2894
-4.0142,0.81545
-7.9623,-1.1483
-8.9147,-4.0805
-6.8653,-4.598
-4.4533,-1.1988
-3.0497,2.4507
-1.1399,1.8249
2.7451,-1.5665
7.2587,-1.2577
9.5149,4.8347
8.0397,9.6752
3.6539,5.4172
-1.4642,-5.4719
-4.8,-12.409
-4.7689,-10.072000000000001
-2.0089,-4.0194
1.3078,-0.8810600000000001
3.8639,1.1179999999999999
5.6394,6.6984
5.7808,12.968
2.5289,12.068
-3.2864,3.5398
-7.3205,-3.7766
-6.9427,-4.2757
-5.1743,-3.1421
-5.7622,-6.9741
-6.1039,-12.21
-0.39553,-9.6274
10.024,1.7246
15.465,11.970999999999998
9.7859,12.544
-1.3751,5.336
-8.3649,-2.2537
-9.3076,-6.4687
-8.4497,-7.6479
-6.0883,-5.1644
1.3816,2.2847
11.249,11.44
13.58,14.573
4.8703,7.4165
-4.7899,-5.3732
-5.0474,-15.107000000000001
-0.26728,-17.771
-2.023,-14.966
-9.4588,-7.6522
-8.7934,5.4011
5.1605,20.642
17.98,26.776999999999997
13.751,15.767000000000001
-2.815,-4.4813
-12.38,-15.925
-6.5673,-11.008
2.6582,-1.3465
0.8668600000000001,-2.1283
-10.026,-12.745999999999999
-15.634,-18.055999999999997
-6.9499,-6.4615
10.485,17.183
22.813000000000002,35.18
19.965999999999998,31.785999999999998
4.0009,7.9067
-11.677999999999999,-16.988
-13.890999999999998,-22.430999999999997
-3.5634,-9.4646
4.6755,-0.0029647
0.1363,-9.4311
-10.157,-26.354
-10.687999999999999,-26.948
2.0083,-4.6769
15.125,23.261999999999997
16.027,36.803000000000004
5.882999999999999,31.26
-5.4474,15.089
-11.790999999999999,-1.3104
-13.280999999999999,-11.578
-10.991,-14.620999999999999
-5.1469,-13.863
2.2648,-12.527000000000001
8.0964,-8.7501
11.707,0.70485
14.474,11.655
15.311,13.737
10.649000000000001,3.7528
0.46235,-7.4859
-9.2327,-7.0769
-12.911,3.895
-12.338,11.808
-13.277000000000001,7.2989999999999995
-16.386,-4.6257
-15.415,-12.325
-5.4866,-11.008
9.8137,-5.8193
21.557,-3.7596
23.951999999999998,-5.6202
17.927,-6.053
7.8384,-0.19164
-2.5455,10.732999999999999
-10.663,20.658
-14.334000000000001,24.72
-12.302,21.934
-5.6218,11.945
2.1489,-6.0242
6.6762,-26.969
5.6724,-37.272
0.9229,-26.561999999999998
-2.8546,-2.5860000000000003
-2.3674,14.133
0.9518200000000001,13.389000000000001
3.0385,5.6408
2.4004,5.1162
1.4014,10.432
1.8895,9.571
1.9351,-1.3348
-1.1804,-13.437000000000001
-6.4216,-17.115
-10.021,-10.286
-10.126,3.6439
-7.6499,17.362000000000002
-3.0247,19.695999999999998
4.2897,4.5132
12.265,-17.082
15.863,-22.861
12.523,-4.5051
5.8878,19.72
1.5588,25.109
0.57372,9.4362
-0.5029399999999999,-6.7897
-4.1404,-7.3803
-9.0741,1.7193
-12.422,3.9053
-12.177,-6.8009
-7.8594,-21.159000000000002
-1.0032,-26.693
5.0111,-18.84
7.7398,-2.6592
8.3329,11.683
9.2806,16.283
9.69,12.386
5.7946,9.2969
-3.0715,13.265
-12.089,18.848
-16.281,15.581
-15.565,2.4996
-12.155,-9.4871
-5.4903,-11.362
6.1607,-7.1082
19.735,-7.0316
27.443,-12.911
24.499000000000002,-15.378
14.071,-6.8391
2.6683,7.3154
-6.9723,13.785
-15.707,6.3549
-22.629,-7.5152
-24.052,-15.654000000000002
-18.211,-13.556
-7.6477,-5.5104
3.9569,3.6519999999999997
14.19,12.622
19.969,19.496
17.285999999999998,20.014
6.3128,13.687000000000001
-5.9387,7.1123
-12.05,5.6393
-11.732000000000001,4.5356
-9.1462,-4.9547
-4.7726,-21.514
4.3289,-32.559
16.279,-28.491999999999997
22.834,-12.488
18.599,5.5182
7.0999,18.647000000000002
-5.0482,24.14
-15.35,20.849
-23.003,10.947000000000001
-23.928,0.5722
-14.731,-6.0537
-0.014662999999999999,-10.57
10.628,-14.661
13.499,-14.089
13.489,-4.6224
14.647,8.2249
13.345999999999998,12.612
4.2605,4.5309
-10.255999999999998,-6.9892
-20.999000000000002,-10.81
-21.139,-5.5137
-11.752,2.15
0.92585,6.98
10.780999999999999,9.5473
14.575,11.927
12.489,12.954
7.2291,9.2142
1.6098,-0.20945
-3.1422,-11.118
-6.0775,-16.865
-5.1935,-13.954
-0.16627999999999998,-5.1327
4.5036,3.0207
3.2209,5.4933
-2.9197,2.3302
-6.1964,-2.1466
-2.387,-3.2842
3.0565,-0.1709
2.735,3.7164
-2.0469999999999997,4.4356
-3.9645,1.8906
-1.492,-0.9984299999999999
-0.97216,-2.7825
-5.3535,-4.3459
-7.8895,-5.0085
-2.0536,-1.8263
7.1711,4.8029
9.1262,8.7117
2.8253,5.5264
-1.3719,-0.006482300000000001
3.2112,0.1436
10.16,5.4383
9.8231,7.3349
2.9051,2.1638
-2.2503,-3.7060000000000004
-2.7764,-4.2396
-3.7936,-2.3632
-7.805,-3.3793
-9.5731,-5.7461
-5.1442,-5.2766
0.18447,-4.1822
-1.1083,-7.4408
-7.0847,-12.089
-8.4378,-9.3202
-1.6289,1.9255
6.5594,12.020999999999999
9.1559,14.036
7.8539,12.27
8.062000000000001,12.927999999999999
9.4948,13.24
7.1996,6.8225
0.25338,-4.4964
-6.1805,-12.115
-8.0445,-12.374
-6.9822,-9.5729
-5.9685,-7.2354
-4.2685,-3.4611
0.097652,2.8727
5.2736,7.3805
6.733,5.6859
3.0860000000000003,-0.18298
-2.1724,-4.8979
-4.9959,-6.4918
-4.7245,-5.9726
-3.2236,-2.9018
-1.9112,3.5163
-0.6218199999999999,9.9418
1.442,10.853
4.3268,5.8168
6.6855,0.52705
6.6722,-0.75356
3.9556,0.028186000000000003
0.43841,-0.7812100000000001
-1.6962,-2.9982
-2.1552,-4.3111
