EEG.O1,EEG.O2,MarkerValueInt
4163.0771479999985,4149.743652,5.0
4165.0,4151.153809,5.0
4160.0,4152.436035,5.0
4157.563965,4150.6411130000015,5.0
4165.0,4160.384765999999,5.0
4169.871582,4172.307617,5.0
4168.7177729999985,4171.666504,5.0
4170.128418,4170.512695,5.0
4171.2822270000015,4174.615234000001,5.0
4168.974121,4172.307617,5.0
4170.128418,4171.794922,5.0
4175.769043,4178.205078,5.0
4175.897461,4177.563965,5.0
4166.666504,4169.3588869999985,5.0
4164.230957,4160.256348,5.0
4169.3588869999985,4156.794922,5.0
4171.666504,4163.461426,5.0
4175.512695,4170.0,5.0
4184.3588869999985,4171.794922,5.0
4188.974121,4175.769043,5.0
4182.692383,4176.153809,5.0
4172.05127,4168.333496,5.0
4167.563965,4167.692383,5.0
4170.0,4175.128418,5.0
4168.846191,4175.256348,5.0
4164.487305,4169.871582,5.0
4166.666504,4170.897461,5.0
4169.743652,4168.974121,5.0
4169.871582,4155.256348,5.0
4171.794922,4149.3588869999985,5.0
4174.102539,4157.179688,5.0
4173.974121,4157.05127,5.0
4169.487305,4155.897461,5.0
4166.9228520000015,4173.7177729999985,5.0
4169.230957,4194.230957,5.0
4166.666504,4194.743652,5.0
4158.974121,4179.3588869999985,5.0
4156.2822270000015,4169.871582,5.0
4163.205078,4166.666504,5.0
4165.897461,4156.794922,5.0
4158.7177729999985,4146.2822270000015,5.0
4151.410156,4143.0771479999985,5.0
4152.307617,4138.0771479999985,5.0
4161.538574,4139.3588869999985,5.0
4167.436035,4159.487305,5.0
4167.179688,4176.2822270000015,5.0
4169.487305,4177.94873,5.0
4170.6411130000015,4173.7177729999985,5.0
4171.410156,4169.487305,5.0
4177.307617,4168.205078,5.0
4179.230957,4172.94873,5.0
4169.487305,4166.538574,5.0
4164.615234000001,4153.205078,5.0
4169.487305,4159.615234000001,5.0
4172.436035,4176.410156,5.0
4169.230957,4175.0,5.0
4163.333496,4163.205078,5.0
4169.102539,4173.7177729999985,5.0
4184.102539,4184.743652,5.0
4188.205078,4176.666504,5.0
4185.0,4174.615234000001,5.0
4187.692383,4179.230957,5.0
4185.6411130000015,4171.538574,5.0
4174.871582,4165.128418,5.0
4171.025879,4172.563965,5.0
4167.94873,4168.0771479999985,5.0
4161.153809,4160.6411130000015,5.0
4165.6411130000015,4165.6411130000015,5.0
4173.589844,4167.179688,5.0
4170.512695,4161.666504,5.0
4174.102539,4168.461426,5.0
4187.820313,4187.436035,5.0
4182.05127,4187.820313,5.0
4164.487305,4167.05127,5.0
4161.666504,4152.436035,5.0
4167.307617,4157.820313,5.0
4172.307617,4173.461426,5.0
4168.974121,4178.461426,5.0
4160.897461,4171.410156,5.0
4163.205078,4170.6411130000015,5.0
4167.436035,4170.897461,5.0
4163.461426,4157.05127,5.0
4164.487305,4148.846191,5.0
4173.205078,4153.974121,5.0
4173.974121,4157.563965,5.0
4170.128418,4157.436035,5.0
4170.0,4157.692383,5.0
4166.410156,4159.487305,5.0
4165.512695,4166.538574,5.0
4167.692383,4173.333496,5.0
4166.794922,4169.3588869999985,5.0
4162.563965,4157.436035,5.0
4161.025879,4149.487305,5.0
4167.05127,4149.102539,5.0
4162.563965,4141.9228520000015,5.0
4156.9228520000015,4138.974121,5.0
4166.2822270000015,4153.461426,5.0
4168.205078,4161.794922,5.0
4159.743652,4153.461426,5.0
4162.820313,4152.692383,5.0
4171.025879,4164.102539,5.0
4168.461426,4167.692383,5.0
4165.897461,4163.333496,5.0
4164.871582,4160.128418,5.0
4163.205078,4161.538574,5.0
4165.256348,4161.410156,5.0
4165.769043,4160.384765999999,5.0
4166.538574,4165.6411130000015,5.0
4169.102539,4170.6411130000015,5.0
4170.512695,4169.743652,5.0
4174.615234000001,4175.0,5.0
4175.769043,4182.692383,5.0
4171.025879,4178.846191,5.0
4170.128418,4169.871582,5.0
4165.256348,4162.94873,5.0
4153.333496,4152.692383,5.0
4153.461426,4155.0,5.0
4160.769043,4164.743652,5.0
4156.666504,4157.692383,5.0
4159.615234000001,4158.0771479999985,5.0
4182.179688,4183.846191,5.0
4190.384765999999,4197.436035,5.0
4176.9228520000015,4183.974121,5.0
4167.436035,4173.205078,5.0
4171.025879,4182.94873,5.0
4173.461426,4187.820313,5.0
4165.769043,4177.563965,5.0
4158.589844,4170.384765999999,5.0
4154.102539,4166.666504,5.0
4149.615234000001,4157.179688,5.0
4155.512695,4154.3588869999985,5.0
4168.205078,4155.512695,5.0
4170.256348,4152.820313,5.0
4170.256348,4163.0771479999985,5.0
4175.6411130000015,4177.563965,5.0
4172.94873,4173.205078,5.0
4169.230957,4167.05127,5.0
4173.974121,4173.846191,5.0
4175.128418,4176.025879,5.0
4165.512695,4165.256348,5.0
4155.769043,4158.589844,5.0
4157.94873,4165.256348,5.0
4165.384765999999,4171.538574,5.0
4170.256348,4168.974121,5.0
4168.974121,4158.7177729999985,5.0
4169.487305,4151.9228520000015,5.0
4179.3588869999985,4161.410156,5.0
4184.615234000001,4167.820313,5.0
4175.384765999999,4152.436035,5.0
4164.230957,4139.743652,5.0
4159.743652,4147.436035,5.0
4158.333496,4151.666504,5.0
4154.743652,4142.820313,5.0
4142.94873,4136.9228520000015,5.0
4138.589844,4144.871582,5.0
4148.7177729999985,4153.7177729999985,5.0
4160.128418,4155.512695,5.0
4172.563965,4159.615234000001,5.0
4180.769043,4161.2822270000015,5.0
4175.384765999999,4160.769043,5.0
4171.794922,4162.05127,5.0
4171.153809,4158.461426,5.0
4158.205078,4151.666504,5.0
4143.461426,4146.794922,5.0
4135.897461,4142.05127,5.0
4126.794922,4136.538574,5.0
4119.487305,4128.333496,5.0
4124.615234000001,4118.7177729999985,5.0
4144.743652,4126.538574,5.0
4166.2822270000015,4148.0771479999985,5.0
4173.205078,4161.666504,5.0
4172.820313,4167.563965,5.0
4172.563965,4167.94873,5.0
4165.0,4161.794922,5.0
4156.794922,4158.0771479999985,5.0
4149.615234000001,4157.05127,5.0
4138.333496,4151.410156,5.0
4133.205078,4143.205078,5.0
4138.0771479999985,4132.563965,5.0
4140.769043,4121.025879,5.0
4142.820313,4120.512695,5.0
4151.2822270000015,4132.436035,5.0
4161.153809,4139.3588869999985,5.0
4164.615234000001,4139.230957,5.0
4160.256348,4145.897461,5.0
4152.94873,4152.820313,5.0
4145.897461,4152.94873,5.0
4139.230957,4155.897461,5.0
4132.820313,4156.410156,5.0
4123.0771479999985,4144.3588869999985,5.0
4113.0771479999985,4137.436035,5.0
4113.846191,4135.769043,5.0
4127.692383,4127.179688,5.0
4145.769043,4124.102539,5.0
4154.615234000001,4128.589844,5.0
4152.05127,4127.436035,5.0
4149.743652,4125.897461,5.0
4147.436035,4129.102539,5.0
4142.820313,4132.563965,5.0
4134.615234000001,4136.666504,5.0
4124.487305,4135.256348,5.0
4120.897461,4124.615234000001,5.0
4127.436035,4124.615234000001,5.0
4135.512695,4135.384765999999,5.0
4141.666504,4142.436035,5.0
4145.512695,4142.94873,5.0
4145.6411130000015,4134.487305,5.0
4149.487305,4128.7177729999985,5.0
4150.384765999999,4132.94873,5.0
4142.436035,4130.512695,5.0
4129.102539,4118.7177729999985,5.0
4113.0771479999985,4119.230957,5.0
4108.205078,4125.897461,5.0
4114.230957,4123.846191,5.0
4118.205078,4125.897461,5.0
4125.6411130000015,4140.6411130000015,5.0
4138.205078,4149.615234000001,5.0
4143.461426,4144.102539,5.0
4148.974121,4144.615234000001,5.0
4158.461426,4148.974121,5.0
4157.94873,4144.230957,5.0
4155.0,4139.743652,5.0
4151.025879,4139.487305,5.0
4140.384765999999,4136.410156,5.0
4136.794922,4135.384765999999,5.0
4133.0771479999985,4138.7177729999985,5.0
4124.487305,4141.9228520000015,5.0
4129.615234000001,4152.179688,5.0
4138.846191,4156.2822270000015,5.0
4137.692383,4150.6411130000015,5.0
4144.487305,4153.333496,5.0
4155.6411130000015,4154.615234000001,5.0
4155.0,4149.743652,5.0
4154.102539,4148.333496,5.0
4154.743652,4148.974121,5.0
4143.974121,4135.897461,5.0
4136.9228520000015,4121.2822270000015,5.0
4138.589844,4126.025879,5.0
4139.3588869999985,4135.0,5.0
4146.2822270000015,4136.410156,5.0
4157.179688,4139.871582,5.0
4158.205078,4144.230957,5.0
4152.820313,4138.974121,5.0
4153.846191,4133.846191,5.0
4154.743652,4136.794922,5.0
4149.615234000001,4139.230957,5.0
4140.6411130000015,4141.9228520000015,5.0
4129.230957,4140.897461,5.0
4122.307617,4137.436035,5.0
4125.128418,4139.3588869999985,5.0
4131.666504,4139.102539,5.0
4137.94873,4136.153809,5.0
4147.179688,4137.436035,5.0
4154.3588869999985,4138.846191,5.0
4155.256348,4141.153809,5.0
4156.794922,4150.384765999999,5.0
4158.0771479999985,4156.153809,5.0
4157.820313,4152.820313,5.0
4154.871582,4154.871582,5.0
4146.410156,4155.256348,5.0
4137.05127,4143.0771479999985,5.0
4134.615234000001,4135.0,5.0
4136.025879,4144.743652,5.0
4135.6411130000015,4152.436035,5.0
4136.2822270000015,4142.94873,5.0
4135.256348,4137.563965,5.0
4137.179688,4149.615234000001,5.0
4148.461426,4160.128418,5.0
4154.871582,4151.538574,5.0
4150.128418,4140.256348,5.0
4150.6411130000015,4147.94873,5.0
4156.410156,4159.615234000001,5.0
4147.94873,4158.846191,5.0
4136.666504,4153.333496,5.0
4138.0771479999985,4148.589844,5.0
4136.794922,4139.230957,5.0
4133.0771479999985,4133.589844,5.0
4142.05127,4141.666504,5.0
4156.025879,4153.7177729999985,5.0
4160.384765999999,4157.179688,5.0
4159.615234000001,4155.384765999999,5.0
4157.179688,4155.512695,5.0
4154.487305,4153.205078,5.0
4154.871582,4153.461426,5.0
4153.7177729999985,4160.769043,5.0
4152.94873,4163.333496,5.0
4150.897461,4156.794922,5.0
4142.436035,4147.307617,5.0
4141.794922,4143.974121,5.0
4154.102539,4149.230957,5.0
4159.230957,4153.589844,5.0
4158.461426,4151.2822270000015,5.0
4165.897461,4150.897461,5.0
4174.3588869999985,4156.666504,5.0
