EEG.O1,EEG.O2
2.5857,-6.4514
5.1232,-12.241
6.6652,-16.109
6.8915,-15.661
7.1291,-9.1733
8.0253,0.94576
7.4691,8.6357
3.2497,10.255999999999998
-2.873,8.5225
-6.5443,7.8658
-6.4396,7.4594
-5.6833,2.7718
-6.6144,-5.9247
-6.9493,-11.015
-3.5203,-6.2369
2.0534,4.5235
4.7342,10.767999999999999
2.847,7.3835
0.33252,-0.22357
1.147,-3.9945
3.8968,-3.0221
4.1612,-2.4853
0.83473,-4.6866
-2.4122,-5.9128
-2.1426,-3.2634
0.46256,-0.19280999999999998
1.4256,-1.6202
-0.86388,-5.9334
-3.8703,-6.5125
-4.387,-1.0139
-2.4703,5.2605
-0.81701,6.654
-0.67978,4.1714
-0.013918999999999999,2.7051
3.4257,3.9682
8.1942,5.6186
10.048,6.0509
6.7781,6.2149
0.70649,6.4342
-4.1415,4.857
-6.0013,0.57976
-5.6772,-4.1925
-4.3307,-7.1706
-2.6848,-9.3025
-1.7206,-12.356
-2.0725,-14.228
-2.5068,-10.272
-0.8358899999999999,-0.21091
2.8477,9.2244
5.3161,10.812999999999999
3.7814,4.5937
-0.63931,-2.9303
-4.262,-6.2332
-4.8217,-5.0623
-2.6891,-1.8062
1.1022,2.4181
5.7846,7.666
9.5663,12.77
9.734,14.984000000000002
5.5333,12.302999999999999
-0.29822,5.5903
-4.3433,-1.9196
-6.0449,-7.3261
-7.0528,-10.126
-7.8479,-11.345999999999998
-6.9716,-11.187999999999999
-3.5984,-8.8413
0.96136,-4.6193
4.8347,-0.46181000000000005
7.1465,2.4766
7.3571,4.8599
4.6756,6.5904
-0.45448,5.4672
-5.2621,0.78795
-6.7051,-3.5495
-4.5066,-2.9174
-1.0814,1.7044
1.3392,4.5987
2.4204,2.6123
2.7833,-1.5356
2.7991,-3.6652
2.7496,-2.6048
3.0009,0.69825
3.1759,5.0657
1.9283,8.0993
-1.3969,6.4716
-5.1588,0.32819
-6.5674,-4.7689
-4.6926,-3.9746
-1.524,-0.083129
0.43576000000000004,-0.26669
0.91709,-5.8792
1.442,-9.7862
2.7268,-5.6315
3.8369999999999997,3.5821
3.8636,9.0143
2.8674,6.1271
0.69214,-1.6254
-3.2474,-8.0031
-7.5746,-9.552999999999999
-8.2229,-6.1499
-2.8605,0.45266000000000006
4.6772,6.9729
7.587999999999999,9.8098
4.2022,8.1961
-0.16086,5.2735
-0.62395,4.2663
1.0992,4.2998
0.45458000000000004,2.0774
-2.5836,-2.5323
-3.6662,-5.2786
-0.7982100000000001,-3.2204
2.8708,0.44601
3.6683,-0.1328
1.7633,-5.6796
-0.52405,-10.29
-2.3486,-8.7116
-4.0978,-2.9079
-4.9664,0.7661100000000001
-3.352,-0.16935999999999998
0.37544,-1.6428
3.469,0.89099
3.8419,6.1908
2.3956,9.0912
1.6053,7.4368
2.4315,4.4033
3.3819,3.4372
2.4678,3.4641
-0.5018699999999999,1.1592
-3.7544,-3.5117
-5.3414,-6.8219
-4.7341,-6.1773
-2.7974,-2.8192
-0.79893,0.81442
0.33978,3.5986
0.49832,4.3754
0.65479,1.2543
2.1123,-4.9004
4.5868,-8.532
5.647,-4.9433
3.2763,2.6919999999999997
-1.2979,5.7475
-4.6591,0.52581
-4.9476,-6.7924
-3.1174,-7.2984
-0.62844,0.47673999999999994
2.0967,9.4024
4.4281,11.757
4.8536,6.667999999999999
2.8018,-0.37218
-0.33097,-4.0586
-3.0779,-4.2016
-5.319,-3.8677
-6.6739,-3.9992
-5.3995,-2.3239
-0.91658,1.9809999999999999
3.9374,5.5341
5.5542,4.9384
3.7924,1.5611
1.4874,-0.8937799999999999
0.38268,-1.9556
-0.11953,-3.7247
-0.49622,-5.5043
-0.061457000000000005,-3.7457
1.1203,1.8393
1.5703,6.3849
0.62195,6.0449
-0.42754,2.6337
-0.45586000000000004,-0.24176
-0.36436,-2.539
-1.5115,-5.9879999999999995
-3.2782,-9.0904
-3.5879,-7.8606
-1.5644,-1.3067
1.3198,6.6366
2.7775,10.817
1.8912,8.7725
-0.19704000000000002,1.6481
-1.5278,-6.3464
-1.3282,-9.7567
-0.70016,-6.0496
-0.9113,1.3432
-1.2397,6.3403
0.35514,7.0816
3.9755,6.9654
6.5113,8.0728
5.0412,7.1338
0.8506,0.8981899999999999
-1.8283,-7.2021
-1.2074,-10.196
-0.0059393,-6.6887
-1.1613,-2.5154
-3.5625,-2.7579
-4.1924,-6.0194
-3.0369,-7.8254
-2.687,-5.9639999999999995
-3.3301,-0.8073600000000001
-1.8871,5.8041
2.4957,9.7622
5.5874,6.9674
3.6065,-0.31240999999999997
-0.8122199999999999,-3.5052
-1.9365,1.5168
1.0431,7.7917
3.4978,6.9774
2.7232,1.8423
1.2975,1.3521
1.7384,5.6623
2.1042,5.6160000000000005
-0.10405999999999999,-2.1221
-2.8191,-9.1953
-2.2141,-8.4544
0.8473,-4.1879
1.3085,-3.6812
-2.9706,-5.5249
-7.9365,-3.9888
-8.2855,-0.30959000000000003
-3.4986,-0.64163
2.2969999999999997,-4.5019
5.1043,-4.2395
4.5362,2.8053
3.1851,9.3327
3.3045,8.3902
4.1452,2.6737
2.9567,-0.5453399999999999
-0.95944,0.76144
-4.3012,3.3543
-3.4377,5.2363
0.6732,6.7964
3.4439,6.932
2.4647,3.285
-0.15542999999999998,-3.4058
-1.8169,-9.1786
-2.9453,-11.632
-4.7263,-11.584000000000001
-5.7486,-9.7108
-3.7356,-5.2275
0.52344,1.0127
3.759,5.6279
4.377,6.7673
3.6124,6.3262
2.7439999999999998,6.257000000000001
1.7249,5.3294
0.78261,1.9141
0.6925399999999999,-2.3338
0.6934600000000001,-4.4741
-1.188,-4.3102
-4.3796,-3.3401
-4.9896,-1.0384
-1.0402,3.8743
3.6726,8.6503
3.9788,7.6017
0.33079000000000003,-0.004058
-2.0322,-6.8363
-0.6194,-5.9613
1.272,-0.3222
0.018135,0.83826
-3.113,-5.1769
-4.2866,-10.24
-2.3494,-6.153
0.7199300000000001,4.306
3.1237,11.047
4.4069,9.1988
4.1109,3.4003
1.9008,-0.036066
-0.9866299999999999,-0.56447
-2.5631,-1.3759
-2.5273,-3.466
-2.1028,-4.7472
-1.5082,-3.6391
0.28009,-0.85511
2.9293,2.1575
4.1568,4.5131
2.6535,5.2735
-0.1667,3.2596
-2.26,-1.2645
-3.1289,-5.4359
-2.9677,-5.8953
-1.5379,-2.4743
0.58818,1.3217
1.3286,2.3418
-0.33214,1.3055
-2.1509,0.96955
-1.1942,1.7535
1.9476,1.5172
3.6959,-0.44026000000000004
2.1684,-2.0128
-0.71739,-1.8359
-2.1459,-1.3645
-1.5211,-1.6280000000000001
0.0030585,-0.71685
1.4027,2.5902
2.0557,5.0094
1.3882,2.6298
-0.32759,-2.4755
-1.4303,-4.0736
-0.45171999999999995,-0.43504
1.8577,3.3964
3.0731,3.346
1.7633,1.734
-1.0965,2.0525
-3.4946,2.2792
-4.4408,-1.8897
-4.2029,-9.0064
-3.0363,-12.152999999999999
-0.7199399999999999,-7.6029
2.2475,0.69223
3.8947,6.3761
2.5774,7.3556
-0.40981000000000006,5.7291
-1.5202,3.766
0.82591,2.3049
3.8662,1.6664
3.7817,1.7352
0.6153,1.4299
-1.9268,-0.28179
-1.4463,-2.8908
0.39445,-4.894
0.7057899999999999,-5.5043
-0.84477,-4.8433
-2.3717,-3.0461
-2.6597,-0.57626
-2.0558,1.0552
-1.0145,0.77535
0.52518,0.16455999999999998
2.1215,2.0484
2.6039,6.2346
1.5218,8.8226
-0.089161,7.0191
-1.0487,2.5595
-1.3621,-1.4587
-1.4396,-4.9153
-0.8235299999999999,-8.8598
0.97426,-11.047
2.7419,-7.6281
2.3778,0.48223999999999995
-0.13641,7.0546
-2.1039,7.853
-1.4671,5.0711
0.40138,2.5924
0.7027399999999999,0.34263000000000005
-0.79737,-3.5027
-1.6794,-7.4279
-0.6694399999999999,-7.8739
0.54442,-4.5023
0.12897999999999998,-0.30761
-0.9388200000000001,3.1546
-0.29009,6.9322
2.2853,10.758
4.3598,11.633
3.8817,7.7678
1.3697,1.3142
-1.1841,-4.412
-2.5919,-8.2821
-3.0783,-10.345
-3.2117,-9.6052
-2.9925,-5.3866
-2.1093,0.047287
-0.72412,2.9356
0.44938999999999996,2.4475
1.0134,1.5877
1.4009,2.6327
1.9744,3.3607
2.0073,0.053533000000000004
0.6472100000000001,-6.1488
-1.0909,-8.7965
-0.73101,-3.6621
2.4752,5.4056
5.8562,10.927
5.9143,10.640999999999998
1.9839,7.9993
-3.5398,4.5087
-7.7483,-2.4092
-8.8943,-11.540999999999999
-6.5548,-14.092
-1.9509999999999998,-4.0066
2.2773,11.142000000000001
4.3514,16.863
5.1367,8.8237
5.9097,-3.5737
5.1315,-11.165999999999999
0.55356,-14.672
-5.377000000000001,-17.096
-6.4522,-14.573
-1.1641,-2.7966
3.7479,11.619000000000002
2.0978,16.129
-2.5476,9.1745
-2.0875,3.085
3.2588,6.1312
4.5245,9.6774
-2.1521,1.1889
-8.4923,-14.729000000000001
-5.6167,-19.428
2.8027,-5.3254
5.9197,12.645999999999999
1.5541,16.486
-1.4932,7.9167
2.4136,2.5026
7.1754,5.6001
4.5765,6.1428
-3.2655,-4.355
-7.1523,-17.662
-3.7108,-20.008
1.3553,-10.414000000000001
2.5052,0.043715
0.81245,3.7411
-0.42976000000000003,3.0658
-1.3829,2.2414
-3.5008,0.7525
-5.0794,-2.4067
-3.2235,-3.9295
1.1172,-0.17834
3.8858,6.9192
3.3971,11.747
1.8433,11.248
1.1904,6.6499
0.75617,0.7854
-0.22058000000000003,-3.4209
-0.48668999999999996,-3.4805
1.0421,0.17196
3.0779,3.1076
3.7602,1.5679
3.0429,-2.5555
1.5191,-4.7251
-1.4039,-4.7194
-5.6992,-6.1023
-8.3533,-8.8657
-5.9931,-8.1103
0.061564,-2.0486
4.1766,3.648
2.6887,3.1543
-2.1856,-1.3526
-5.5237,-3.1266
-4.9285,-0.23362
-1.6001,3.1395
2.0906,3.9634
4.6019,4.2455
5.737,6.587999999999999
6.3902,9.5453
7.2963,9.7399
7.5133,6.6533
5.1123,2.8394
0.0,-1.7764e-15
