EEG.O1,EEG.O2,MarkerValueInt
4159.871582,4148.461426,4.0
4153.0771479999985,4133.333496,4.0
4159.102539,4142.05127,4.0
4164.3588869999985,4157.692383,4.0
4158.589844,4148.589844,4.0
4153.0771479999985,4136.2822270000015,4.0
4154.615234000001,4143.7177729999985,4.0
4157.692383,4148.846191,4.0
4157.692383,4146.794922,4.0
4157.820313,4155.0,4.0
4158.205078,4159.743652,4.0
4154.615234000001,4151.2822270000015,4.0
4153.461426,4150.256348,4.0
4159.615234000001,4156.666504,4.0
4161.794922,4153.974121,4.0
4152.94873,4145.512695,4.0
4151.666504,4140.256348,4.0
4160.384765999999,4141.153809,4.0
4166.2822270000015,4149.743652,4.0
4173.589844,4161.153809,4.0
4179.871582,4171.2822270000015,4.0
4176.794922,4179.743652,4.0
4172.05127,4181.025879,4.0
4176.025879,4175.897461,4.0
4180.769043,4169.743652,4.0
4176.538574,4162.307617,4.0
4167.692383,4155.256348,4.0
4159.615234000001,4149.743652,4.0
4156.538574,4146.794922,4.0
4155.256348,4141.2822270000015,4.0
4158.7177729999985,4137.820313,4.0
4163.0771479999985,4142.436035,4.0
4156.153809,4141.666504,4.0
4150.769043,4139.230957,4.0
4153.589844,4148.7177729999985,4.0
4155.256348,4159.102539,4.0
4160.0,4163.7177729999985,4.0
4173.0771479999985,4174.743652,4.0
4174.871582,4174.3588869999985,4.0
4166.9228520000015,4155.897461,4.0
4168.461426,4151.666504,4.0
4173.333496,4157.05127,4.0
4169.3588869999985,4152.307617,4.0
4166.538574,4150.384765999999,4.0
4173.846191,4152.436035,4.0
4180.897461,4152.307617,4.0
4182.94873,4154.615234000001,4.0
4181.538574,4158.333496,4.0
4178.333496,4161.2822270000015,4.0
4174.487305,4160.256348,4.0
4173.974121,4154.3588869999985,4.0
4179.230957,4157.563965,4.0
4183.461426,4166.9228520000015,4.0
4188.0771479999985,4173.7177729999985,4.0
4189.487305,4175.769043,4.0
4186.410156,4167.436035,4.0
4192.307617,4171.025879,4.0
4202.05127,4196.9228520000015,4.0
4201.794922,4207.692383,4.0
4194.743652,4184.230957,4.0
4183.7177729999985,4160.6411130000015,4.0
4169.102539,4154.102539,4.0
4163.0771479999985,4149.102539,4.0
4161.410156,4145.256348,4.0
4154.487305,4141.025879,4.0
4157.563965,4138.205078,4.0
4165.256348,4141.025879,4.0
4169.102539,4151.025879,4.0
4175.512695,4160.0,4.0
4175.897461,4159.102539,4.0
4169.871582,4163.333496,4.0
4174.615234000001,4172.05127,4.0
4172.692383,4158.333496,4.0
4158.974121,4136.025879,4.0
4160.0,4141.025879,4.0
4171.2822270000015,4155.897461,4.0
4169.487305,4156.2822270000015,4.0
4168.205078,4162.436035,4.0
4178.333496,4171.666504,4.0
4186.794922,4171.2822270000015,4.0
4187.436035,4169.871582,4.0
4179.230957,4165.256348,4.0
4167.179688,4153.846191,4.0
4166.2822270000015,4147.94873,4.0
4168.589844,4148.974121,4.0
4164.102539,4150.769043,4.0
4166.538574,4154.615234000001,4.0
4174.3588869999985,4156.153809,4.0
4166.538574,4151.025879,4.0
4157.05127,4150.897461,4.0
4166.666504,4163.461426,4.0
4172.563965,4162.692383,4.0
4165.256348,4152.436035,4.0
4166.666504,4163.0771479999985,4.0
4170.6411130000015,4169.871582,4.0
4157.179688,4148.589844,4.0
4145.6411130000015,4136.794922,4.0
4156.794922,4150.769043,4.0
4169.230957,4158.461426,4.0
