EEG.O1,EEG.O2
4164.598233124716,4107.05127
4164.598233124716,4108.205078
4192.692383,4106.9228520000015
4185.256348,4110.128418
4184.3588869999985,4114.743652
4187.436035,4118.461426
4186.153809,4124.743652
4180.0,4120.769043
4173.589844,4108.333496
4173.589844,4106.410156
4181.794922,4111.794922
4185.128418,4112.563965
4183.974121,4111.538574
4188.0771479999985,4114.615234000001
4189.743652,4120.512695
4185.0,4127.179688
4186.153809,4125.769043
4185.256348,4114.487305
4173.974121,4104.871582
4170.512695,4105.128418
4175.897461,4108.333496
4174.743652,4109.3588869999985
4175.769043,4108.974121
4183.974121,4109.743652
4186.9228520000015,4118.846191
4187.307617,4137.692383
4187.563965,4141.153809
4184.487305,4127.307617
4185.256348,4124.871582
4186.410156,4134.102539
4177.820313,4128.0771479999985
4169.615234000001,4110.6411130000015
4171.666504,4110.0
4175.897461,4121.2822270000015
4179.487305,4122.436035
4181.538574,4118.205078
4186.153809,4125.512695
4191.410156,4137.436035
4191.153809,4141.666504
4186.410156,4140.384765999999
4182.94873,4132.94873
4183.846191,4128.846191
4181.9228520000015,4129.3588869999985
4175.256348,4123.974121
4172.94873,4122.05127
4175.0,4126.025879
4173.974121,4124.3588869999985
4169.487305,4118.589844
4169.871582,4115.0
4170.6411130000015,4112.436035
4169.102539,4117.179688
4171.9228520000015,4124.615234000001
4175.256348,4124.615234000001
4177.307617,4131.666504
4178.974121,4141.794922
4179.3588869999985,4130.6411130000015
4174.743652,4097.94873
4169.3588869999985,4056.794922
4173.205078,4119.023192809524
4183.205078,4119.023192809524
4187.436035,4119.023192809524
4184.487305,4119.023192809524
4182.94873,4119.023192809524
4186.025879,4119.023192809524
4187.05127,4119.023192809524
4185.384765999999,4119.023192809524
4183.974121,4119.023192809524
4186.025879,4119.023192809524
4186.410156,4119.023192809524
4185.6411130000015,4119.023192809524
4182.692383,4119.023192809524
4179.743652,4119.023192809524
4182.05127,4119.023192809524
4183.461426,4119.023192809524
4183.846191,4119.023192809524
4182.692383,4119.023192809524
4177.94873,4119.023192809524
4176.794922,4119.023192809524
4184.743652,4119.023192809524
