EEG.O1,EEG.O2
14.748,-4.5274
25.302,-6.6739
30.025,-7.8328
28.46,-10.308
20.17,-11.994000000000002
7.2771,-7.9142
-4.6158,1.8109
-11.402000000000001,9.3099
-14.632,7.6783
-17.684,0.39429000000000003
-19.551,-2.2393
-16.292,4.0722
-7.9909,12.370999999999999
-0.39725,13.204
1.3629,5.3043
-1.5658,-4.3824
-3.3282,-8.744
0.53252,-6.3453
8.6592,-1.169
14.739,1.0066
13.311,-2.8257
5.7609,-9.6325
-0.29596999999999996,-12.332
1.1646,-6.9938
8.3083,2.6148
14.179,9.3696
14.064,10.456
8.1816,8.3433
-0.97425,5.4786
-10.363,1.8725
-16.294,-1.9304
-16.762,-3.6993
-14.533,-3.0919
-14.27,-3.0098
-15.572000000000001,-5.0311
-12.685,-6.3031
-2.9811,-3.7305
8.1063,1.2033
13.622,4.9345
13.337,6.8363
11.628,7.9046
9.8871,6.5003
6.2936,0.71612
1.9345,-5.4854
0.97325,-4.6846
3.4313,3.2517
3.3339999999999996,8.105
-2.7353,1.3868
-9.3798,-11.593
-9.031,-17.016
-2.2347,-9.1441
3.6095,3.4394
4.5297,9.1961
3.5109,6.4102
3.2294,1.5588
1.0339,-1.2209999999999999
-5.5149,-3.4817
-12.040999999999999,-6.0276
-11.149000000000001,-5.1002
-1.9136,2.0822
8.1519,11.322000000000001
10.913,14.837
5.2284,9.888
-3.1664,1.3119999999999998
-7.4092,-4.3559
-5.239,-5.1246
-0.6059899999999999,-3.7204
0.6963199999999999,-3.4315
-1.9214,-4.7968
-2.7680000000000002,-5.8149
2.0979,-4.7056
8.2545,-2.0349
8.6208,0.25948000000000004
4.0729,1.4133
2.1109999999999998,2.0887
4.6371,2.2157
4.496,0.64277
-2.583,-2.2
-9.7466,-3.2846
-8.8307,-0.34851
-3.0057,4.8874
-1.473,8.442
-4.5454,8.1538
-3.5178,4.7595
4.3669,0.10559
10.300999999999998,-3.8626
6.8383,-5.2529
-1.2311,-3.7833
-4.5875,-2.0675
-2.5,-2.8713
-1.3308,-4.6256
-3.1313,-2.5352
-3.4506,4.1113
