EEG.O1,EEG.O2,MarkerValueInt
4175.128418,4172.436035,1.0
4153.461426,4158.7177729999985,1.0
4149.230957,4159.743652,1.0
4165.384765999999,4172.563965,1.0
4167.692383,4169.871582,1.0
4177.820313,4169.487305,1.0
4177.307617,4167.820313,1.0
4173.846191,4174.615234000001,1.0
4170.384765999999,4178.589844,1.0
4173.205078,4174.3588869999985,1.0
4152.05127,4153.589844,1.0
4157.94873,4165.256348,1.0
4172.05127,4182.94873,1.0
4175.769043,4181.538574,1.0
4161.025879,4167.179688,1.0
4168.461426,4175.0,1.0
4165.512695,4172.820313,1.0
4155.256348,4163.461426,1.0
4154.102539,4168.461426,1.0
4158.205078,4176.9228520000015,1.0
4153.974121,4170.897461,1.0
4158.333496,4170.0,1.0
4177.179688,4183.589844,1.0
4183.589844,4187.436035,1.0
4188.0771479999985,4188.0771479999985,1.0
4179.871582,4179.3588869999985,1.0
4182.179688,4180.384765999999,1.0
4179.102539,4181.538574,1.0
4178.0771479999985,4179.871582,1.0
4162.179688,4165.256348,1.0
4167.307617,4173.974121,1.0
4174.102539,4181.666504,1.0
4186.794922,4186.410156,1.0
4187.820313,4186.410156,1.0
4194.871582,4191.153809,1.0
4190.897461,4187.179688,1.0
4183.846191,4184.230957,1.0
4190.384765999999,4187.179688,1.0
4194.615234000001,4187.820313,1.0
4186.794922,4187.307617,1.0
4195.256348,4194.871582,1.0
4207.94873,4199.743652,1.0
4188.333496,4185.769043,1.0
4195.128418,4191.9228520000015,1.0
4211.2822270000015,4203.0771479999985,1.0
4206.410156,4199.102539,1.0
4193.333496,4188.846191,1.0
4215.512695,4204.487305,1.0
4201.2822270000015,4194.871582,1.0
4184.871582,4184.615234000001,1.0
4191.025879,4190.6411130000015,1.0
4205.769043,4198.846191,1.0
4192.05127,4187.05127,1.0
4193.846191,4192.179688,1.0
4201.794922,4201.538574,1.0
4192.692383,4195.0,1.0
4176.666504,4183.0771479999985,1.0
4172.05127,4181.2822270000015,1.0
4185.128418,4193.205078,1.0
4189.743652,4197.820313,1.0
4189.871582,4197.820313,1.0
4195.6411130000015,4201.538574,1.0
4212.692383,4212.563965,1.0
4199.487305,4201.538574,1.0
4195.256348,4195.897461,1.0
4201.025879,4197.436035,1.0
4212.307617,4208.0771479999985,1.0
4200.512695,4205.384765999999,1.0
4202.179688,4206.153809,1.0
4198.0771479999985,4202.563965,1.0
4197.563965,4204.615234000001,1.0
4205.128418,4207.94873,1.0
4221.2822270000015,4215.769043,1.0
4210.128418,4209.743652,1.0
4202.692383,4205.384765999999,1.0
4206.2822270000015,4209.230957,1.0
4192.563965,4203.7177729999985,1.0
4189.3588869999985,4201.153809,1.0
4200.128418,4207.820313,1.0
4210.0,4215.512695,1.0
4206.794922,4212.179688,1.0
4201.794922,4212.05127,1.0
4175.769043,4197.94873,1.0
4188.333496,4199.743652,1.0
4207.692383,4207.820313,1.0
4207.436035,4209.743652,1.0
4200.128418,4205.512695,1.0
4228.846191,4230.128418,1.0
4227.94873,4233.0771479999985,1.0
4204.230957,4212.307617,1.0
4193.461426,4206.410156,1.0
4201.9228520000015,4217.179688,1.0
4204.487305,4214.3588869999985,1.0
4219.743652,4222.179688,1.0
4231.153809,4231.666504,1.0
4215.128418,4215.0,1.0
4216.025879,4210.6411130000015,1.0
4227.94873,4219.102539,1.0
4218.974121,4214.230957,1.0
4189.3588869999985,4195.897461,1.0
4194.3588869999985,4200.512695,1.0
4197.820313,4200.897461,1.0
4202.94873,4202.436035,1.0
4203.205078,4204.3588869999985,1.0
4211.9228520000015,4215.0,1.0
4202.820313,4211.153809,1.0
4207.563965,4210.769043,1.0
4202.307617,4203.205078,1.0
4193.974121,4197.94873,1.0
4181.9228520000015,4191.025879,1.0
4174.487305,4187.820313,1.0
4174.102539,4187.692383,1.0
4183.974121,4190.128418,1.0
4189.743652,4192.307617,1.0
4178.0771479999985,4188.589844,1.0
4180.769043,4193.846191,1.0
4183.0771479999985,4193.846191,1.0
4184.230957,4193.333496,1.0
4182.692383,4191.666504,1.0
4197.307617,4202.94873,1.0
4182.179688,4193.846191,1.0
4170.897461,4184.102539,1.0
4178.974121,4189.487305,1.0
4196.666504,4201.2822270000015,1.0
4183.7177729999985,4190.256348,1.0
4182.05127,4190.0,1.0
4184.615234000001,4193.589844,1.0
4197.436035,4202.94873,1.0
4198.589844,4204.230957,1.0
4191.153809,4198.333496,1.0
4196.153809,4198.7177729999985,1.0
4199.487305,4200.6411130000015,1.0
4188.7177729999985,4192.94873,1.0
4193.0771479999985,4194.230957,1.0
4214.871582,4210.256348,1.0
4200.6411130000015,4201.538574,1.0
4191.538574,4196.9228520000015,1.0
4198.205078,4200.0,1.0
4196.9228520000015,4194.871582,1.0
4173.0771479999985,4180.0,1.0
4198.846191,4202.179688,1.0
4217.692383,4214.743652,1.0
4203.846191,4205.256348,1.0
4181.2822270000015,4190.512695,1.0
4188.0771479999985,4192.692383,1.0
4186.2822270000015,4191.153809,1.0
4199.230957,4200.897461,1.0
4203.589844,4203.7177729999985,1.0
4178.846191,4187.94873,1.0
4173.461426,4185.512695,1.0
4185.512695,4195.0,1.0
4174.871582,4189.871582,1.0
4155.128418,4174.871582,1.0
4166.794922,4183.461426,1.0
4160.384765999999,4181.666504,1.0
4154.487305,4176.153809,1.0
4148.7177729999985,4175.256348,1.0
4149.615234000001,4178.846191,1.0
4134.615234000001,4162.05127,1.0
4135.769043,4162.307617,1.0
4138.0771479999985,4165.512695,1.0
4147.692383,4164.743652,1.0
4144.3588869999985,4159.487305,1.0
4146.153809,4168.0771479999985,1.0
4146.538574,4171.538574,1.0
4151.153809,4174.743652,1.0
4155.384765999999,4177.307617,1.0
4154.487305,4173.974121,1.0
4144.743652,4165.769043,1.0
4144.743652,4162.94873,1.0
4159.3588869999985,4170.769043,1.0
4159.615234000001,4172.05127,1.0
4164.615234000001,4178.846191,1.0
4163.205078,4183.205078,1.0
4160.769043,4183.7177729999985,1.0
4147.563965,4170.6411130000015,1.0
4155.769043,4171.666504,1.0
4154.102539,4169.230957,1.0
4156.153809,4169.871582,1.0
4154.102539,4169.743652,1.0
4173.333496,4183.205078,1.0
4179.102539,4186.9228520000015,1.0
4175.128418,4187.05127,1.0
4169.102539,4184.487305,1.0
4162.307617,4178.461426,1.0
4157.436035,4175.384765999999,1.0
4174.3588869999985,4184.743652,1.0
4173.461426,4179.230957,1.0
4133.0771479999985,4150.769043,1.0
4128.7177729999985,4147.563965,1.0
4155.256348,4163.333496,1.0
4156.794922,4168.974121,1.0
4140.256348,4164.743652,1.0
4170.769043,4184.230957,1.0
4170.897461,4179.102539,1.0
4145.0,4162.436035,1.0
4141.9228520000015,4163.333496,1.0
4173.333496,4183.205078,1.0
4170.0,4175.897461,1.0
4170.256348,4177.94873,1.0
4171.666504,4183.846191,1.0
4166.666504,4178.461426,1.0
4165.6411130000015,4174.230957,1.0
4172.436035,4177.820313,1.0
4158.205078,4170.0,1.0
4146.794922,4167.307617,1.0
4162.692383,4179.230957,1.0
4168.974121,4175.769043,1.0
4168.7177729999985,4172.179688,1.0
4158.974121,4171.025879,1.0
4165.256348,4178.974121,1.0
4170.128418,4181.666504,1.0
4183.846191,4190.6411130000015,1.0
4175.6411130000015,4185.769043,1.0
4169.230957,4181.666504,1.0
4159.615234000001,4173.974121,1.0
4162.05127,4175.0,1.0
4160.384765999999,4172.05127,1.0
4164.743652,4172.563965,1.0
4162.563965,4171.410156,1.0
4169.230957,4179.230957,1.0
4168.974121,4179.871582,1.0
4167.179688,4175.256348,1.0
4164.871582,4171.2822270000015,1.0
4163.589844,4171.538574,1.0
4171.153809,4179.230957,1.0
4169.615234000001,4179.102539,1.0
4168.461426,4176.025879,1.0
4164.615234000001,4172.563965,1.0
4169.743652,4181.794922,1.0
4151.9228520000015,4172.692383,1.0
4150.0,4168.205078,1.0
4155.6411130000015,4168.0771479999985,1.0
4164.871582,4174.871582,1.0
4154.615234000001,4170.512695,1.0
4156.794922,4171.153809,1.0
4150.0,4162.05127,1.0
4146.9228520000015,4157.563965,1.0
4159.487305,4166.666504,1.0
4185.897461,4188.589844,1.0
4166.794922,4183.461426,1.0
4135.256348,4163.333496,1.0
4141.410156,4162.436035,1.0
4143.589844,4164.3588869999985,1.0
4132.692383,4157.820313,1.0
4134.871582,4155.512695,1.0
4152.05127,4165.0,1.0
4139.102539,4157.563965,1.0
4140.769043,4162.436035,1.0
4146.2822270000015,4167.179688,1.0
4148.333496,4165.769043,1.0
4139.3588869999985,4160.128418,1.0
4148.589844,4171.025879,1.0
4138.846191,4164.3588869999985,1.0
4137.820313,4157.692383,1.0
4141.666504,4155.6411130000015,1.0
4145.6411130000015,4158.974121,1.0
4139.230957,4157.179688,1.0
4149.871582,4164.102539,1.0
4172.692383,4178.461426,1.0
4168.333496,4178.0771479999985,1.0
4136.025879,4157.05127,1.0
4121.538574,4144.3588869999985,1.0
4145.0,4161.153809,1.0
4142.307617,4159.743652,1.0
4124.3588869999985,4143.461426,1.0
