EEG.O1,EEG.O2
-23.625999999999998,-12.302999999999999
-36.311,-18.995
-34.972,-18.632
-24.593000000000004,-14.077
-12.13,-8.9241
-1.6993,-4.521
5.2304,-0.7265699999999999
8.1447,1.8454
8.0451,2.2416
8.2196,1.5927
11.487,2.7945
16.075,6.6262
16.468,9.8381
9.8687,8.7827
0.31056999999999996,3.9947
-5.5281,-0.51745
-5.5363,-1.8525
-2.9823,-0.35477
-1.2023,2.119
-0.91784,3.763
-2.7623,2.8305
-7.9133,-1.2083
-14.08,-5.803
-15.034,-7.1234
-8.1398,-4.9217
0.46881000000000006,-3.1826
3.0708,-4.3074
1.0012,-5.2859
2.424,-2.3502
9.7433,2.8233
15.627,5.3877
13.540999999999999,4.5732
6.3718,4.118
0.7839,5.3126
-2.1598,4.5076
-5.4979,-0.48522
-8.8866,-5.7835
-9.0003,-6.611000000000001
-6.2009,-3.9975
-4.4171,-2.1776
-3.8383,-1.364
0.1658,1.8532
8.6365,7.2534
14.982000000000001,9.4326
13.145999999999999,5.3111
5.7527,-0.9403
-0.48305,-3.4051
-4.3139,-1.9871
-9.1614,-1.1242
-14.379000000000001,-2.8527
-14.179,-4.8854
-6.5133,-4.7983
2.9113,-2.4892
8.2416,1.4346
10.091000000000001,6.0174
10.718,8.0822
7.502000000000001,4.0171
-2.2358,-4.4158
-12.364,-9.4143
-12.302999999999999,-5.7384
-1.8652,1.9746
5.8618,4.4527
1.4491,-0.29751
-6.7926,-4.5987
-3.5122,-1.6412
11.292,5.5544
20.065,8.4778
10.156,3.7878
-9.5777,-3.8876
-19.827,-8.2728
-12.776,-6.6039
3.1284,0.68345
15.649000000000001,10.3
18.155,15.187999999999999
9.496,8.8945
-6.0088,-5.5923
-17.785,-15.685
-16.570999999999998,-12.662
-5.4018,-2.263
3.3198,3.4329
3.7603,2.0022
2.6263,1.4
6.1956,5.5686
9.5278,8.0831
5.1204,3.2015
-3.8271,-4.2271
-7.5341,-5.811
-4.2583,-1.9727
-2.0088,-0.45453999999999994
-5.5704,-4.3433
-9.7078,-8.1461
-7.7924,-6.3867
-1.1317,-0.81785
4.3039,3.1978
6.6101,4.0666
8.6849,4.6424
11.569,6.772
11.661,8.1316
6.2827,5.643
-0.50256,0.74683
-1.1722,-1.1356
5.3837,2.4847
10.363,6.7633
4.8524,4.9069
-8.0581,-2.7327
-15.69,-8.6685
-11.504000000000001,-8.1752
-3.8829,-5.3153
-5.7391,-6.6537
-18.098,-11.907
-28.076999999999998,-14.253
-22.551,-8.6591
-1.3242,2.8323
22.355999999999998,13.267999999999999
32.455,16.14
23.329,10.017999999999999
5.4677,0.49287
-3.3095,-3.5652
4.1207,1.3039
16.082,8.6837
15.822000000000001,9.3275
2.0612,2.2969999999999997
-9.8223,-4.2184
-7.8147,-3.5243
2.0098,1.6992
4.6754,3.7856
-4.6328,-0.4917
-16.659000000000002,-7.377999999999999
-21.028000000000002,-11.298
-16.616,-9.9006
-8.7353,-4.825
-2.0631,-0.031958999999999994
1.3332,0.9465
1.7038,-1.4732
2.3138,-2.4008
6.5811,1.7923
12.003,7.5807
11.720999999999998,8.1151
5.3203,3.2801
1.7006,0.38645
5.5073,2.5767
7.8054,3.2047
-0.21356999999999998,-2.7741
-9.9882,-8.011000000000001
-5.6472,-2.4329
10.253,9.6118
16.52,12.885
2.7403,2.5116
-15.317,-9.0022
-17.81,-9.6099
-6.7285,-2.9888
1.3292,0.1397
-0.10386,-1.9852
-3.2368,-3.2426
-2.6464,-1.5887
-1.9627,-0.45019
-2.8865,-0.11508
-0.018401,3.0589999999999997
8.0517,8.0315
11.769,7.7705
2.9021,-0.36621
-11.130999999999998,-9.0155
-14.437000000000001,-9.7816
-3.59,-3.7881
7.4392,1.1818
6.9024,1.5203
1.9583,0.88087
6.8329,2.8857
18.335,5.2823
17.123,3.622
-2.3636,-1.1774
-17.407,-2.1294
-5.8712,5.3621
18.951,15.530999999999999
21.519000000000002,16.176
-7.5971,2.7184
-36.282,-14.175
-32.75,-19.372
-6.6911,-11.132
6.9896,-2.8934
-4.2154,-5.5758
-18.578,-13.808
-14.54,-14.363
2.6491,-3.9133
15.784,8.5395
21.243000000000002,15.033
25.796999999999997,16.31
27.46,15.190999999999999
17.572,10.734000000000002
0.82468,3.4582
-4.7788,-0.43683
5.7841,2.9581
13.290999999999999,7.1091
0.59507,2.7036
-21.226,-8.2395
-28.555999999999997,-14.135
-20.07,-10.315999999999999
-16.448,-5.472
-25.39,-8.1367
-27.94,-13.939
-8.6413,-12.565999999999999
18.086,-2.8789999999999996
27.444000000000003,6.5597
19.442999999999998,10.413
15.693,12.04
24.345,14.582
27.654,13.784
9.6288,4.6403
-18.858,-8.6657
-32.699,-15.212
-22.185,-9.3111
-0.10053,3.7193
16.302,13.789000000000001
20.379,14.937999999999999
14.255999999999998,7.9609
2.228,-2.0723
-9.677,-9.037
-14.049000000000001,-9.197000000000001
-8.8521,-4.3724
-2.1951,-0.96306
-4.5738,-3.6548
-15.425,-10.113
-21.836,-13.255
-13.059000000000001,-8.6587
6.6206,1.3124
22.369,10.211
23.95,12.937999999999999
13.306,8.9026
-0.64823,1.7987
-9.7744,-3.0571
-9.902999999999999,-2.6574
-2.3243,1.1539
5.7599,3.602
6.9851,2.3129
2.8417,0.17204
2.5619,1.6116
9.4049,6.145
13.155,7.537999999999999
3.2609,1.2422
-13.39,-8.2026
-17.563,-10.527000000000001
-2.7532,-2.2468
13.911,7.2651
12.725,6.5717
-2.8576,-2.5462
-12.181,-7.2828
-7.5667,-2.7089
-5.3272,-0.25467
-20.258,-10.696
-39.727,-24.948
-36.418,-22.976999999999997
-4.2199,-1.0732
31.91,21.272
44.711000000000006,25.38
32.367,14.468
12.777999999999999,4.5107
1.0918,2.7642
1.7556,5.0404
13.552,8.2817
28.655,13.094000000000001
30.43,14.837
7.5406,5.249
-27.344,-13.114
-45.803000000000004,-24.679000000000002
-36.004,-19.723
-16.141,-7.5498
-8.929,-3.1715
-13.523,-7.3708
-13.689,-9.5558
-5.1428,-5.8456
1.278,-2.4565
1.4201,-1.8488
5.4649,2.0975
18.675,11.49
28.748,17.625
22.662,13.459000000000001
7.2187,5.184
0.6957800000000001,3.383
7.8656,7.6353
14.889000000000001,8.4042
9.2803,1.7002
-4.9119,-6.4048
-15.033,-9.6223
-15.647,-8.5181
-11.354000000000001,-6.2898
-7.8046,-3.4374
-5.6872,0.38586
-3.5649,2.9956
-2.4774,1.5545
-4.7923,-3.4317
-9.0541,-7.9879999999999995
-9.1188,-8.2641
-1.1558,-3.8494
9.595,1.838
13.147,4.5911
7.057,3.7271
0.31918,2.7943
1.797,4.6926
8.1981,7.1481
8.9073,5.5955
1.3418,0.22782
-5.2128,-3.2617
-2.8168,-1.2653
4.1725,2.5185
5.855,2.1229
0.37935,-2.4929
-5.3107,-5.8083
-6.5487,-4.602
-5.8463,-1.5789
-5.7862,-0.25523
-3.7652,0.21389
2.25,2.5431
7.5356,5.8824
5.8041,6.2717
-1.4714,2.1776
-6.2485,-3.2125
-4.0434,-5.7946
1.6411,-4.6786
5.1645,-1.9088
4.5217,0.08695800000000001
0.25471,-0.23387
-6.6696,-3.0737
-12.998,-6.3693
-12.887,-6.3684
-3.9511,-1.3202
7.7117,5.4579
12.868,8.2931
9.7101,5.6705
5.3762,2.2114
5.9665,2.7568
8.8683,6.0492
7.5165,6.6098
0.76632,2.2081
-6.1779,-3.2835
-8.4479,-4.8311
-5.1766,-1.5385
2.1586,3.6788
9.8533,6.9481
10.446,4.6233
