EEG.O1,EEG.O2,MarkerValueInt
4167.563965,4175.512695,3.0
4154.487305,4170.769043,3.0
4155.512695,4168.0771479999985,3.0
4160.769043,4170.897461,3.0
4154.871582,4170.769043,3.0
4160.769043,4171.538574,3.0
4170.384765999999,4173.0771479999985,3.0
4160.256348,4168.461426,3.0
4156.666504,4166.9228520000015,3.0
4170.256348,4176.410156,3.0
4173.461426,4185.384765999999,3.0
4166.9228520000015,4184.615234000001,3.0
4167.94873,4181.2822270000015,3.0
4168.7177729999985,4181.2822270000015,3.0
4166.2822270000015,4182.563965,3.0
4166.538574,4182.94873,3.0
4166.2822270000015,4183.846191,3.0
4166.9228520000015,4181.153809,3.0
4166.9228520000015,4175.384765999999,3.0
4167.94873,4175.0,3.0
4169.3588869999985,4174.3588869999985,3.0
4166.666504,4170.769043,3.0
4168.205078,4174.743652,3.0
4170.897461,4180.384765999999,3.0
4161.025879,4174.871582,3.0
4148.974121,4162.94873,3.0
4148.846191,4155.256348,3.0
4152.436035,4155.512695,3.0
4153.205078,4160.0,3.0
4156.794922,4163.7177729999985,3.0
4158.7177729999985,4164.871582,3.0
4156.9228520000015,4162.692383,3.0
4157.820313,4160.512695,3.0
4158.0771479999985,4167.307617,3.0
4157.179688,4173.846191,3.0
4160.512695,4171.2822270000015,3.0
4166.2822270000015,4170.0,3.0
4169.487305,4172.179688,3.0
4169.871582,4171.153809,3.0
4170.769043,4168.846191,3.0
4171.9228520000015,4175.769043,3.0
4172.179688,4186.410156,3.0
4170.897461,4184.871582,3.0
4169.871582,4181.025879,3.0
4167.94873,4186.666504,3.0
4161.410156,4185.128418,3.0
4160.128418,4172.05127,3.0
4167.563965,4168.461426,3.0
4171.410156,4172.94873,3.0
4164.102539,4170.769043,3.0
4155.512695,4166.025879,3.0
4156.153809,4168.333496,3.0
4156.2822270000015,4171.2822270000015,3.0
4155.6411130000015,4169.615234000001,3.0
4160.6411130000015,4168.461426,3.0
4162.692383,4170.6411130000015,3.0
4161.538574,4173.846191,3.0
4163.205078,4175.0,3.0
4158.0771479999985,4173.0771479999985,3.0
4146.9228520000015,4169.743652,3.0
4149.230957,4170.897461,3.0
4156.025879,4171.794922,3.0
4155.128418,4168.461426,3.0
4156.538574,4168.0771479999985,3.0
4156.153809,4168.846191,3.0
4156.410156,4168.0771479999985,3.0
4160.384765999999,4168.461426,3.0
4164.3588869999985,4171.410156,3.0
4166.2822270000015,4173.461426,3.0
4168.0771479999985,4173.589844,3.0
4166.666504,4171.538574,3.0
4158.7177729999985,4170.6411130000015,3.0
4154.102539,4173.7177729999985,3.0
