,EEG.O1,EEG.O2,MarkerValueInt
49647,4168.461426,4153.205078,2.0
49648,4171.666504,4161.538574,2.0
49649,4188.974121,4169.615234000001,2.0
49650,4200.769043,4174.743652,2.0
49651,4195.6411130000015,4182.436035,2.0
49652,4188.333496,4183.0771479999985,2.0
49653,4177.820313,4171.9228520000015,2.0
49654,4166.2822270000015,4163.589844,2.0
49655,4173.974121,4167.436035,2.0
49656,4185.512695,4171.666504,2.0
49657,4175.0,4170.0,2.0
49658,4168.846191,4167.307617,2.0
49659,4181.025879,4170.256348,2.0
49660,4187.94873,4180.384765999999,2.0
49661,4188.461426,4186.538574,2.0
49662,4192.563965,4187.563965,2.0
49663,4192.307617,4190.769043,2.0
49664,4187.307617,4193.589844,2.0
49665,4185.128418,4187.94873,2.0
49666,4181.2822270000015,4178.7177729999985,2.0
49667,4177.05127,4175.512695,2.0
49668,4179.743652,4181.153809,2.0
49669,4187.436035,4194.615234000001,2.0
49670,4185.897461,4190.897461,2.0
49671,4174.230957,4170.769043,2.0
49672,4172.820313,4171.410156,2.0
49673,4183.461426,4183.846191,2.0
49674,4184.102539,4179.871582,2.0
49675,4173.0771479999985,4170.0,2.0
49676,4170.0,4170.897461,2.0
49677,4172.692383,4172.436035,2.0
49678,4170.769043,4170.897461,2.0
49679,4167.436035,4168.974121,2.0
49680,4167.179688,4167.179688,2.0
49681,4168.333496,4166.025879,2.0
49682,4166.9228520000015,4163.461426,2.0
49683,4172.692383,4165.897461,2.0
49684,4186.153809,4173.846191,2.0
49685,4185.256348,4174.487305,2.0
49686,4170.128418,4170.512695,2.0
49687,4164.615234000001,4170.256348,2.0
49688,4170.128418,4167.307617,2.0
49689,4168.205078,4158.589844,2.0
49690,4162.94873,4148.461426,2.0
49691,4164.615234000001,4146.794922,2.0
49692,4170.0,4151.538574,2.0
49693,4171.025879,4151.538574,2.0
49694,4163.846191,4150.897461,2.0
49695,4155.384765999999,4152.05127,2.0
49696,4152.94873,4151.2822270000015,2.0
49697,4153.846191,4151.538574,2.0
49698,4153.589844,4157.05127,2.0
49699,4152.692383,4156.025879,2.0
49700,4154.615234000001,4152.94873,2.0
49701,4155.769043,4152.692383,2.0
49702,4156.666504,4145.897461,2.0
49703,4162.563965,4146.410156,2.0
49704,4170.256348,4157.179688,2.0
49705,4170.769043,4159.615234000001,2.0
49706,4170.256348,4156.666504,2.0
49707,4170.256348,4158.461426,2.0
49708,4160.897461,4154.487305,2.0
49709,4151.794922,4143.846191,2.0
49710,4153.7177729999985,4142.307617,2.0
49711,4156.025879,4143.589844,2.0
49712,4158.461426,4141.2822270000015,2.0
49713,4167.05127,4143.333496,2.0
49714,4170.769043,4152.05127,2.0
49715,4172.05127,4154.102539,2.0
49716,4177.563965,4154.3588869999985,2.0
49717,4178.333496,4165.384765999999,2.0
49718,4173.7177729999985,4167.692383,2.0
49719,4172.563965,4156.153809,2.0
49720,4176.794922,4154.102539,2.0
49721,4174.615234000001,4157.436035,2.0
49722,4170.0,4155.128418,2.0
49723,4177.692383,4160.256348,2.0
49724,4185.6411130000015,4171.794922,2.0
49725,4178.461426,4168.974121,2.0
49726,4166.2822270000015,4157.692383,2.0
49727,4168.333496,4154.3588869999985,2.0
49728,4176.153809,4157.94873,2.0
49729,4175.6411130000015,4157.563965,2.0
49730,4169.102539,4151.9228520000015,2.0
49731,4168.0771479999985,4149.871582,2.0
49732,4173.974121,4153.7177729999985,2.0
49733,4171.538574,4157.820313,2.0
49734,4171.538574,4158.589844,2.0
49735,4178.333496,4157.436035,2.0
49736,4175.0,4152.94873,2.0
49737,4167.05127,4145.6411130000015,2.0
49738,4167.820313,4142.179688,2.0
49739,4171.666504,4143.205078,2.0
49740,4168.333496,4145.6411130000015,2.0
49741,4166.794922,4152.692383,2.0
49742,4168.974121,4157.820313,2.0
