EEG.O1,EEG.O2,MarkerValueInt
4188.7177729999985,4169.487305,2.0
4184.102539,4164.487305,2.0
4185.384765999999,4159.102539,2.0
4180.512695,4156.794922,2.0
4176.666504,4155.128418,2.0
4178.333496,4149.871582,2.0
4174.487305,4141.2822270000015,2.0
4173.7177729999985,4143.205078,2.0
4184.3588869999985,4151.9228520000015,2.0
4189.102539,4153.974121,2.0
4185.0,4158.333496,2.0
4191.9228520000015,4171.666504,2.0
4198.205078,4175.384765999999,2.0
4191.410156,4172.563965,2.0
4186.666504,4173.974121,2.0
4184.871582,4165.384765999999,2.0
4174.487305,4150.256348,2.0
4165.769043,4148.0771479999985,2.0
4173.589844,4153.846191,2.0
4181.794922,4156.666504,2.0
4183.0771479999985,4163.0771479999985,2.0
4182.179688,4171.538574,2.0
4175.384765999999,4172.563965,2.0
4172.05127,4176.025879,2.0
4179.743652,4184.3588869999985,2.0
4185.0,4184.230957,2.0
4182.307617,4180.384765999999,2.0
4184.871582,4185.128418,2.0
4189.871582,4190.128418,2.0
4186.666504,4191.9228520000015,2.0
4182.820313,4197.94873,2.0
4185.256348,4206.025879,2.0
4186.410156,4203.461426,2.0
4183.974121,4191.9228520000015,2.0
4184.743652,4186.794922,2.0
4182.563965,4183.7177729999985,2.0
4172.94873,4175.256348,2.0
4169.487305,4167.307617,2.0
4172.820313,4170.0,2.0
4171.153809,4174.3588869999985,2.0
4168.461426,4178.7177729999985,2.0
4165.6411130000015,4186.025879,2.0
4157.179688,4181.9228520000015,2.0
4151.666504,4169.487305,2.0
4154.615234000001,4167.05127,2.0
4161.538574,4168.974121,2.0
4167.179688,4159.871582,2.0
4168.461426,4147.436035,2.0
4166.9228520000015,4149.3588869999985,2.0
4169.102539,4161.410156,2.0
4173.205078,4172.563965,2.0
4167.307617,4172.179688,2.0
4156.410156,4166.153809,2.0
4154.102539,4168.589844,2.0
4157.179688,4167.563965,2.0
4152.563965,4153.333496,2.0
4149.3588869999985,4145.128418,2.0
4152.563965,4150.384765999999,2.0
4152.563965,4152.692383,2.0
4157.436035,4151.666504,2.0
4167.692383,4161.153809,2.0
4170.384765999999,4170.897461,2.0
4172.436035,4174.230957,2.0
4178.205078,4175.512695,2.0
4173.7177729999985,4166.410156,2.0
4165.512695,4157.94873,2.0
4168.7177729999985,4162.436035,2.0
4170.897461,4161.538574,2.0
4167.94873,4149.743652,2.0
4169.743652,4150.128418,2.0
4172.436035,4154.743652,2.0
4172.436035,4153.7177729999985,2.0
4171.025879,4156.153809,2.0
4168.333496,4157.94873,2.0
4168.461426,4162.692383,2.0
4171.2822270000015,4166.025879,2.0
4170.0,4158.974121,2.0
4166.025879,4154.3588869999985,2.0
4161.794922,4151.025879,2.0
