EEG.O1,EEG.O2,MarkerValueInt
4182.94873,4167.179688,5.0
4183.205078,4166.9228520000015,5.0
4181.666504,4163.0771479999985,5.0
4176.9228520000015,4160.512695,5.0
4180.0,4166.025879,5.0
4183.974121,4171.538574,5.0
4173.589844,4163.589844,5.0
4168.974121,4154.487305,5.0
4180.6411130000015,4161.2822270000015,5.0
4186.2822270000015,4172.94873,5.0
4184.871582,4176.410156,5.0
4185.897461,4174.615234000001,5.0
4186.153809,4174.615234000001,5.0
4183.205078,4172.94873,5.0
4181.538574,4171.025879,5.0
4182.307617,4174.230957,5.0
4182.179688,4174.102539,5.0
4182.179688,4170.256348,5.0
4182.94873,4177.05127,5.0
4183.205078,4185.6411130000015,5.0
4183.461426,4179.743652,5.0
4176.9228520000015,4170.6411130000015,5.0
4167.94873,4164.487305,5.0
4174.3588869999985,4156.538574,5.0
4183.205078,4154.487305,5.0
4179.102539,4155.0,5.0
4178.205078,4152.563965,5.0
4189.871582,4159.743652,5.0
4194.743652,4169.615234000001,5.0
4183.7177729999985,4163.0771479999985,5.0
4176.153809,4151.538574,5.0
4180.6411130000015,4153.846191,5.0
4187.307617,4166.9228520000015,5.0
4185.769043,4180.0,5.0
4184.743652,4184.743652,5.0
4191.153809,4187.94873,5.0
4194.615234000001,4195.6411130000015,5.0
4190.384765999999,4196.666504,5.0
4183.205078,4189.3588869999985,5.0
4181.2822270000015,4185.512695,5.0
4182.436035,4185.6411130000015,5.0
4179.3588869999985,4185.0,5.0
4175.6411130000015,4182.307617,5.0
4171.2822270000015,4173.0771479999985,5.0
4168.589844,4166.794922,5.0
4173.205078,4172.307617,5.0
4177.05127,4172.692383,5.0
4172.307617,4167.179688,5.0
4170.6411130000015,4170.128418,5.0
4176.410156,4176.025879,5.0
4173.333496,4171.025879,5.0
4166.794922,4166.794922,5.0
4169.487305,4167.820313,5.0
4167.05127,4161.025879,5.0
4157.179688,4153.589844,5.0
4153.846191,4153.974121,5.0
4152.436035,4153.461426,5.0
4151.410156,4156.794922,5.0
4160.128418,4167.05127,5.0
4166.2822270000015,4171.410156,5.0
4163.974121,4170.897461,5.0
4165.0,4165.6411130000015,5.0
4167.820313,4156.153809,5.0
4166.794922,4159.230957,5.0
4168.7177729999985,4169.230957,5.0
4171.9228520000015,4167.05127,5.0
4166.2822270000015,4164.871582,5.0
4162.692383,4172.94873,5.0
4162.179688,4175.128418,5.0
4158.461426,4168.974121,5.0
4158.974121,4167.820313,5.0
4165.256348,4169.487305,5.0
4168.461426,4167.94873,5.0
4168.7177729999985,4166.538574,5.0
4170.0,4168.461426,5.0
4166.410156,4164.487305,5.0
4164.871582,4154.615234000001,5.0
4167.820313,4151.666504,5.0
4165.512695,4158.846191,5.0
4166.2822270000015,4162.563965,5.0
4170.384765999999,4157.05127,5.0
4169.871582,4158.974121,5.0
4175.6411130000015,4169.871582,5.0
4188.205078,4177.563965,5.0
4183.0771479999985,4170.897461,5.0
4167.179688,4156.410156,5.0
4168.205078,4156.794922,5.0
4176.794922,4169.3588869999985,5.0
4172.563965,4172.179688,5.0
4164.230957,4167.05127,5.0
4169.615234000001,4170.769043,5.0
4181.9228520000015,4173.7177729999985,5.0
4184.102539,4169.871582,5.0
4181.538574,4173.846191,5.0
4186.2822270000015,4183.0771479999985,5.0
4191.153809,4186.025879,5.0
4184.743652,4182.436035,5.0
4176.025879,4180.0,5.0
4171.9228520000015,4177.307617,5.0
4169.102539,4171.025879,5.0
4170.6411130000015,4169.871582,5.0
4175.0,4172.179688,5.0
4173.589844,4170.6411130000015,5.0
4170.769043,4170.897461,5.0
4173.846191,4173.461426,5.0
4172.94873,4166.666504,5.0
4170.512695,4163.205078,5.0
4178.205078,4163.846191,5.0
4182.692383,4157.436035,5.0
4176.666504,4159.230957,5.0
4171.538574,4165.512695,5.0
4173.974121,4161.2822270000015,5.0
4181.538574,4165.769043,5.0
4184.230957,4183.974121,5.0
4177.436035,4186.025879,5.0
4169.871582,4177.436035,5.0
4170.0,4177.820313,5.0
4171.153809,4176.2822270000015,5.0
4170.6411130000015,4172.436035,5.0
4171.2822270000015,4171.2822270000015,5.0
4171.025879,4173.461426,5.0
4169.102539,4172.94873,5.0
4166.794922,4170.0,5.0
4168.205078,4174.743652,5.0
4171.2822270000015,4184.743652,5.0
4172.436035,4189.487305,5.0
4170.512695,4182.307617,5.0
4169.615234000001,4172.563965,5.0
4173.7177729999985,4171.538574,5.0
4173.7177729999985,4172.692383,5.0
4168.589844,4169.743652,5.0
4167.179688,4167.05127,5.0
4168.205078,4166.666504,5.0
4167.692383,4166.153809,5.0
4164.615234000001,4169.3588869999985,5.0
4158.974121,4168.461426,5.0
4155.384765999999,4158.589844,5.0
4156.538574,4153.0771479999985,5.0
4157.179688,4154.871582,5.0
4160.6411130000015,4155.256348,5.0
4167.307617,4153.846191,5.0
4167.05127,4152.563965,5.0
4167.05127,4154.102539,5.0
4171.794922,4160.384765999999,5.0
4166.410156,4159.615234000001,5.0
4153.589844,4158.333496,5.0
4155.769043,4164.3588869999985,5.0
4164.615234000001,4162.307617,5.0
4160.769043,4154.102539,5.0
4151.538574,4153.7177729999985,5.0
4152.179688,4155.256348,5.0
4155.897461,4153.7177729999985,5.0
4156.153809,4155.769043,5.0
4160.6411130000015,4160.769043,5.0
4167.692383,4165.897461,5.0
4171.025879,4170.897461,5.0
4170.897461,4167.820313,5.0
4167.563965,4158.7177729999985,5.0
4160.769043,4154.743652,5.0
4154.230957,4156.9228520000015,5.0
4151.2822270000015,4155.512695,5.0
4150.769043,4152.692383,5.0
4154.3588869999985,4156.794922,5.0
4154.743652,4158.974121,5.0
4154.871582,4152.94873,5.0
4163.205078,4151.410156,5.0
4171.794922,4155.769043,5.0
4170.512695,4156.2822270000015,5.0
4167.436035,4153.205078,5.0
4172.307617,4154.871582,5.0
4170.769043,4154.230957,5.0
4157.436035,4142.94873,5.0
4151.410156,4134.743652,5.0
4154.487305,4136.666504,5.0
4150.0,4136.9228520000015,5.0
4142.05127,4131.794922,5.0
4149.102539,4132.94873,5.0
4162.563965,4146.025879,5.0
4168.461426,4160.128418,5.0
4174.3588869999985,4169.102539,5.0
4184.615234000001,4175.897461,5.0
4188.461426,4178.974121,5.0
4180.256348,4174.3588869999985,5.0
4172.563965,4167.05127,5.0
4170.6411130000015,4158.974121,5.0
4167.05127,4145.769043,5.0
4164.487305,4138.846191,5.0
4166.666504,4145.512695,5.0
4175.0,4157.820313,5.0
4183.589844,4167.692383,5.0
4185.6411130000015,4173.0771479999985,5.0
4186.794922,4174.615234000001,5.0
4183.589844,4172.179688,5.0
4173.0771479999985,4175.769043,5.0
4167.307617,4179.871582,5.0
4169.487305,4174.3588869999985,5.0
4168.0771479999985,4173.7177729999985,5.0
4169.3588869999985,4186.025879,5.0
4173.846191,4193.0771479999985,5.0
4171.9228520000015,4185.769043,5.0
4176.666504,4187.179688,5.0
4189.102539,4201.666504,5.0
4186.538574,4204.102539,5.0
4173.589844,4191.9228520000015,5.0
4164.743652,4180.384765999999,5.0
4162.692383,4172.94873,5.0
4166.538574,4170.512695,5.0
4168.589844,4174.871582,5.0
4168.461426,4176.9228520000015,5.0
4170.897461,4173.333496,5.0
4172.436035,4176.410156,5.0
4177.05127,4183.461426,5.0
4182.563965,4180.897461,5.0
4177.436035,4175.384765999999,5.0
4169.230957,4179.230957,5.0
4169.871582,4186.794922,5.0
4170.897461,4182.820313,5.0
4162.307617,4172.692383,5.0
4156.025879,4171.794922,5.0
4162.563965,4179.743652,5.0
4171.410156,4186.666504,5.0
4170.512695,4182.436035,5.0
4169.487305,4176.2822270000015,5.0
4173.846191,4178.0771479999985,5.0
4174.3588869999985,4178.461426,5.0
4171.666504,4173.974121,5.0
4168.333496,4173.205078,5.0
4166.666504,4173.974121,5.0
4169.871582,4171.410156,5.0
4170.897461,4171.2822270000015,5.0
4168.846191,4174.102539,5.0
4168.333496,4172.94873,5.0
4166.9228520000015,4171.538574,5.0
4168.0771479999985,4172.563965,5.0
4170.512695,4170.6411130000015,5.0
4172.563965,4168.205078,5.0
4180.256348,4170.256348,5.0
4185.256348,4171.666504,5.0
4178.333496,4172.307617,5.0
4168.974121,4172.563965,5.0
4167.820313,4168.461426,5.0
4171.153809,4166.794922,5.0
4168.333496,4169.3588869999985,5.0
4158.846191,4163.0771479999985,5.0
4152.820313,4153.7177729999985,5.0
4152.692383,4152.05127,5.0
4153.974121,4153.7177729999985,5.0
4160.6411130000015,4158.846191,5.0
4167.563965,4162.563965,5.0
4167.05127,4157.307617,5.0
4165.256348,4152.436035,5.0
4161.025879,4153.205078,5.0
4152.436035,4150.384765999999,5.0
4152.820313,4148.846191,5.0
4162.820313,4154.871582,5.0
4168.589844,4158.846191,5.0
4167.820313,4155.256348,5.0
4167.94873,4152.179688,5.0
4165.6411130000015,4152.820313,5.0
4159.871582,4153.0771479999985,5.0
4161.153809,4153.7177729999985,5.0
4168.333496,4156.025879,5.0
4166.794922,4158.333496,5.0
4158.7177729999985,4158.205078,5.0
4152.94873,4155.384765999999,5.0
4152.820313,4152.94873,5.0
4160.384765999999,4151.666504,5.0
4168.589844,4153.7177729999985,5.0
4171.025879,4157.94873,5.0
4170.384765999999,4158.0771479999985,5.0
4170.897461,4156.2822270000015,5.0
4170.512695,4157.436035,5.0
4169.615234000001,4157.307617,5.0
4166.538574,4153.461426,5.0
4162.05127,4153.7177729999985,5.0
4163.205078,4160.256348,5.0
4168.974121,4167.307617,5.0
4173.7177729999985,4172.436035,5.0
4172.94873,4173.333496,5.0
4168.974121,4172.05127,5.0
4165.256348,4172.820313,5.0
4160.897461,4174.615234000001,5.0
4156.025879,4168.7177729999985,5.0
4152.820313,4158.0771479999985,5.0
4153.333496,4154.871582,5.0
4153.333496,4155.256348,5.0
4154.102539,4155.512695,5.0
4154.615234000001,4155.256348,5.0
4153.0771479999985,4154.487305,5.0
4151.410156,4159.615234000001,5.0
4151.538574,4168.461426,5.0
4153.461426,4171.666504,5.0
4156.538574,4171.153809,5.0
4161.538574,4170.384765999999,5.0
4164.871582,4168.205078,5.0
4162.05127,4167.692383,5.0
4157.05127,4169.3588869999985,5.0
4155.384765999999,4168.461426,5.0
4154.3588869999985,4168.0771479999985,5.0
4153.333496,4169.102539,5.0
4155.256348,4167.179688,5.0
4157.820313,4166.538574,5.0
4162.307617,4170.0,5.0
4168.846191,4173.7177729999985,5.0
4167.563965,4171.2822270000015,5.0
4160.769043,4161.9228520000015,5.0
4158.974121,4160.256348,5.0
4160.512695,4164.743652,5.0
4159.743652,4161.153809,5.0
4157.436035,4153.974121,5.0
4157.94873,4157.563965,5.0
4162.692383,4165.512695,5.0
4167.692383,4167.94873,5.0
4168.7177729999985,4166.538574,5.0
4162.05127,4159.230957,5.0
4158.846191,4153.7177729999985,5.0
4167.05127,4157.179688,5.0
4170.6411130000015,4161.2822270000015,5.0
4165.384765999999,4164.487305,5.0
4167.692383,4168.333496,5.0
4168.333496,4166.153809,5.0
4157.692383,4160.769043,5.0
4154.615234000001,4158.974121,5.0
4158.0771479999985,4152.94873,5.0
4154.615234000001,4147.94873,5.0
4153.846191,4151.2822270000015,5.0
4157.563965,4149.871582,5.0
4156.9228520000015,4145.897461,5.0
4155.256348,4150.384765999999,5.0
4158.974121,4153.846191,5.0
4160.384765999999,4153.0771479999985,5.0
4156.153809,4154.487305,5.0
4158.846191,4154.102539,5.0
4167.692383,4152.436035,5.0
4169.230957,4153.974121,5.0
4169.3588869999985,4155.256348,5.0
4172.05127,4152.563965,5.0
4168.846191,4152.563965,5.0
4168.0771479999985,4163.0771479999985,5.0
4179.743652,4175.384765999999,5.0
4186.538574,4178.974121,5.0
4183.333496,4175.769043,5.0
4182.436035,4171.153809,5.0
4187.05127,4170.6411130000015,5.0
4189.3588869999985,4170.0,5.0
4180.128418,4159.487305,5.0
4166.9228520000015,4149.102539,5.0
4165.6411130000015,4151.666504,5.0
4170.512695,4156.025879,5.0
4170.769043,4154.871582,5.0
4172.307617,4155.512695,5.0
4175.769043,4163.7177729999985,5.0
4176.666504,4167.94873,5.0
4177.179688,4159.102539,5.0
4176.2822270000015,4152.820313,5.0
4171.9228520000015,4155.769043,5.0
4169.871582,4153.333496,5.0
4171.025879,4147.820313,5.0
4171.2822270000015,4150.128418,5.0
4172.179688,4154.743652,5.0
4171.794922,4154.615234000001,5.0
4169.102539,4151.153809,5.0
4170.256348,4151.794922,5.0
4175.128418,4160.128418,5.0
4180.256348,4168.333496,5.0
4184.743652,4171.794922,5.0
4184.3588869999985,4173.589844,5.0
4179.102539,4174.487305,5.0
4174.871582,4174.102539,5.0
4172.05127,4172.05127,5.0
4170.384765999999,4170.384765999999,5.0
4173.0771479999985,4175.256348,5.0
4177.436035,4182.307617,5.0
4179.102539,4184.487305,5.0
4176.410156,4182.692383,5.0
4172.563965,4180.6411130000015,5.0
4174.230957,4183.7177729999985,5.0
4180.128418,4183.7177729999985,5.0
4179.743652,4175.128418,5.0
4171.9228520000015,4172.05127,5.0
4169.487305,4180.769043,5.0
4179.743652,4187.05127,5.0
4183.7177729999985,4188.461426,5.0
4175.897461,4189.743652,5.0
4174.743652,4186.2822270000015,5.0
4177.179688,4181.9228520000015,5.0
4171.538574,4178.205078,5.0
4169.615234000001,4171.410156,5.0
4174.230957,4169.102539,5.0
4172.179688,4174.3588869999985,5.0
4168.461426,4177.94873,5.0
4169.102539,4179.487305,5.0
4169.230957,4182.307617,5.0
4170.6411130000015,4183.0771479999985,5.0
4175.512695,4183.0771479999985,5.0
4177.563965,4182.436035,5.0
4173.461426,4176.2822270000015,5.0
4170.6411130000015,4173.461426,5.0
4171.410156,4176.794922,5.0
4170.897461,4174.871582,5.0
4167.563965,4169.871582,5.0
4167.307617,4170.769043,5.0
4169.3588869999985,4172.94873,5.0
4168.974121,4172.179688,5.0
4169.102539,4170.512695,5.0
4169.102539,4168.333496,5.0
4170.6411130000015,4168.0771479999985,5.0
4178.0771479999985,4172.563965,5.0
4185.384765999999,4172.563965,5.0
4183.0771479999985,4167.179688,5.0
4176.153809,4174.102539,5.0
4173.0771479999985,4184.615234000001,5.0
4171.9228520000015,4180.512695,5.0
4170.6411130000015,4173.0771479999985,5.0
4168.461426,4167.05127,5.0
4166.666504,4157.307617,5.0
4168.589844,4152.563965,5.0
4170.256348,4155.6411130000015,5.0
4167.307617,4159.3588869999985,5.0
4171.666504,4167.179688,5.0
4183.333496,4179.487305,5.0
4182.692383,4185.128418,5.0
4176.666504,4179.230957,5.0
4182.179688,4172.94873,5.0
4185.256348,4174.102539,5.0
4175.897461,4168.589844,5.0
4170.384765999999,4153.461426,5.0
4171.794922,4149.102539,5.0
4173.461426,4153.846191,5.0
4174.487305,4153.974121,5.0
4173.7177729999985,4152.692383,5.0
4172.692383,4153.7177729999985,5.0
4173.589844,4155.897461,5.0
4181.2822270000015,4157.307617,5.0
4183.333496,4153.589844,5.0
4173.846191,4143.7177729999985,5.0
4170.128418,4137.179688,5.0
4173.846191,4143.846191,5.0
4171.025879,4153.461426,5.0
4167.563965,4158.974121,5.0
4170.897461,4165.897461,5.0
4171.666504,4172.05127,5.0
