,EEG.O1,EEG.O2,MarkerValueInt
17526,4169.3588869999985,4182.436035,5.0
17527,4172.436035,4184.230957,5.0
17528,4172.563965,4183.846191,5.0
17529,4169.615234000001,4171.025879,5.0
17530,4165.769043,4157.307617,5.0
17531,4164.743652,4153.0771479999985,5.0
17532,4165.769043,4153.846191,5.0
17533,4167.820313,4158.589844,5.0
17534,4170.256348,4168.7177729999985,5.0
17535,4171.153809,4178.205078,5.0
17536,4170.512695,4185.384765999999,5.0
17537,4172.05127,4189.102539,5.0
17538,4172.820313,4182.179688,5.0
17539,4170.384765999999,4171.410156,5.0
17540,4171.153809,4163.333496,5.0
17541,4175.384765999999,4161.666504,5.0
17542,4175.0,4163.974121,5.0
17543,4170.6411130000015,4159.487305,5.0
17544,4169.871582,4154.871582,5.0
17545,4170.6411130000015,4161.153809,5.0
17546,4170.769043,4172.05127,5.0
17547,4173.974121,4173.333496,5.0
17548,4169.230957,4169.102539,5.0
17549,4158.461426,4167.692383,5.0
17550,4159.743652,4170.0,5.0
17551,4160.897461,4168.333496,5.0
17552,4153.461426,4160.512695,5.0
17553,4158.205078,4154.102539,5.0
17554,4169.615234000001,4157.563965,5.0
17555,4168.846191,4168.333496,5.0
17556,4168.589844,4168.589844,5.0
17557,4174.230957,4157.179688,5.0
17558,4172.563965,4152.820313,5.0
17559,4169.615234000001,4156.2822270000015,5.0
17560,4170.6411130000015,4152.94873,5.0
17561,4169.3588869999985,4143.333496,5.0
17562,4168.0771479999985,4137.436035,5.0
17563,4170.256348,4141.2822270000015,5.0
17564,4171.2822270000015,4145.512695,5.0
17565,4168.461426,4145.897461,5.0
17566,4167.692383,4152.563965,5.0
17567,4168.7177729999985,4157.820313,5.0
17568,4167.307617,4156.794922,5.0
17569,4162.436035,4153.846191,5.0
17570,4156.538574,4146.794922,5.0
17571,4153.0771479999985,4144.230957,5.0
17572,4156.794922,4150.897461,5.0
17573,4167.179688,4157.94873,5.0
17574,4175.128418,4160.384765999999,5.0
17575,4172.820313,4160.256348,5.0
17576,4168.846191,4160.384765999999,5.0
17577,4173.0771479999985,4167.563965,5.0
17578,4177.692383,4175.0,5.0
17579,4169.487305,4165.769043,5.0
17580,4158.846191,4153.461426,5.0
17581,4159.743652,4156.153809,5.0
17582,4170.769043,4168.846191,5.0
17583,4177.179688,4174.3588869999985,5.0
17584,4175.0,4169.487305,5.0
17585,4176.2822270000015,4165.769043,5.0
17586,4179.3588869999985,4164.102539,5.0
17587,4178.205078,4167.820313,5.0
17588,4175.769043,4169.102539,5.0
17589,4174.615234000001,4161.794922,5.0
17590,4172.179688,4162.820313,5.0
17591,4170.6411130000015,4172.692383,5.0
17592,4174.230957,4170.897461,5.0
17593,4175.769043,4160.0,5.0
17594,4172.94873,4154.615234000001,5.0
17595,4170.6411130000015,4154.230957,5.0
17596,4172.94873,4157.692383,5.0
17597,4171.794922,4157.563965,5.0
17598,4168.974121,4152.563965,5.0
17599,4166.153809,4150.128418,5.0
17600,4157.820313,4150.128418,5.0
17601,4159.230957,4156.9228520000015,5.0
17602,4176.153809,4168.461426,5.0
17603,4182.692383,4174.487305,5.0
17604,4174.102539,4169.487305,5.0
17605,4169.102539,4160.128418,5.0
17606,4167.563965,4151.2822270000015,5.0
17607,4167.692383,4153.0771479999985,5.0
17608,4165.0,4156.025879,5.0
17609,4157.179688,4144.615234000001,5.0
17610,4160.6411130000015,4140.128418,5.0
