EEG.O1,EEG.O2
8.3901,9.3899
15.078,18.815
17.594,23.27
14.935,18.387999999999998
9.6758,8.2599
5.5316,1.8151
2.8685,2.3274
-1.0586,5.2883
-6.8171,6.0486
-10.376,4.5034
-8.1329,1.8317
-2.6825,-2.2978
-0.36624,-7.2624
-3.0553,-9.9854
-5.6118,-8.3838
-3.0583,-4.158
2.3779,-0.68643
4.3157,-0.18101
1.0463,-3.4739999999999998
-2.3425,-9.4552
-1.3069,-13.697000000000001
1.9535,-11.59
1.9868,-4.9373
-1.9718,-1.1755
-4.5615,-2.7657
-1.0123,-1.9538
6.7648,8.3607
11.88,22.085
9.5352,25.94
1.6646,17.081
-5.3163,6.4796
-6.9576,3.2422
-4.5684,3.7511
-2.3575,0.50232
-1.7204,-5.627999999999999
-0.28384000000000004,-8.7691
3.135,-8.7194
5.4057,-10.007
3.1885,-12.425
-1.767,-10.828
-4.8053,-4.7665
-5.0473,-0.84695
-5.8412,-3.0708
-7.9171,-6.73
-6.5103,-5.0948
1.7482,2.3231
11.932,11.132
14.87,17.301
7.6274,17.745
-3.1239999999999997,10.362
-8.5187,-1.6132
-5.9664,-8.9687
0.25754,-6.1217
4.5822,0.86135
4.8099,1.839
2.4705,-3.5296
0.34091,-6.403
-0.1643,-2.7187
0.12963,1.5017
-0.48596999999999996,0.7613
-2.4557,-1.7986
-4.4108,-1.304
-4.7762,0.29751
-3.4557,-1.1274
-1.6365,-3.2115
-0.30775,-0.54404
0.56102,5.2282
1.4995,6.5578
2.6353,1.7313
3.4157,-1.7722
3.0454,1.5603
1.2173,6.5429
-1.3269,4.3117
-2.8989999999999996,-5.3469
-1.9406,-13.671
1.4306,-13.545
4.8776,-6.059
5.4433,3.091
2.2632,9.3447
-2.4171,10.568
-5.2903,6.7333
-4.9431,0.8155
-2.5756,-2.5218
-0.29231999999999997,-1.7182
0.65312,-0.18773
0.30075999999999997,-1.2559
-0.32377,-3.1788
0.058569,-2.1461
1.704,1.3872
3.2298,3.3163
3.0544,2.3497
1.4294,1.5399
0.094919,2.506
-0.12215999999999999,2.2743
-0.24793,-1.8603
-1.4468,-7.4143
-3.463,-9.5025
-5.1298,-6.6297
-5.3698,-1.188
-3.4131,4.1061
0.55948,7.4983
4.3688,7.3185
5.0844,3.2560000000000002
2.6369,-1.5934
0.79689,-2.9899
2.6635,-0.5789300000000001
6.0738,1.6044
5.9535,0.53079
1.2705,-1.9478
-3.0801,-2.0312
-2.8086,0.66305
-0.44672,2.6684
-2.0019,1.4393
-7.8814,-1.2359
-10.966,-1.6865
-5.8616,0.5464399999999999
2.7713,1.8385
5.3045,-0.6107100000000001
-0.082551,-4.5205
-4.5845,-5.0795
-0.56758,-1.1997
8.11,3.1223
11.497,4.0779
6.5838,2.3191
-0.10432999999999999,0.78498
-2.2382,0.43291999999999997
-0.77094,0.16426
-0.06851900000000001,-0.4451
-1.4008,-0.73979
-2.9365,-0.71487
-3.3309,-0.98882
-2.544,-1.2522
-0.87336,-0.68267
0.64683,0.21109
0.5140600000000001,0.20686999999999997
-0.7961,-0.11669000000000002
-0.7360899999999999,1.0779
1.0263,3.1328
1.0069,2.4415
-2.4558,-2.2286
-4.9633,-6.1485
-1.9522,-3.6527
3.4853,3.8558
4.5055,8.4333
1.1735,5.0732
0.34621,-2.2603
4.2025,-5.9662
6.367999999999999,-3.8464
2.5051,-0.072632
-2.3918,1.3082
-2.5713,0.20606999999999998
-1.2886,-1.8936
-4.5226,-4.1015
-9.0574,-4.5814
-6.1383,-0.6238199999999999
3.7946,6.7067
9.4428,10.652999999999999
4.2366,5.8227
-4.2061,-3.5286
-4.8872,-6.8564
1.8861,-0.36735
6.4539,7.2141
3.355,5.1867
-2.9622,-5.1625
-5.3023,-11.773
-1.9234,-7.1783
3.0727,2.0716
4.4937,4.3243
0.46481000000000006,-1.9526
-5.79,-6.7697
-8.0699,-2.1019
