EEG.O1,EEG.O2,MarkerValueInt
4174.871582,4166.410156,2.0
4160.897461,4164.3588869999985,2.0
4167.563965,4167.05127,2.0
4169.102539,4166.153809,2.0
4156.794922,4156.2822270000015,2.0
4163.333496,4158.589844,2.0
4168.461426,4163.205078,2.0
4159.102539,4152.692383,2.0
4154.487305,4146.666504,2.0
4152.820313,4147.563965,2.0
4157.307617,4149.743652,2.0
4163.589844,4151.2822270000015,2.0
4166.666504,4157.563965,2.0
4157.563965,4152.692383,2.0
4152.05127,4147.307617,2.0
4157.820313,4154.230957,2.0
4162.820313,4167.692383,2.0
4162.692383,4168.974121,2.0
4162.436035,4158.333496,2.0
4155.0,4146.153809,2.0
4147.436035,4138.974121,2.0
4147.692383,4133.0771479999985,2.0
4151.153809,4129.615234000001,2.0
4150.128418,4129.3588869999985,2.0
4148.589844,4127.307617,2.0
4146.410156,4122.436035,2.0
4145.769043,4115.897461,2.0
4152.05127,4118.0771479999985,2.0
4157.179688,4125.769043,2.0
4156.410156,4130.769043,2.0
4149.230957,4121.410156,2.0
4148.333496,4119.3588869999985,2.0
4151.9228520000015,4124.615234000001,2.0
4156.025879,4125.384765999999,2.0
4156.666504,4121.153809,2.0
4160.6411130000015,4127.307617,2.0
4165.769043,4138.0771479999985,2.0
4169.230957,4141.410156,2.0
4167.436035,4138.974121,2.0
4161.025879,4144.3588869999985,2.0
4154.3588869999985,4150.256348,2.0
4158.974121,4151.794922,2.0
4168.846191,4155.6411130000015,2.0
4170.0,4159.871582,2.0
4164.102539,4160.512695,2.0
4159.615234000001,4149.487305,2.0
4159.102539,4140.897461,2.0
4163.205078,4143.974121,2.0
4164.743652,4147.179688,2.0
4154.3588869999985,4133.846191,2.0
4149.615234000001,4128.974121,2.0
4154.102539,4136.9228520000015,2.0
4157.05127,4142.179688,2.0
4152.692383,4134.3588869999985,2.0
4153.7177729999985,4130.769043,2.0
4155.0,4137.692383,2.0
4156.794922,4145.769043,2.0
4160.6411130000015,4145.384765999999,2.0
4161.666504,4148.461426,2.0
4157.307617,4151.153809,2.0
4155.384765999999,4142.563965,2.0
4158.974121,4144.230957,2.0
4163.461426,4152.05127,2.0
4166.025879,4152.563965,2.0
4164.102539,4151.9228520000015,2.0
4161.666504,4154.230957,2.0
4162.436035,4150.0,2.0
4168.333496,4156.025879,2.0
4168.7177729999985,4163.333496,2.0
4164.3588869999985,4160.128418,2.0
4158.846191,4156.538574,2.0
4161.666504,4162.820313,2.0
4166.153809,4162.179688,2.0
4169.743652,4160.897461,2.0
4171.538574,4164.487305,2.0
4170.256348,4166.025879,2.0
4162.563965,4163.846191,2.0
4158.846191,4159.871582,2.0
4164.230957,4152.05127,2.0
4165.256348,4146.025879,2.0
4157.05127,4147.05127,2.0
4152.179688,4145.6411130000015,2.0
4154.743652,4145.384765999999,2.0
4160.897461,4146.666504,2.0
4165.6411130000015,4151.794922,2.0
4163.846191,4155.769043,2.0
4163.0771479999985,4160.512695,2.0
4159.230957,4154.615234000001,2.0
4158.974121,4152.563965,2.0
4160.897461,4155.897461,2.0
4157.179688,4149.871582,2.0
4147.94873,4131.666504,2.0
4152.179688,4125.6411130000015,2.0
4161.538574,4132.94873,2.0
4159.3588869999985,4136.410156,2.0
4154.230957,4135.897461,2.0
4154.487305,4139.102539,2.0
4155.0,4143.205078,2.0
4155.769043,4141.9228520000015,2.0
4158.0771479999985,4146.666504,2.0
4159.102539,4157.179688,2.0
4158.7177729999985,4158.461426,2.0
4159.3588869999985,4145.256348,2.0
4160.0,4142.692383,2.0
4158.461426,4145.6411130000015,2.0
4159.615234000001,4145.769043,2.0
4158.333496,4146.666504,2.0
4157.94873,4150.897461,2.0
4156.9228520000015,4146.538574,2.0
4156.794922,4147.563965,2.0
4157.05127,4153.461426,2.0
4157.692383,4153.461426,2.0
4158.333496,4151.025879,2.0
4164.615234000001,4154.487305,2.0
4166.794922,4156.2822270000015,2.0
4161.9228520000015,4151.410156,2.0
4161.410156,4153.974121,2.0
4163.333496,4156.794922,2.0
4162.820313,4154.743652,2.0
4163.333496,4152.820313,2.0
4162.436035,4154.102539,2.0
4157.05127,4147.563965,2.0
4161.025879,4151.410156,2.0
4167.179688,4162.563965,2.0
4166.153809,4163.974121,2.0
4160.384765999999,4157.307617,2.0
4162.436035,4162.179688,2.0
4165.769043,4166.410156,2.0
4166.025879,4165.384765999999,2.0
4161.2822270000015,4163.333496,2.0
4157.179688,4163.205078,2.0
4156.794922,4163.589844,2.0
4160.128418,4160.512695,2.0
4167.05127,4157.179688,2.0
4170.6411130000015,4159.102539,2.0
4169.871582,4167.820313,2.0
4170.128418,4171.153809,2.0
4173.7177729999985,4172.179688,2.0
4168.7177729999985,4164.615234000001,2.0
4164.743652,4158.333496,2.0
4166.410156,4160.384765999999,2.0
4167.563965,4168.0771479999985,2.0
4163.205078,4163.205078,2.0
4163.589844,4158.333496,2.0
4168.205078,4159.871582,2.0
4171.410156,4159.615234000001,2.0
4163.974121,4154.3588869999985,2.0
4160.384765999999,4158.333496,2.0
4164.3588869999985,4165.897461,2.0
4161.410156,4161.153809,2.0
4152.820313,4152.05127,2.0
4155.384765999999,4155.0,2.0
4160.256348,4164.615234000001,2.0
4159.615234000001,4164.743652,2.0
4163.589844,4164.230957,2.0
4165.512695,4160.769043,2.0
4158.205078,4152.179688,2.0
4156.153809,4144.3588869999985,2.0
4162.820313,4151.025879,2.0
4163.205078,4160.256348,2.0
4161.538574,4166.153809,2.0
4164.3588869999985,4165.769043,2.0
4169.743652,4167.820313,2.0
4166.538574,4166.794922,2.0
4162.820313,4161.2822270000015,2.0
4164.871582,4159.102539,2.0
4170.384765999999,4170.0,2.0
4165.6411130000015,4177.563965,2.0
4158.974121,4169.487305,2.0
4161.2822270000015,4162.179688,2.0
4159.487305,4165.384765999999,2.0
4152.05127,4170.897461,2.0
4151.025879,4164.871582,2.0
4158.205078,4154.743652,2.0
4162.179688,4145.897461,2.0
4165.256348,4145.769043,2.0
4166.794922,4148.589844,2.0
4163.589844,4152.436035,2.0
4156.538574,4152.436035,2.0
4158.846191,4156.538574,2.0
4164.871582,4161.538574,2.0
4164.102539,4161.794922,2.0
4159.230957,4152.05127,2.0
4161.666504,4146.410156,2.0
4158.205078,4142.05127,2.0
4152.05127,4140.384765999999,2.0
4154.3588869999985,4146.9228520000015,2.0
4155.6411130000015,4150.769043,2.0
4152.563965,4152.692383,2.0
4156.666504,4155.897461,2.0
4160.897461,4156.153809,2.0
4158.461426,4148.846191,2.0
4164.487305,4149.615234000001,2.0
4171.666504,4152.94873,2.0
4169.871582,4156.9228520000015,2.0
4165.0,4159.487305,2.0
4165.769043,4159.871582,2.0
4162.820313,4153.589844,2.0
4159.3588869999985,4151.538574,2.0
4156.9228520000015,4154.230957,2.0
4157.307617,4158.333496,2.0
4158.461426,4153.0771479999985,2.0
4160.384765999999,4142.820313,2.0
4160.0,4139.487305,2.0
4158.205078,4146.9228520000015,2.0
4157.692383,4150.897461,2.0
4157.94873,4147.563965,2.0
4158.205078,4148.461426,2.0
4159.487305,4148.7177729999985,2.0
4159.615234000001,4149.487305,2.0
4158.205078,4152.563965,2.0
4158.7177729999985,4157.563965,2.0
4157.94873,4152.179688,2.0
4160.512695,4148.7177729999985,2.0
4158.461426,4146.538574,2.0
4157.307617,4147.307617,2.0
4163.589844,4150.769043,2.0
4171.153809,4160.0,2.0
4166.025879,4164.102539,2.0
4163.846191,4165.128418,2.0
