EEG.O1,EEG.O2,MarkerValueInt
4158.589844,4152.820313,2.0
4166.666504,4155.384765999999,2.0
4166.2822270000015,4152.179688,2.0
4163.205078,4152.563965,2.0
4167.436035,4161.538574,2.0
4168.7177729999985,4160.512695,2.0
4165.384765999999,4155.6411130000015,2.0
4163.846191,4158.205078,2.0
4165.384765999999,4155.6411130000015,2.0
4161.025879,4142.692383,2.0
4155.6411130000015,4139.3588869999985,2.0
4156.666504,4145.897461,2.0
4157.820313,4146.794922,2.0
4155.6411130000015,4141.025879,2.0
4155.769043,4141.025879,2.0
4161.2822270000015,4146.9228520000015,2.0
4167.563965,4156.410156,2.0
4167.94873,4160.384765999999,2.0
4162.307617,4150.0,2.0
4157.94873,4137.307617,2.0
4159.230957,4137.563965,2.0
4157.692383,4137.692383,2.0
4156.153809,4127.436035,2.0
4156.2822270000015,4123.333496,2.0
4155.512695,4127.563965,2.0
4157.820313,4130.6411130000015,2.0
4160.6411130000015,4129.487305,2.0
4161.666504,4130.512695,2.0
4165.128418,4134.871582,2.0
4168.205078,4132.820313,2.0
4163.461426,4120.128418,2.0
4164.102539,4120.6411130000015,2.0
4170.6411130000015,4130.897461,2.0
4169.615234000001,4127.94873,2.0
4165.0,4119.230957,2.0
4168.974121,4126.2822270000015,2.0
4169.743652,4130.128418,2.0
4165.128418,4120.897461,2.0
4164.487305,4117.563965,2.0
4164.3588869999985,4121.794922,2.0
4162.436035,4123.205078,2.0
4168.846191,4124.230957,2.0
4173.461426,4132.692383,2.0
4167.179688,4137.94873,2.0
4165.128418,4138.205078,2.0
4170.897461,4138.205078,2.0
4172.94873,4139.615234000001,2.0
4173.461426,4140.897461,2.0
4175.128418,4140.512695,2.0
4173.846191,4136.410156,2.0
4173.7177729999985,4137.563965,2.0
4172.05127,4142.563965,2.0
4164.487305,4137.692383,2.0
4160.512695,4124.230957,2.0
4168.0771479999985,4124.487305,2.0
4172.94873,4136.410156,2.0
4168.589844,4141.538574,2.0
4167.692383,4138.333496,2.0
4170.769043,4143.0771479999985,2.0
4166.538574,4149.3588869999985,2.0
4166.025879,4148.461426,2.0
4171.538574,4149.743652,2.0
4169.615234000001,4148.589844,2.0
4166.666504,4143.589844,2.0
4170.256348,4143.0771479999985,2.0
4170.512695,4143.0771479999985,2.0
4166.2822270000015,4136.9228520000015,2.0
4168.0771479999985,4144.743652,2.0
4168.7177729999985,4157.179688,2.0
4167.436035,4152.307617,2.0
4165.6411130000015,4142.820313,2.0
4161.666504,4146.2822270000015,2.0
4161.794922,4150.384765999999,2.0
4167.307617,4148.589844,2.0
4168.7177729999985,4145.384765999999,2.0
4168.7177729999985,4144.102539,2.0
4169.230957,4144.230957,2.0
