EEG.O1,EEG.O2
-6.0662,10.006
-5.2486,19.811
0.25078,25.326
2.521,22.230999999999998
-1.203,12.139000000000001
-5.2006,1.6840000000000002
-3.4579,-4.4341
2.2974,-6.8736
5.3499,-8.1879
3.1367,-8.9329
0.33486,-8.4464
2.2476,-7.2488
7.6735,-6.5561
10.424000000000001,-6.1959
6.8605,-4.7821
-0.47036000000000006,-1.9533
-6.757999999999999,0.86826
-10.048,2.3422
-11.2,2.9112
-10.640999999999998,3.9156
-7.5773,5.4868
-2.2034,6.3137
3.161,5.6759
5.8064,4.7426
4.8792,4.9897
1.9619,5.8412
0.030197,5.1535
1.3113,2.1699
4.9982,-1.308
7.358,-3.367
5.435,-4.4378
0.53372,-6.0955
-3.4011,-8.1891
-4.6528,-8.8221
-4.8757,-7.1472
-5.0583,-4.5654
-3.219,-2.6045
1.8505,-0.9986299999999999
6.7379,1.0684
6.5925,2.8753
1.625,2.9776
-2.7781,1.9049
-2.998,2.2378
-1.2884,5.1446
-1.4066,8.111
-2.7435,7.6405
-1.7309,3.7682
2.021,0.19680999999999998
4.4166,-0.32599
2.4386,0.9038
-1.6684,0.99213
-3.6547,-0.59672
-3.0329,-2.3212
-2.9857,-3.7941
-4.8572,-6.1051
-5.5643,-8.6094
-1.8142,-8.0882
4.9487,-2.9553
9.8377,3.3097
10.008,5.4
6.8324,2.5066
2.7981,-0.8882700000000001
-1.3593,-0.93019
-5.3464,1.1368
-7.0312,1.8111
-3.9268,0.86616
2.9235,1.4173
8.3763,4.5733
7.7855,6.712999999999999
1.7095,3.8388
-4.9616,-2.6451
-8.3825,-6.8215
-9.0209,-5.0839
-9.2111,-0.1408
-9.0413,2.682
-6.4776,1.5015
-1.1423,-1.2992
4.2087,-3.0172
6.8939,-3.0392
7.5239,-1.6479
8.544,0.9012399999999999
10.292,3.2775
10.302999999999999,3.2925
6.835,0.77444
1.5901,-1.3618
-2.2285,-0.68386
-3.8026,1.3284
-5.0916,1.4580000000000002
-7.2716,-0.50539
-8.579,-1.6811
-7.0026,-0.64991
-3.8619,0.56284
-2.44,-0.09676599999999999
-3.1888,-1.6398
-2.8561,-1.9848
0.6023,-1.2223
4.6881,-0.78046
6.0859,-0.3843
5.7702,1.5585
6.9955,4.5284
8.8961,5.3761
6.4305,2.3792
-1.7653,-1.8848
-9.2821,-3.3776
-9.1635,-1.5433
-3.1402,0.23048000000000002
0.57205,-0.90143
-1.661,-3.6494
-4.4131,-4.1725
-1.3426,-0.6814
5.7945,4.2811
9.4689,6.2933
5.9658,3.5333
-0.78472,-1.4188
-4.7458,-4.2482
-4.1563,-3.0887
-1.5871,0.14470999999999998
0.0034941000000000004,2.1821
-0.34571999999999997,1.5179
-1.8403,-0.7397199999999999
-2.8585,-2.3014
-2.0663,-1.7636
0.20197,0.13417
1.9751,1.2072
1.9965,0.41344
1.4729,-0.49283999999999994
2.1187,0.81466
2.9885,3.4054
1.5053,3.5965
-1.9209,0.21353000000000003
-3.0153,-2.9879
0.56365,-2.3246
4.6409,0.27999
3.1867,0.065492
-3.0571,-3.0741
-6.6293,-3.9636
-3.1085,0.08641
2.9786,4.8081
4.5883,4.8127
1.4208,0.98805
-1.1747,-1.4845
-0.80452,-0.82825
-0.66478,-0.22601
-3.2172,-1.8711
-5.8005,-3.6614
-4.7909,-3.1641
-0.98954,-1.3598
2.0685,-0.11267
3.2524,1.3466
4.1385,4.309
5.1355,6.7455
4.6322,5.2591
2.2599,0.4511
0.09576799999999999,-3.1317
-0.45327,-2.9324
-0.60322,-1.2216
-1.5356,-0.96498
-1.922,-1.7684
-0.39945,-1.805
1.0085,-1.3291
-0.90051,-1.608
-5.0823,-1.8683
-6.3061,-0.26498
-1.8722,2.6349
4.2509,4.0606
5.995,2.8384
2.2976,0.70225
-2.4993,-0.48663
-4.3122,-0.74048
-3.0456,-0.74667
-1.0126,-0.6751699999999999
0.08668300000000001,-0.7781
0.14592,-1.3319999999999999
0.16416,-1.4349
1.2725,0.15991
3.3065,2.3976
4.4697,2.4283
3.5948,-0.17222
2.2722,-2.1430000000000002
2.8566,-1.1521
4.5452,0.73245
3.8947,0.5205
-0.24874000000000002,-0.89031
-4.938,-0.53172
-7.3172,1.4028
-7.8174,1.8754
-7.3216,0.28513
-4.2926,-0.38559
1.722,1.3751
6.0327,2.7972
3.2962,0.9683799999999999
-4.2199,-2.7829
-7.9293,-5.0153
-3.7614,-4.8607
2.8556,-3.926
5.0763,-2.6895
3.3584,-0.04142
2.5654,3.6603
3.9896,5.8929
5.1214,5.1979999999999995
5.2168,3.0932
5.6873,1.6945
5.5837,1.0196
2.0971,-0.0899
-3.7634,-1.6088
-7.0362,-2.4428
-5.9657,-2.2651
-4.5798,-1.7346
-5.6579999999999995,-1.0624
-5.8351,0.18604
-1.751,1.577
2.8437,1.4684
1.8655,-0.8255600000000001
-3.1682,-3.3183
-4.4026,-3.1886
0.82105,-0.37151999999999996
5.7811,1.9792
4.1218,1.3035
-1.1617,-1.0888
-2.5011,-1.7621
1.5490000000000002,0.31298000000000004
5.1244,2.5325
3.7332,2.2466
-0.13255999999999998,0.13036
-1.11,-0.9912299999999999
2.0537,0.22395
5.4825,2.3965
5.155,3.4698
1.3565,2.8226
-2.1833,1.2435
-2.9703,-0.27721999999999997
-2.4784,-1.3274
-3.4792,-2.0902
-5.5958,-2.8465
-5.5965,-3.3394
-2.3679,-2.888
0.805,-1.5395
0.44288999999999995,-0.61905
-2.4469,-1.1857
-3.9568,-2.2028
-2.3537,-1.5923
0.64622,0.71294
2.8745,2.336
3.6756,1.8869
3.3794,1.3011
3.1068,3.1373
4.6179,6.4257
7.7843,7.2913
8.7045,3.8421
3.7271,-1.3294
-4.3672,-4.2385
-8.0813,-3.8188
-4.632,-2.2295
-0.016248,-1.8482
-0.98936,-3.1374
-5.9925,-4.9247
-7.8145,-5.4934
-3.552,-3.5342
2.3461,0.66003
4.7766,4.6348
3.6772,5.5563
1.8623,3.2294
0.5417,0.54884
-0.65044,0.24484
-1.2424,1.8724
-0.35945,2.8604
1.0775,1.8842
0.93134,-0.022373
-1.2497,-1.4441
-3.5166,-2.2234
-3.8222,-2.7149
-1.7648,-2.6091
1.7706,-1.4866
5.1136,-0.0017925999999999999
6.085,0.56966
3.8597,0.042923
0.95175,-0.24491999999999997
1.0323,0.81481
3.7495,2.4217
4.1943,2.681
-0.50512,1.0414
-6.3288,-0.9134399999999999
-7.2195,-1.5127
-3.4039,-1.0619
-0.8694700000000001,-0.98262
-2.5734,-1.4543
-4.6617,-1.3326
-3.2154,-0.4418
-0.49987,-0.22079000000000001
-0.69744,-1.1774
-2.3353,-1.2445
-0.25181,1.5384
5.6003,5.4605
8.8875,6.4134
5.9321,2.9645
1.2103,-1.6927
0.70063,-3.6258
3.3503,-2.4768
3.4947,-0.76436
-0.21550999999999998,-0.20002
-3.2733,-0.46078
-2.6498,-1.0133
-0.9516399999999999,-2.0257
-1.5067,-2.9988
-3.0419,-2.2939
-2.3395,0.64467
0.045212,3.5813
0.42887,3.6113
-2.2012,0.7950699999999999
-4.5208,-1.7991
-3.7407,-1.9112
-1.2576,-0.47513
0.18305,0.51888
0.7368100000000001,0.9907299999999999
2.4301,1.9791
5.0915,2.9465
6.1631,2.305
4.5902,0.58845
2.2576,0.33193
0.6602899999999999,1.6646
-1.4280000000000002,0.79202
-5.0123,-4.5
-7.3775,-9.7331
-4.6173,-8.0171
2.3823,0.5982
7.4788,7.9423
6.2609,7.4635
1.4253,1.9468
-1.0548,-1.2287
0.11695,-0.17745
0.47241000000000005,0.21370999999999998
-3.1508,-3.3167
-7.6868,-7.1172
-8.0817,-5.8385
-4.2642,-0.08178400000000001
-0.59263,4.5005
0.9528399999999999,4.7991
3.0455,3.4479
7.1828,3.7451
9.3372,4.5932
5.0397,2.9431
-2.9927,-0.64158
-6.7719,-2.3365
-2.9875,-0.88866
2.875,0.28288
4.0655,-1.7368
0.8298200000000001,-4.7683
-1.8107,-4.7228
-1.9903,-1.8021
-2.3201,-0.21706999999999999
-3.7955,-1.811
-3.0911,-3.2677
2.0319,-1.0756
7.7562,3.2176
7.9243,5.0811
1.8151,3.1067
-4.6471,0.47038
-5.9137,0.2986
-2.986,1.7626
-1.2481,1.8019999999999998
-3.2296,-0.4655
-5.5625,-2.4701
-3.6839,-1.4066
2.0693,2.1118
6.9025,4.4466
7.5992,3.127
5.7569,-0.22573000000000001
4.2556,-2.1277
2.8903,-1.7871
-0.28684,-1.6809
-4.7038,-3.4056
-7.3195,-5.0818
-6.9129,-4.2098
-5.5693,-1.4240000000000002
-4.9291,0.6151800000000001
-3.2686,1.1157
1.7536,1.6661
8.6442,3.0574
12.581,3.8053
10.504000000000001,2.441
4.3201,-0.24729
-1.3776,-1.9913
-3.7555,-1.2089
-3.4276,1.7622
-2.7165,4.6083
-3.3783,4.3689
-5.6633,0.36180999999999996
-8.2,-4.0488
-8.3933,-4.4154
-4.2324,-0.62592
3.0773,2.4401
8.8961,0.8967799999999999
9.1004,-3.1273
4.5138,-4.3351
0.23696,-1.1408
0.011736,2.5810000000000004
2.238,2.6238
2.4568,-0.76898
-0.98779,-4.0518
-5.0825,-4.7107
-5.8366,-3.0485
-2.6173,-0.46863999999999995
1.6562,2.3055
3.8663,5.0042
3.5731,6.9273
2.7375,7.0791
2.9779,4.9992
3.3224,1.2354
1.1411,-2.7747
-4.2519,-5.3084
-9.4454,-5.4069
-9.6127,-3.5860000000000003
-3.7998,-1.1854
3.2729,0.9147200000000001
5.5541,2.3003
1.7417,2.0529
-3.4995,-0.65368
-4.5358,-4.3923
-0.55388,-5.5902
4.196000000000001,-2.3825
5.7611,2.542
4.7693,4.6661
4.2771,2.8505
4.5489,0.19780999999999999
2.6558,-0.20986
-2.2674,1.2515
-6.2679,2.1282
-5.3152,1.3882
-1.0092,0.36863
1.4314,0.52905
0.27743,1.3056
-0.86667,0.8894799999999999
1.0005,-1.0927
3.5267,-2.762
2.2853,-2.5629
-2.9797,-1.6703
-7.9021,-2.2492
-8.6599,-3.7816
-5.2943,-3.3438
0.0,0.0
