EEG.O1,EEG.O2,MarkerValueInt
4170.769043,4154.3588869999985,5.0
4173.205078,4158.7177729999985,5.0
4165.256348,4155.256348,5.0
4158.0771479999985,4142.820313,5.0
4159.3588869999985,4137.94873,5.0
4159.3588869999985,4136.666504,5.0
4157.307617,4131.794922,5.0
4159.102539,4135.0,5.0
4159.487305,4145.512695,5.0
4163.205078,4150.256348,5.0
4169.487305,4148.846191,5.0
4167.436035,4141.538574,5.0
4167.307617,4140.0,5.0
4171.538574,4148.846191,5.0
4169.487305,4155.512695,5.0
4168.846191,4157.436035,5.0
4178.333496,4170.256348,5.0
4181.025879,4179.615234000001,5.0
4174.615234000001,4177.436035,5.0
4174.615234000001,4179.615234000001,5.0
4178.461426,4185.512695,5.0
4176.153809,4184.871582,5.0
4176.666504,4188.846191,5.0
4178.205078,4196.2822270000015,5.0
4178.7177729999985,4194.102539,5.0
4180.256348,4188.974121,5.0
4186.025879,4192.820313,5.0
4190.512695,4198.0771479999985,5.0
4185.769043,4190.6411130000015,5.0
4182.05127,4181.794922,5.0
4181.9228520000015,4183.0771479999985,5.0
4182.436035,4185.512695,5.0
4182.94873,4175.769043,5.0
4185.384765999999,4169.615234000001,5.0
4180.897461,4170.512695,5.0
4178.589844,4172.820313,5.0
4184.230957,4175.6411130000015,5.0
4183.846191,4179.615234000001,5.0
4180.897461,4176.410156,5.0
4185.6411130000015,4175.6411130000015,5.0
4185.6411130000015,4177.820313,5.0
4180.0,4171.2822270000015,5.0
4177.94873,4161.410156,5.0
4180.384765999999,4160.384765999999,5.0
4178.333496,4167.436035,5.0
4176.2822270000015,4169.743652,5.0
4180.0,4167.94873,5.0
4183.7177729999985,4173.589844,5.0
4181.410156,4184.3588869999985,5.0
4176.9228520000015,4176.2822270000015,5.0
4178.846191,4168.7177729999985,5.0
4181.025879,4180.512695,5.0
4185.769043,4189.230957,5.0
4188.333496,4179.615234000001,5.0
4184.615234000001,4178.0771479999985,5.0
4177.563965,4187.179688,5.0
4171.2822270000015,4186.666504,5.0
4168.846191,4182.692383,5.0
4171.538574,4188.461426,5.0
4174.230957,4186.025879,5.0
4175.0,4171.666504,5.0
4175.897461,4169.871582,5.0
4178.0771479999985,4179.871582,5.0
4176.410156,4176.9228520000015,5.0
4172.436035,4168.846191,5.0
4169.615234000001,4174.230957,5.0
4170.256348,4181.794922,5.0
4171.410156,4178.974121,5.0
4166.9228520000015,4168.589844,5.0
4166.153809,4170.769043,5.0
4170.384765999999,4179.615234000001,5.0
4171.410156,4181.9228520000015,5.0
4167.05127,4173.205078,5.0
4170.128418,4172.94873,5.0
4176.025879,4182.563965,5.0
4172.94873,4184.743652,5.0
4170.128418,4176.410156,5.0
4176.666504,4172.692383,5.0
4180.897461,4186.666504,5.0
4180.384765999999,4198.846191,5.0
4179.743652,4192.436035,5.0
4182.179688,4183.333496,5.0
4181.794922,4186.410156,5.0
4176.666504,4185.0,5.0
4176.666504,4177.436035,5.0
4183.7177729999985,4191.794922,5.0
4185.0,4208.974121,5.0
4178.205078,4184.871582,5.0
4179.230957,4166.153809,5.0
4182.692383,4183.0771479999985,5.0
4181.2822270000015,4191.794922,5.0
4178.846191,4178.205078,5.0
4182.05127,4181.666504,5.0
4183.846191,4196.153809,5.0
4183.974121,4196.025879,5.0
4185.512695,4187.692383,5.0
4183.461426,4185.512695,5.0
4179.615234000001,4186.025879,5.0
4180.897461,4182.05127,5.0
4185.128418,4183.974121,5.0
4183.461426,4186.794922,5.0
4180.769043,4187.563965,5.0
4182.94873,4196.9228520000015,5.0
4180.128418,4195.6411130000015,5.0
4175.512695,4182.179688,5.0
