EEG.O1,EEG.O2,MarkerValueInt
4165.897461,4180.0,5.0
4166.538574,4170.769043,5.0
4168.846191,4166.2822270000015,5.0
4165.512695,4166.2822270000015,5.0
4173.846191,4173.205078,5.0
4183.846191,4185.128418,5.0
4177.692383,4181.153809,5.0
4168.7177729999985,4171.2822270000015,5.0
4173.589844,4181.666504,5.0
4175.6411130000015,4191.410156,5.0
4169.743652,4185.897461,5.0
4176.9228520000015,4187.307617,5.0
4187.692383,4191.025879,5.0
4185.6411130000015,4187.307617,5.0
4182.05127,4187.179688,5.0
4185.6411130000015,4187.563965,5.0
4188.205078,4186.025879,5.0
4185.256348,4186.2822270000015,5.0
4184.102539,4184.3588869999985,5.0
4185.0,4184.230957,5.0
4185.128418,4185.512695,5.0
4183.589844,4183.205078,5.0
4185.897461,4188.846191,5.0
4190.897461,4201.666504,5.0
4190.6411130000015,4205.897461,5.0
4185.512695,4199.102539,5.0
4181.794922,4187.94873,5.0
4183.333496,4183.0771479999985,5.0
4180.769043,4181.9228520000015,5.0
4175.128418,4173.846191,5.0
4176.666504,4168.7177729999985,5.0
4188.0771479999985,4183.333496,5.0
4197.563965,4196.2822270000015,5.0
4192.307617,4188.974121,5.0
4182.563965,4180.0,5.0
4181.410156,4183.974121,5.0
4191.410156,4192.94873,5.0
4205.0,4203.205078,5.0
4216.666504,4220.384765999999,5.0
4227.563965,4238.205078,5.0
4230.0,4236.538574,5.0
4223.461426,4221.410156,5.0
4217.436035,4216.9228520000015,5.0
4218.589844,4218.974121,5.0
4224.230957,4217.563965,5.0
4227.179688,4224.230957,5.0
4223.974121,4228.974121,5.0
4217.94873,4220.128418,5.0
4215.256348,4217.179688,5.0
4220.384765999999,4230.128418,5.0
4231.538574,4239.487305,5.0
4235.256348,4238.461426,5.0
4221.410156,4233.0771479999985,5.0
4214.3588869999985,4230.512695,5.0
4227.05127,4234.871582,5.0
4231.153809,4234.487305,5.0
4220.128418,4230.128418,5.0
4215.0,4227.307617,5.0
4219.743652,4222.563965,5.0
4215.769043,4220.128418,5.0
4206.794922,4219.615234000001,5.0
4208.0771479999985,4218.205078,5.0
4214.615234000001,4220.512695,5.0
4217.307617,4224.615234000001,5.0
4213.461426,4219.743652,5.0
4207.820313,4214.230957,5.0
4204.487305,4217.820313,5.0
4202.307617,4214.3588869999985,5.0
4199.743652,4207.179688,5.0
4199.3588869999985,4210.512695,5.0
4202.179688,4211.538574,5.0
4203.7177729999985,4205.0,5.0
4202.436035,4203.846191,5.0
4200.6411130000015,4201.153809,5.0
4199.743652,4193.7177729999985,5.0
4200.256348,4194.615234000001,5.0
4204.871582,4198.333496,5.0
4214.743652,4205.512695,5.0
