EEG.O1,EEG.O2
7.9661,15.89
11.06,30.881
9.5804,37.427
8.0087,30.79
8.6389,18.904
8.0222,12.509
2.0336,9.2917
-6.7441,-1.2317
-10.855,-18.762999999999998
-7.9404,-30.04
-4.158,-27.436
-4.7934,-18.868
-6.12,-14.555
-2.1311,-13.28
3.8017,-8.5864
2.1988,-1.1276
-7.0043,4.0908
-10.883,8.0075
-0.51036,15.005
14.882,21.926
18.744,20.188
9.2699,10.489
1.1073,5.2728
3.9922,11.161
9.4172,17.09
4.5318,8.5548
-8.0912,-10.915
-14.418,-22.796
-9.8089,-17.655
-4.6828,-6.1
-7.2944,-2.3694
-11.222000000000001,-5.9449
-6.4893,-6.6271
4.2899,-1.8854
9.8708,0.5905199999999999
6.692,-3.7272
1.8289,-9.4814
0.63439,-10.059
0.7672,-5.6685
0.11252999999999999,0.52225
1.7935,8.0955
6.9344,16.289
9.4622,19.892
4.2842,14.552999999999999
-3.9036,4.1951
-6.4782,-2.5499
-2.819,-2.6424
0.11623,-0.48591999999999996
-1.1774,0.061727
-2.8789,0.11559000000000001
-1.7229,1.1768
-0.5958600000000001,1.2279
-3.2241,-1.7286
-7.218,-5.4945
-6.4121,-6.2998
0.9108,-4.2092
8.9629,-3.4105
10.144,-7.2873
2.8844,-14.175999999999998
-6.5299,-17.741
-9.8148,-11.774000000000001
-4.1959,3.8404
5.9552,21.418000000000003
13.935,30.932
15.550999999999998,27.785
9.9538,14.967
-0.68565,-1.112
-10.748,-14.77
-13.925,-22.081999999999997
-9.9105,-21.531
-6.0134,-14.945
-7.8883,-5.6442
-10.466,4.9743
-3.9939,16.464000000000002
10.764000000000001,24.665
20.364,22.455
15.315999999999999,8.3293
3.2331,-8.7452
-0.87382,-17.408
5.4549,-15.823
9.3591,-11.68
0.40031,-10.819
-15.690999999999999,-10.375
-24.53,-4.6726
-19.884,5.7871
-8.1647,14.319
1.7211,15.582
7.4885,10.557
11.558,4.2923
14.489,0.52293
13.978,-0.97582
9.3137,-2.5846
3.3603,-5.2829
-1.0212,-7.2919
-4.1949,-6.057
-7.2524,-0.80387
-8.1129,6.8683
-3.9549,13.43
2.5361,14.039000000000001
4.0947,5.5386
-1.6691,-8.651
-7.9911,-18.928
-8.0282,-18.743
-4.5125,-12.225
-4.6018,-8.0221
-7.4766,-6.4439
-4.6917,0.58102
6.4812,15.105
17.492,26.25
19.472,23.250999999999998
13.885,10.179
7.8333,0.18673
3.3865,-2.2621
-2.6222,-5.0426
-10.609000000000002,-14.072000000000001
-16.203,-23.52
-16.314,-23.533
-12.515,-11.931
-7.1831,5.4301
-0.11475999999999999,21.116
8.6608,28.872
15.099,24.718000000000004
13.695,11.232999999999999
4.4231,-2.0178
-4.9637,-8.3216
-5.773,-12.048
2.2208,-20.333
9.7265,-28.215999999999998
7.4567,-21.894000000000002
-4.0101,0.44054
-14.898,20.694000000000003
-16.086,21.369
-7.2969,7.5653
3.6489999999999996,-1.2389
8.3321,2.0086
5.0228,5.1791
-0.33139,-1.7878
-0.79008,-11.12
3.7048,-9.7849
6.8856,0.88034
4.8845,8.5315
0.77403,8.7052
-1.659,8.8132
-3.9774,12.77
-7.9588,12.751
-8.4365,1.7083
0.55357,-13.671
13.325999999999999,-20.424
15.559000000000001,-15.835999999999999
2.8529,-8.4329
-11.517000000000001,-3.9607
-12.825999999999999,0.74728
-3.0868,7.8523
3.7499,10.885
0.89443,3.4939
-5.018,-8.7698
-5.8691,-13.277999999999999
-2.2978,-6.1739999999999995
0.38575,3.6535
0.80467,7.7225
2.0496,8.3338
6.2535,11.872
11.620999999999999,17.053
13.655,16.243
8.2676,6.5822
-3.9708,-6.2111
-15.452,-15.199000000000002
-16.753,-18.217
-6.9517,-15.743
4.0408,-8.1541
6.7248,2.0078
2.9426,9.0046
1.3015,9.0835
4.1167,4.824
5.2975,1.2291
1.1604,-0.76022
-3.6591,-3.4669
-3.955,-6.7134
-1.9427,-7.3182
-2.8576,-4.5324
-6.2475,-1.7297
-6.9859,-1.1858
-3.2634,-0.74553
1.4452,2.0237
4.0075,5.4258
4.8757,6.6169
5.4058,6.8458
5.7304,9.6324
5.9725,14.229000000000001
6.2261,14.94
4.7097,8.1211
-0.50067,-3.0144
-6.9271,-12.308
-8.7743,-17.219
-4.4272,-19.124000000000002
0.76048,-18.337
1.5528,-12.5
-0.88126,-1.5684
-2.7795,8.2684
-3.9913,9.7654
-5.6814,4.0364
-5.0262,0.38850999999999997
1.1441,4.0881
8.3154,8.5235
7.3383,4.9024
-2.4527,-3.4243
-9.6469,-4.7286
-4.4888,3.1454
8.4779,8.7515
16.593,4.9069
14.435,0.20371
6.8817,4.026
-0.95136,8.8201
-8.9124,0.9935299999999999
-15.927999999999999,-14.522
-16.629,-17.291
-8.4583,-1.6775
2.5468,11.927999999999999
8.1186,5.1197
7.1601,-11.968
4.4135,-15.392999999999999
2.4817,-0.9446399999999999
0.52307,12.39
-0.9147299999999999,10.049
-0.12861,-2.1686
0.6736,-11.794
-2.9763,-15.214
-9.3461,-13.369000000000002
-9.9037,-3.6873
-0.8450799999999999,13.477
9.8748,27.283
12.095999999999998,26.383000000000003
6.3829,14.06
1.4579,3.8679
1.0849,0.9025299999999999
0.6572899999999999,-3.0521
-3.1254,-13.964
-6.5366,-24.483
-5.5083,-23.814
-2.1587,-12.292
-0.49663999999999997,0.57468
0.088288,8.8067
2.3233,13.645
5.1074,16.326
5.0562,14.525
2.043,7.1591
-1.5109,-2.7051
-5.1621,-11.593
-9.1488,-18.184
-10.022,-20.636999999999997
-3.8693,-15.757
5.8741,-3.6778
10.232999999999999,9.7774
6.1428,18.37
0.53101,20.908
0.33721,19.165
3.6297,13.3
4.2498,3.0439
0.8598899999999999,-8.2923
-3.1457,-15.175999999999998
-5.4657,-15.215
-5.7993,-10.464
-3.3146,-3.9646
1.6742,2.1188
4.9354,5.7068
2.5864,5.8991
-2.2274,5.0149
-2.3512,5.7903
2.924,6.0063
5.9268,0.2917
1.4395,-10.837
-5.5357,-18.111
-6.8302,-13.501
-2.2654,-0.47827
1.371,9.8052
0.56999,11.058
-1.4193,6.3169
-1.4698,0.75562
-1.2438,-4.3656
-2.5056,-8.5996
-2.2219,-8.0959
3.2116,0.30823
10.725999999999999,12.026
12.332,17.03
4.9011,11.157
-5.079,1.7908
-8.4145,-0.6914600000000001
-3.1675,4.5921
4.0912,8.3376
5.9643,2.2608
1.2278,-12.012
-5.5034,-25.136999999999997
-8.986,-28.136999999999997
-7.4148,-18.345
-2.7204,-1.1476
1.6701,12.918
3.4507,16.315
2.7619,11.665999999999999
1.4167,7.9345
0.82668,8.2318
0.67685,6.0008
-0.36813,-3.5983
-2.7084,-13.568
-4.6707,-12.717
-3.7246,-1.1571
0.64852,9.0455
5.5982,9.4107
7.5207,4.8228
