EEG.O1,EEG.O2,MarkerValueInt
4130.897461,4133.974121,4.0
4136.153809,4136.410156,4.0
4139.743652,4142.307617,4.0
4130.769043,4138.0771479999985,4.0
4127.05127,4133.7177729999985,4.0
4136.9228520000015,4139.743652,4.0
4138.974121,4136.666504,4.0
4127.692383,4124.743652,4.0
4122.692383,4120.512695,4.0
4124.871582,4122.94873,4.0
4121.2822270000015,4126.2822270000015,4.0
4123.846191,4134.230957,4.0
4131.9228520000015,4141.153809,4.0
4134.230957,4136.2822270000015,4.0
4132.307617,4127.94873,4.0
4131.410156,4124.487305,4.0
4133.7177729999985,4130.128418,4.0
4134.230957,4142.05127,4.0
4130.897461,4142.94873,4.0
4125.0,4133.205078,4.0
4120.897461,4129.487305,4.0
4130.0,4140.0,4.0
4141.410156,4150.512695,4.0
4132.820313,4139.230957,4.0
4117.94873,4120.512695,4.0
4121.666504,4121.2822270000015,4.0
4120.256348,4122.820313,4.0
4107.05127,4108.589844,4.0
4111.794922,4105.128418,4.0
4126.153809,4118.461426,4.0
4125.897461,4122.820313,4.0
4120.897461,4120.512695,4.0
4120.128418,4120.512695,4.0
4118.846191,4121.410156,4.0
4124.743652,4132.563965,4.0
4130.512695,4141.2822270000015,4.0
4123.461426,4130.897461,4.0
4118.974121,4120.384765999999,4.0
4126.538574,4125.6411130000015,4.0
4126.2822270000015,4128.333496,4.0
4119.615234000001,4121.794922,4.0
4128.974121,4123.0771479999985,4.0
4131.025879,4122.179688,4.0
4115.384765999999,4114.743652,4.0
4115.6411130000015,4117.692383,4.0
4127.820313,4121.153809,4.0
4124.230957,4110.0,4.0
4120.769043,4104.871582,4.0
4125.512695,4114.615234000001,4.0
4122.94873,4121.794922,4.0
4123.846191,4123.974121,4.0
4135.769043,4127.94873,4.0
4139.230957,4125.0,4.0
4135.769043,4120.512695,4.0
4137.436035,4127.820313,4.0
4139.743652,4132.94873,4.0
4137.05127,4129.230957,4.0
4135.512695,4133.974121,4.0
4138.205078,4142.820313,4.0
4137.179688,4134.743652,4.0
4129.487305,4124.102539,4.0
4124.615234000001,4126.410156,4.0
4128.974121,4129.230957,4.0
4136.538574,4129.743652,4.0
4137.820313,4127.820313,4.0
4136.2822270000015,4123.333496,4.0
4137.820313,4123.974121,4.0
4132.436035,4125.256348,4.0
4128.974121,4121.9228520000015,4.0
4139.102539,4123.461426,4.0
4144.487305,4133.974121,4.0
4139.230957,4146.538574,4.0
4140.6411130000015,4153.7177729999985,4.0
4140.0,4143.7177729999985,4.0
4134.3588869999985,4125.769043,4.0
4143.589844,4125.384765999999,4.0
4152.05127,4135.6411130000015,4.0
4145.256348,4136.538574,4.0
4140.512695,4134.743652,4.0
4142.820313,4139.102539,4.0
4148.7177729999985,4146.2822270000015,4.0
4155.0,4151.025879,4.0
4148.7177729999985,4142.307617,4.0
4134.230957,4121.2822270000015,4.0
4133.974121,4112.436035,4.0
4140.769043,4127.563965,4.0
4139.743652,4141.9228520000015,4.0
4139.615234000001,4141.9228520000015,4.0
4142.179688,4141.410156,4.0
4141.538574,4140.897461,4.0
4137.563965,4136.2822270000015,4.0
4137.692383,4137.307617,4.0
4147.820313,4140.6411130000015,4.0
4156.153809,4137.692383,4.0
4153.461426,4137.05127,4.0
4152.820313,4148.333496,4.0
4157.563965,4153.333496,4.0
4157.307617,4152.436035,4.0
4155.384765999999,4158.974121,4.0
4156.153809,4158.333496,4.0
4154.102539,4148.974121,4.0
4151.2822270000015,4149.871582,4.0
4155.256348,4155.897461,4.0
4162.307617,4154.615234000001,4.0
4163.461426,4156.2822270000015,4.0
4156.794922,4154.230957,4.0
4151.153809,4145.769043,4.0
4151.153809,4147.94873,4.0
4156.025879,4156.153809,4.0
4161.538574,4153.974121,4.0
4161.153809,4154.3588869999985,4.0
4158.0771479999985,4163.7177729999985,4.0
4156.666504,4163.846191,4.0
4152.94873,4152.436035,4.0
4152.436035,4146.025879,4.0
4155.6411130000015,4147.436035,4.0
4155.0,4147.563965,4.0
4155.769043,4157.436035,4.0
4156.794922,4165.6411130000015,4.0
4152.94873,4155.769043,4.0
4156.025879,4149.871582,4.0
4170.512695,4162.820313,4.0
4176.538574,4173.461426,4.0
4177.307617,4171.025879,4.0
4173.589844,4165.769043,4.0
4158.846191,4157.179688,4.0
4156.410156,4155.384765999999,4.0
4170.6411130000015,4162.94873,4.0
4173.7177729999985,4168.205078,4.0
4164.615234000001,4168.589844,4.0
4163.205078,4162.692383,4.0
4169.230957,4155.6411130000015,4.0
4172.307617,4160.6411130000015,4.0
4167.436035,4164.102539,4.0
4162.436035,4153.0771479999985,4.0
4168.333496,4154.615234000001,4.0
4163.205078,4162.05127,4.0
4148.846191,4154.3588869999985,4.0
4156.666504,4157.05127,4.0
4168.333496,4169.102539,4.0
4160.6411130000015,4164.871582,4.0
4152.692383,4151.794922,4.0
4157.05127,4148.333496,4.0
4159.487305,4150.897461,4.0
4156.794922,4151.538574,4.0
4155.0,4149.615234000001,4.0
4157.307617,4153.0771479999985,4.0
4158.333496,4156.794922,4.0
4151.153809,4155.6411130000015,4.0
4152.820313,4162.692383,4.0
4163.205078,4166.410156,4.0
4160.6411130000015,4157.436035,4.0
4152.436035,4149.102539,4.0
4152.94873,4141.666504,4.0
4156.794922,4140.128418,4.0
4156.410156,4153.205078,4.0
4153.333496,4160.384765999999,4.0
4152.307617,4154.615234000001,4.0
4160.0,4159.615234000001,4.0
4169.102539,4169.871582,4.0
4171.538574,4170.128418,4.0
4174.743652,4173.205078,4.0
4175.384765999999,4174.615234000001,4.0
