EEG.O1,EEG.O2,MarkerValueInt
-283.8425713767689,-283.8425713767689,4.0
-194.97757044585762,-194.97757044585762,4.0
-199.28291668943876,-199.28291668943876,4.0
-170.58289429813027,-170.58289429813027,4.0
-181.33085896517053,-181.33085896517053,4.0
-160.48756921331835,-160.48756921331835,4.0
-149.68548786402116,-149.68548786402116,4.0
-127.20700155986782,-127.20700155986782,4.0
-124.79674814526324,-124.79674814526324,4.0
-112.56771266723919,-112.56771266723919,4.0
-110.7507630094416,-110.7507630094416,4.0
-100.74691347556004,-100.74691347556004,4.0
-99.3960744524179,-99.3960744524179,4.0
-96.09931334536901,-96.09931334536901,4.0
-103.95068195039003,-103.95068195039003,4.0
-94.98796526491138,-94.98796526491138,4.0
-85.65421306778481,-85.65421306778481,4.0
-77.43523165099259,-77.43523165099259,4.0
-71.42944499655893,-71.42944499655893,4.0
-54.27323216263852,-54.27323216263852,4.0
-50.18562971510102,-50.18562971510102,4.0
-51.96958095958307,-51.96958095958307,4.0
-55.768028515822,-55.768028515822,4.0
-48.8255317349789,-48.8255317349789,4.0
-46.19998897991316,-46.19998897991316,4.0
-38.9109662565241,-38.9109662565241,4.0
-32.44458121849766,-32.44458121849766,4.0
-27.679194036855765,-27.679194036855765,4.0
-34.257603863082046,-34.257603863082046,4.0
-30.711732355788417,-30.711732355788417,4.0
-21.083957207229957,-21.083957207229957,4.0
-13.103985640598452,-13.103985640598452,4.0
-15.272990662683352,-15.272990662683352,4.0
-10.874584052753455,-10.874584052753455,4.0
-1.191837457906832,-1.191837457906832,4.0
9.680922433881825,9.680922433881825,4.0
9.234261771171886,9.234261771171886,4.0
7.030218176013353,7.030218176013353,4.0
4.496306042311357,4.496306042311357,4.0
6.641494854357848,6.641494854357848,4.0
5.1252166634695975,5.1252166634695975,4.0
8.834279660316307,8.834279660316307,4.0
16.393936843154204,16.393936843154204,4.0
20.28207330902468,20.28207330902468,4.0
13.714856811477874,13.714856811477874,4.0
14.429849255672192,14.429849255672192,4.0
19.849100258128942,19.849100258128942,4.0
25.166659551675167,25.166659551675167,4.0
26.05281455326895,26.05281455326895,4.0
28.937107888196923,28.937107888196923,4.0
29.268069095789713,29.268069095789713,4.0
31.078144756349054,31.078144756349054,4.0
31.063984235882735,31.063984235882735,4.0
31.26559946229111,31.26559946229111,4.0
27.9196148339965,27.9196148339965,4.0
29.470474063806158,29.470474063806158,4.0
27.09359113912754,27.09359113912754,4.0
25.19035004151821,25.19035004151821,4.0
30.18175074334832,30.18175074334832,4.0
35.44395509164037,35.44395509164037,4.0
26.432136041984087,26.432136041984087,4.0
24.873677858960725,24.873677858960725,4.0
32.827405557402216,32.827405557402216,4.0
31.65854039353647,31.65854039353647,4.0
