EEG.O1,EEG.O2,MarkerValueInt
4158.333496,4151.025879,4.0
4169.230957,4152.179688,4.0
4162.05127,4153.461426,4.0
4152.692383,4165.0,4.0
4157.94873,4172.563965,4.0
4166.153809,4168.846191,4.0
4169.230957,4169.615234000001,4.0
4170.0,4171.2822270000015,4.0
4170.0,4164.3588869999985,4.0
4170.512695,4159.615234000001,4.0
4171.025879,4165.256348,4.0
4171.025879,4164.871582,4.0
4170.769043,4158.7177729999985,4.0
4169.871582,4160.256348,4.0
4171.410156,4170.256348,4.0
4178.205078,4180.256348,4.0
4181.9228520000015,4188.461426,4.0
4175.0,4185.0,4.0
4169.230957,4172.94873,4.0
4167.94873,4172.94873,4.0
4167.05127,4179.743652,4.0
4172.436035,4177.05127,4.0
4176.538574,4172.692383,4.0
4175.6411130000015,4176.538574,4.0
4180.769043,4185.769043,4.0
4184.871582,4190.384765999999,4.0
4184.871582,4189.3588869999985,4.0
4187.05127,4186.410156,4.0
4183.205078,4183.7177729999985,4.0
4175.769043,4180.256348,4.0
4170.769043,4169.743652,4.0
4157.820313,4154.871582,4.0
4149.230957,4148.589844,4.0
4158.461426,4154.871582,4.0
4167.94873,4161.9228520000015,4.0
4177.05127,4168.974121,4.0
4187.05127,4175.6411130000015,4.0
4183.0771479999985,4170.512695,4.0
4174.487305,4157.563965,4.0
4176.666504,4153.589844,4.0
4181.025879,4163.333496,4.0
4181.9228520000015,4172.94873,4.0
4179.743652,4167.94873,4.0
4175.769043,4165.769043,4.0
4178.974121,4177.94873,4.0
4181.025879,4187.820313,4.0
4176.9228520000015,4186.410156,4.0
4175.256348,4180.256348,4.0
4175.128418,4176.794922,4.0
4173.974121,4180.384765999999,4.0
4171.2822270000015,4185.512695,4.0
4166.666504,4182.692383,4.0
4164.615234000001,4180.769043,4.0
4170.0,4186.794922,4.0
4170.6411130000015,4183.846191,4.0
4167.05127,4176.153809,4.0
4170.769043,4181.794922,4.0
4173.7177729999985,4185.897461,4.0
4173.7177729999985,4175.897461,4.0
4180.384765999999,4170.512695,4.0
4190.128418,4175.0,4.0
4187.563965,4170.6411130000015,4.0
4175.769043,4165.256348,4.0
4167.436035,4167.436035,4.0
4166.410156,4169.487305,4.0
4170.384765999999,4172.94873,4.0
4168.974121,4173.589844,4.0
4166.025879,4169.871582,4.0
4169.615234000001,4169.102539,4.0
4169.871582,4168.589844,4.0
4171.666504,4173.333496,4.0
4183.974121,4186.410156,4.0
4188.846191,4190.512695,4.0
4183.333496,4183.333496,4.0
4185.897461,4186.025879,4.0
4185.384765999999,4188.0771479999985,4.0
