EEG.O1,EEG.O2
-41.958,-19.937
-73.652,-35.681999999999995
-88.29299999999999,-44.799
-85.539,-46.917
-70.51,-42.968999999999994
-48.504,-34.459
-21.954,-23.066
6.2241,-10.573
29.221999999999998,0.85369
40.185,8.6628
38.584,11.099
29.393,8.8387
17.127,5.1475
5.1344,4.0916
-0.44264,8.2197
6.3786,16.968
21.561999999999998,26.378
30.691999999999997,31.074
24.19,28.193
8.9212,19.852
-1.3335,10.884
-3.7569,4.0911
-7.3648,-1.3653
-17.22,-7.0973
-26.32,-12.575999999999999
-25.611,-15.655999999999999
-15.555,-15.144
-4.1587,-12.499
1.6816,-11.360999999999999
-0.56283,-14.709000000000001
-9.74,-21.276999999999997
-20.19,-25.52
-23.204,-22.835
-14.282,-14.195
1.7369,-3.9284
15.255,5.5839
20.173,13.849
16.611,18.641
9.687000000000001,18.012
8.2659,16.134
19.137999999999998,20.343
36.701,29.599
43.351000000000006,32.586
28.013,22.305999999999997
0.8255600000000001,6.3646
-19.273,-4.2389
-27.897,-10.557
-34.232,-19.735
-39.211,-28.1
-31.878,-24.528000000000002
-11.752,-10.924000000000001
3.1625,-3.4236
1.3987,-8.1043
-4.7222,-11.649000000000001
-1.3944,-5.5233
2.5536,-2.2431
-5.4443,-11.69
-12.049000000000001,-17.656
4.0934,-1.9403
32.063,20.680999999999997
40.907,22.991999999999997
31.739,13.584000000000001
35.441,23.949
47.303999999999995,44.643
14.385,24.738000000000003
-77.335,-42.353
-147.21,-82.76100000000001
-108.43,-36.616
10.422,48.684
95.963,77.975
97.258,39.034
73.805,6.1723
81.488,17.278
81.479,21.451
10.334000000000001,-27.822
-106.62,-91.74600000000001
-174.57,-102.39
-145.89,-57.128
-64.416,-8.1474
4.5698,16.459
41.51,32.159
59.746,49.632
65.687,53.68600000000001
56.273,35.666
36.65,12.501
18.691,1.9199
8.3017,1.2131
5.5503,0.9545
10.798,2.1084
21.048000000000002,8.0408
25.247,12.015
12.562999999999999,4.6183
-15.558,-12.605
-46.398999999999994,-29.500999999999998
-66.977,-38.909
-70.396,-39.388000000000005
-55.353,-30.627
-26.717,-13.815
3.4885,4.612
23.035999999999998,16.498
31.436999999999998,20.908
40.458,25.046
56.883,33.364000000000004
67.17,38.474000000000004
48.351000000000006,27.506999999999998
-1.9134,-1.3128
-53.38,-31.783
-69.956,-43.205
-46.418,-30.572
-10.307,-8.0374
11.945,7.9881
19.484,14.272
23.754,16.534000000000002
24.425,15.972999999999999
13.341,8.8692
-3.2427,-1.6539
-5.8989,-4.4971
9.1159,3.6746
18.604,10.115
2.5097,2.0819
-26.02,-14.318
-37.446999999999996,-22.139
-26.555999999999997,-17.595
-15.786,-12.873
-17.094,-13.741
-13.648,-9.3051
9.0584,7.8971
33.274,24.174
30.476,20.739
2.9982,1.072
-17.737000000000002,-12.41
-12.503,-7.4427
6.5728,6.1538
20.898000000000003,15.062000000000001
29.745,19.288
40.227,24.423000000000002
47.659,27.893
39.463,22.041999999999998
12.213,5.4369
-24.87,-16.137
-58.419,-35.818000000000005
-75.79899999999999,-46.956
-68.931,-43.479
-43.673,-27.079
-20.442,-10.772
-13.964,-6.2863
-14.38,-8.5106
0.53437,-1.1107
34.675,21.069000000000003
66.081,43.177
72.182,47.364
53.226000000000006,32.635999999999996
27.494,13.597999999999999
11.665999999999999,3.8964
9.6532,5.1475
12.665,8.7358
5.1702,3.9045
-21.781999999999996,-13.404000000000002
-56.628,-34.925
-72.844,-44.778999999999996
-56.04600000000001,-34.489000000000004
-21.053,-12.663
5.4469,4.3174
14.308,9.913
16.382,10.517000000000001
19.769000000000002,12.085999999999999
18.954,11.815
9.5714,6.2553
0.90935,0.44922
4.2357,1.8969999999999998
15.18,8.6483
17.939,10.812999999999999
5.7569,3.8169999999999997
-10.997,-6.1257
-18.542,-11.149000000000001
-14.854000000000001,-10.579
-7.5113,-7.6748
-1.2942,-2.7759
5.6808,4.8751
14.402999999999999,11.475999999999999
20.364,11.642999999999999
19.499000000000002,6.9251
13.834000000000001,4.725
6.3835,6.6262
-5.795,4.1422
-25.987,-9.0216
-46.058,-24.958000000000002
-49.21,-28.706999999999997
-28.598000000000003,-16.18
2.6417,1.455
24.903000000000002,11.789000000000001
31.381,13.397
28.833000000000002,11.937999999999999
23.778000000000002,10.121
16.352999999999998,6.7321
7.075,2.4637
0.8064399999999999,0.6407
0.15513,2.0114
0.32078,3.1128
-4.5194,1.1585
-12.162,-2.1833
-14.498,-3.5036
-8.6728,-2.5931
-2.3096,-2.9838
-5.2834,-7.6421
-17.515,-14.85
-27.694000000000003,-18.95
-25.090999999999998,-15.647
-10.36,-6.1617
7.6824,4.8512
23.366999999999997,14.698
36.695,23.337
45.123000000000005,28.819000000000003
41.35,26.538
24.118000000000002,15.769
4.2886,3.1259
-7.6985,-4.9385
-15.449000000000002,-10.232999999999999
-27.814,-17.820999999999998
-39.88,-25.037
-36.381,-23.322
-16.035999999999998,-11.925
1.2409,-1.8503
-1.0844,-2.2106
-14.439,-8.5141
-17.26,-9.3629
-1.8263,-0.44411000000000006
20.608,13.033
36.309,24.083000000000002
40.304,28.552
33.569,24.511999999999997
19.024,12.972999999999999
1.6318,-0.9341799999999999
-13.148,-11.136
-21.625,-14.82
-21.039,-12.253
-11.123,-5.5581
0.054604,0.016474000000000003
-0.49223,-1.6639
-13.786,-9.5243
-22.613000000000003,-13.632
-12.62,-7.3971
6.3477,2.4246
13.102,4.9169
5.1231,0.7570399999999999
-0.24251999999999999,-0.098457
5.9867,5.3494
12.868,9.6982
10.947000000000001,8.8179
7.8228,8.0034
11.95,10.409
14.99,9.4956
4.864,0.13882
-12.515999999999998,-10.625
-20.482,-12.974
-16.412,-9.1825
-13.23,-9.068
-15.892999999999999,-13.026
-12.362,-10.493
5.5076,2.9895
24.303,16.498
23.488000000000003,16.692
2.5311,4.6713
-17.137,-5.8667
-17.738,-5.281000000000001
-4.563,1.9631
4.0676,4.3273
1.1176,-2.5068
-2.0559,-10.460999999999999
6.406000000000001,-8.6778
20.784000000000002,3.0410000000000004
24.627,13.555
13.614,14.16
1.8445,8.7021
1.4525,5.9174
5.2863,5.8221
-0.71878,1.2873
-14.293,-8.1873
-19.762,-13.738
-13.364,-10.894
-10.331,-7.4426
-21.035,-11.562999999999999
-33.138000000000005,-18.397000000000002
-27.945999999999998,-16.276
-6.1539,-3.2421
14.469000000000001,10.37
22.436999999999998,15.284
22.052,12.747
21.609,10.021
23.358,11.623
25.975,16.365
27.363000000000003,19.123
22.695999999999998,14.417
7.915,1.6413
-11.745999999999999,-12.225999999999999
-23.75,-18.254
-22.447,-14.860999999999999
-15.612,-8.7156
-13.475,-6.0156
-16.729,-6.5442
-19.115,-7.1942
-16.5,-6.7849
-8.9772,-4.9686
1.0462,-0.69797
8.0893,4.5058
6.2577,5.5371
-1.3277,0.89497
-1.3792,-2.1451
12.787,3.9185
27.956,14.48
25.8,16.857
8.8245,7.781000000000001
-2.0565,-1.3765
2.5275,-0.8310299999999999
8.0504,3.8755
0.53233,1.5094
-11.321,-7.2001
-11.331,-11.265
-2.4226,-6.5841
-0.87666,-0.96073
-8.9825,-0.74355
-12.048,-2.1819
-3.8635,-0.26745
2.5913,1.9892
-3.4113,-0.42083000000000004
-12.822000000000001,-4.9409
-11.380999999999998,-5.4045
-1.3501,-2.2431
4.0238,-1.0914
1.8278,-2.5631
1.7807,-1.0954
8.6338,5.2148
14.989,10.594000000000001
14.418,10.084
11.368,6.526
12.299000000000001,5.3075
14.062999999999999,6.0855
8.1187,4.0369
-6.9464,-2.7707
-22.721999999999998,-10.866
-29.414,-15.065999999999999
-23.645,-12.431
-10.086,-4.4266
1.5624,2.7313
4.0206,2.6878
