EEG.O1,EEG.O2,MarkerValueInt
4150.256348,4166.794922,1.0
4161.153809,4170.384765999999,1.0
4170.512695,4177.436035,1.0
4180.384765999999,4186.025879,1.0
4182.307617,4178.7177729999985,1.0
4171.9228520000015,4164.3588869999985,1.0
4164.3588869999985,4161.794922,1.0
4163.7177729999985,4160.128418,1.0
4158.461426,4153.974121,1.0
4146.9228520000015,4150.512695,1.0
4144.102539,4150.128418,1.0
4148.974121,4155.6411130000015,1.0
4154.3588869999985,4169.3588869999985,1.0
4159.230957,4181.666504,1.0
4161.410156,4179.230957,1.0
4165.384765999999,4169.230957,1.0
4172.820313,4170.6411130000015,1.0
4170.512695,4172.820313,1.0
4159.871582,4163.205078,1.0
4154.3588869999985,4149.871582,1.0
4149.102539,4142.307617,1.0
4140.384765999999,4138.7177729999985,1.0
4138.205078,4137.692383,1.0
4139.615234000001,4137.179688,1.0
4141.538574,4142.05127,1.0
4147.820313,4149.871582,1.0
4152.179688,4151.410156,1.0
4156.153809,4154.615234000001,1.0
4165.897461,4163.846191,1.0
4170.897461,4168.461426,1.0
4168.333496,4167.436035,1.0
4169.743652,4170.128418,1.0
4168.461426,4169.3588869999985,1.0
4159.230957,4161.410156,1.0
4149.743652,4155.6411130000015,1.0
4144.615234000001,4157.05127,1.0
4143.974121,4163.7177729999985,1.0
4147.820313,4172.563965,1.0
4150.384765999999,4174.3588869999985,1.0
4152.94873,4165.512695,1.0
4156.410156,4157.692383,1.0
4157.563965,4151.153809,1.0
4155.256348,4143.461426,1.0
4156.153809,4146.9228520000015,1.0
4162.563965,4156.538574,1.0
4165.128418,4151.2822270000015,1.0
4157.820313,4142.563965,1.0
4153.974121,4149.487305,1.0
4154.615234000001,4157.563965,1.0
4147.692383,4155.128418,1.0
4145.384765999999,4148.589844,1.0
4152.563965,4142.692383,1.0
4152.307617,4134.743652,1.0
4147.94873,4125.384765999999,1.0
4153.0771479999985,4122.563965,1.0
4156.538574,4122.820313,1.0
4152.436035,4122.436035,1.0
4148.7177729999985,4125.512695,1.0
4148.461426,4134.102539,1.0
4148.333496,4139.871582,1.0
4146.410156,4147.307617,1.0
4145.897461,4163.589844,1.0
4146.666504,4169.743652,1.0
4147.692383,4157.436035,1.0
4149.871582,4148.461426,1.0
4154.487305,4155.128418,1.0
4158.846191,4153.7177729999985,1.0
4156.410156,4139.743652,1.0
4153.974121,4141.666504,1.0
4157.436035,4156.9228520000015,1.0
4155.769043,4160.128418,1.0
4147.307617,4152.307617,1.0
4144.230957,4150.128418,1.0
4142.692383,4156.153809,1.0
4142.94873,4160.0,1.0
4152.436035,4157.179688,1.0
4158.461426,4151.794922,1.0
4155.384765999999,4152.563965,1.0
4155.384765999999,4154.743652,1.0
4156.538574,4148.461426,1.0
4151.9228520000015,4140.6411130000015,1.0
4152.179688,4146.538574,1.0
4153.461426,4159.487305,1.0
4150.897461,4159.230957,1.0
4153.0771479999985,4161.410156,1.0
4156.794922,4177.692383,1.0
4156.410156,4187.307617,1.0
4156.794922,4180.769043,1.0
4159.102539,4174.3588869999985,1.0
4156.2822270000015,4167.307617,1.0
4149.487305,4152.94873,1.0
4145.6411130000015,4141.9228520000015,1.0
4150.0,4133.7177729999985,1.0
4152.94873,4124.743652,1.0
4145.769043,4128.0771479999985,1.0
4137.307617,4141.9228520000015,1.0
4138.846191,4151.025879,1.0
4143.589844,4156.410156,1.0
4152.05127,4169.743652,1.0
4164.3588869999985,4183.461426,1.0
4166.2822270000015,4182.94873,1.0
4162.436035,4173.205078,1.0
4160.512695,4164.487305,1.0
4158.7177729999985,4158.846191,1.0
4157.436035,4160.384765999999,1.0
4156.153809,4168.0771479999985,1.0
4153.589844,4169.487305,1.0
4150.512695,4169.3588869999985,1.0
4152.307617,4178.333496,1.0
4155.128418,4181.794922,1.0
4154.230957,4171.794922,1.0
4154.487305,4162.436035,1.0
4153.974121,4159.615234000001,1.0
4156.794922,4159.3588869999985,1.0
4162.307617,4155.6411130000015,1.0
4163.7177729999985,4150.897461,1.0
4164.102539,4154.102539,1.0
4164.230957,4163.589844,1.0
4162.436035,4166.794922,1.0
4164.230957,4162.820313,1.0
4168.333496,4160.128418,1.0
4168.0771479999985,4163.205078,1.0
4169.871582,4170.512695,1.0
4168.589844,4169.871582,1.0
4158.7177729999985,4161.2822270000015,1.0
4156.410156,4157.94873,1.0
4160.128418,4159.871582,1.0
4161.153809,4155.6411130000015,1.0
4166.025879,4155.256348,1.0
4170.384765999999,4164.871582,1.0
4170.769043,4166.153809,1.0
4170.897461,4156.538574,1.0
4166.153809,4155.6411130000015,1.0
4161.538574,4160.256348,1.0
4164.3588869999985,4158.974121,1.0
4163.205078,4161.025879,1.0
4157.05127,4166.025879,1.0
4152.307617,4158.846191,1.0
4151.666504,4151.410156,1.0
4155.128418,4152.820313,1.0
4158.589844,4155.256348,1.0
4160.512695,4156.538574,1.0
4165.6411130000015,4156.794922,1.0
4169.743652,4158.205078,1.0
4168.589844,4166.153809,1.0
4168.846191,4173.205078,1.0
4171.666504,4172.179688,1.0
4171.2822270000015,4171.666504,1.0
4170.512695,4172.820313,1.0
4170.384765999999,4172.436035,1.0
4168.974121,4172.436035,1.0
4169.871582,4171.9228520000015,1.0
4171.2822270000015,4170.512695,1.0
4171.153809,4171.153809,1.0
4170.897461,4171.153809,1.0
4171.153809,4169.871582,1.0
4170.897461,4173.974121,1.0
4171.538574,4182.820313,1.0
4172.563965,4187.436035,1.0
4171.153809,4182.94873,1.0
4173.0771479999985,4179.3588869999985,1.0
4175.897461,4179.487305,1.0
4174.230957,4177.563965,1.0
4168.461426,4170.6411130000015,1.0
4164.487305,4166.538574,1.0
4164.102539,4162.94873,1.0
4167.05127,4159.102539,1.0
4169.871582,4161.794922,1.0
4174.487305,4170.6411130000015,1.0
4181.9228520000015,4178.461426,1.0
4186.2822270000015,4181.2822270000015,1.0
4185.769043,4181.538574,1.0
4181.2822270000015,4181.153809,1.0
4172.563965,4176.2822270000015,1.0
4167.179688,4170.897461,1.0
4168.205078,4175.6411130000015,1.0
4171.025879,4181.666504,1.0
4171.410156,4176.153809,1.0
4166.025879,4168.846191,1.0
4159.615234000001,4162.692383,1.0
4164.871582,4153.7177729999985,1.0
4174.102539,4150.384765999999,1.0
4172.436035,4158.7177729999985,1.0
4171.9228520000015,4168.589844,1.0
4177.692383,4170.384765999999,1.0
4178.589844,4169.230957,1.0
4173.846191,4169.615234000001,1.0
4172.179688,4166.153809,1.0
4168.846191,4156.794922,1.0
4162.94873,4153.0771479999985,1.0
4161.666504,4153.846191,1.0
4162.692383,4153.974121,1.0
4162.307617,4154.102539,1.0
4160.256348,4150.897461,1.0
4165.512695,4148.974121,1.0
4179.102539,4157.820313,1.0
4187.307617,4167.94873,1.0
4184.230957,4167.563965,1.0
4179.3588869999985,4168.333496,1.0
4175.384765999999,4171.538574,1.0
4172.692383,4166.025879,1.0
4174.3588869999985,4159.871582,1.0
4176.666504,4169.3588869999985,1.0
4173.0771479999985,4180.384765999999,1.0
4166.153809,4177.692383,1.0
4162.692383,4170.0,1.0
4164.743652,4163.0771479999985,1.0
4171.666504,4161.2822270000015,1.0
4182.05127,4169.871582,1.0
4186.794922,4176.794922,1.0
4181.410156,4173.205078,1.0
4178.7177729999985,4169.230957,1.0
4182.307617,4171.666504,1.0
4175.384765999999,4172.692383,1.0
4167.94873,4170.0,1.0
4169.3588869999985,4165.384765999999,1.0
4165.512695,4158.974121,1.0
4159.487305,4153.589844,1.0
4163.461426,4152.436035,1.0
4170.0,4153.974121,1.0
4170.384765999999,4152.436035,1.0
4173.461426,4154.102539,1.0
4176.538574,4161.794922,1.0
4173.461426,4164.615234000001,1.0
4167.563965,4157.05127,1.0
4167.05127,4154.102539,1.0
4168.846191,4162.820313,1.0
4163.0771479999985,4166.153809,1.0
4157.94873,4156.666504,1.0
4163.205078,4151.025879,1.0
4170.256348,4155.897461,1.0
4171.153809,4156.794922,1.0
4168.589844,4147.563965,1.0
4168.7177729999985,4143.333496,1.0
4170.384765999999,4149.871582,1.0
4172.179688,4155.0,1.0
4173.461426,4155.897461,1.0
4168.589844,4158.589844,1.0
4160.0,4157.94873,1.0
4161.025879,4156.538574,1.0
4165.512695,4159.615234000001,1.0
4164.3588869999985,4157.307617,1.0
4165.384765999999,4151.9228520000015,1.0
4166.410156,4152.436035,1.0
4167.94873,4155.0,1.0
4172.179688,4155.897461,1.0
4169.871582,4151.538574,1.0
4164.230957,4146.538574,1.0
4164.3588869999985,4150.384765999999,1.0
4164.3588869999985,4155.384765999999,1.0
4165.6411130000015,4157.563965,1.0
4170.384765999999,4165.0,1.0
4166.9228520000015,4166.153809,1.0
4158.461426,4158.461426,1.0
4153.974121,4154.3588869999985,1.0
4157.563965,4158.205078,1.0
4166.410156,4160.128418,1.0
4169.615234000001,4158.974121,1.0
4166.9228520000015,4157.820313,1.0
4170.256348,4160.0,1.0
4176.025879,4160.0,1.0
4175.128418,4157.05127,1.0
4173.205078,4160.769043,1.0
4173.461426,4167.94873,1.0
4171.153809,4168.0771479999985,1.0
4170.512695,4163.333496,1.0
4172.94873,4163.333496,1.0
4173.846191,4167.436035,1.0
4171.2822270000015,4162.563965,1.0
4167.563965,4154.871582,1.0
4165.512695,4153.333496,1.0
4166.538574,4154.871582,1.0
4167.94873,4155.128418,1.0
4168.846191,4154.3588869999985,1.0
4168.974121,4156.410156,1.0
4167.94873,4162.436035,1.0
4170.128418,4163.0771479999985,1.0
4172.820313,4156.410156,1.0
4170.384765999999,4156.410156,1.0
4165.256348,4158.846191,1.0
4161.538574,4155.6411130000015,1.0
4161.9228520000015,4156.2822270000015,1.0
4166.025879,4161.410156,1.0
4169.487305,4163.974121,1.0
4171.666504,4165.6411130000015,1.0
4173.461426,4168.205078,1.0
4171.538574,4171.2822270000015,1.0
4169.230957,4170.769043,1.0
4171.666504,4168.974121,1.0
4172.307617,4170.6411130000015,1.0
4171.2822270000015,4167.692383,1.0
4172.692383,4162.307617,1.0
4171.2822270000015,4161.794922,1.0
4168.846191,4160.769043,1.0
4170.6411130000015,4162.692383,1.0
4170.769043,4168.7177729999985,1.0
4167.692383,4168.0771479999985,1.0
4167.820313,4167.307617,1.0
4167.94873,4173.333496,1.0
4165.256348,4172.179688,1.0
4165.0,4166.025879,1.0
4170.897461,4168.974121,1.0
4180.256348,4171.538574,1.0
4182.436035,4169.3588869999985,1.0
4179.3588869999985,4167.563965,1.0
4177.820313,4166.025879,1.0
4175.512695,4166.025879,1.0
4170.384765999999,4166.025879,1.0
4169.615234000001,4165.512695,1.0
4170.512695,4159.743652,1.0
4166.9228520000015,4155.769043,1.0
4163.974121,4159.871582,1.0
4161.153809,4166.2822270000015,1.0
4157.436035,4168.7177729999985,1.0
4156.538574,4166.2822270000015,1.0
4155.6411130000015,4159.3588869999985,1.0
4153.589844,4154.871582,1.0
4158.0771479999985,4162.05127,1.0
4163.974121,4169.3588869999985,1.0
4162.436035,4167.179688,1.0
4164.871582,4168.333496,1.0
4170.897461,4172.94873,1.0
4172.563965,4168.461426,1.0
4169.3588869999985,4157.692383,1.0
4161.2822270000015,4152.05127,1.0
4152.820313,4149.102539,1.0
4153.7177729999985,4150.897461,1.0
4161.2822270000015,4163.589844,1.0
4163.461426,4167.94873,1.0
4164.871582,4159.871582,1.0
4168.333496,4158.0771479999985,1.0
4171.538574,4160.769043,1.0
4173.333496,4162.94873,1.0
4174.3588869999985,4167.307617,1.0
4168.974121,4162.307617,1.0
4158.974121,4151.410156,1.0
4155.769043,4151.410156,1.0
4154.871582,4148.846191,1.0
4152.179688,4142.05127,1.0
4152.436035,4150.897461,1.0
4154.230957,4157.94873,1.0
4159.3588869999985,4153.0771479999985,1.0
4169.3588869999985,4157.563965,1.0
4174.3588869999985,4169.743652,1.0
4171.2822270000015,4172.179688,1.0
4170.512695,4170.256348,1.0
4167.820313,4166.794922,1.0
4159.743652,4160.128418,1.0
4155.769043,4157.05127,1.0
4153.461426,4153.333496,1.0
4153.974121,4150.256348,1.0
4158.974121,4157.179688,1.0
4162.94873,4168.589844,1.0
