EEG.O1,EEG.O2,MarkerValueInt
-0.5241643639881399,-0.5241643639881399,1.0
-9.575274132484672,-9.575274132484672,1.0
-13.315923430288061,-13.315923430288061,1.0
-9.541724677795457,-9.541724677795457,1.0
-4.4480197816543265,-4.4480197816543265,1.0
-12.43688204133052,-12.43688204133052,1.0
-18.0938467612967,-18.0938467612967,1.0
-15.349290314458012,-15.349290314458012,1.0
-11.184256704592771,-11.184256704592771,1.0
-9.636824006143303,-9.636824006143303,1.0
-1.1797726725486135,-1.1797726725486135,1.0
0.49298680722179533,0.49298680722179533,1.0
-6.695215618650363,-6.695215618650363,1.0
-13.707794189090194,-13.707794189090194,1.0
-19.766871232134097,-19.766871232134097,1.0
-25.583534789226157,-25.583534789226157,1.0
-17.0129263472411,-17.0129263472411,1.0
-6.869835434209419,-6.869835434209419,1.0
-16.72911904817714,-16.72911904817714,1.0
-28.85312074193469,-28.85312074193469,1.0
-24.43868713133967,-24.43868713133967,1.0
-18.008182378835475,-18.008182378835475,1.0
-21.824169934685138,-21.824169934685138,1.0
-29.79400561969864,-29.79400561969864,1.0
-30.31735507880674,-30.31735507880674,1.0
-30.337976133321412,-30.337976133321412,1.0
-31.553088040934636,-31.553088040934636,1.0
-26.70710234967561,-26.70710234967561,1.0
-16.824679451868054,-16.824679451868054,1.0
-15.257637875910277,-15.257637875910277,1.0
-17.101828927938953,-17.101828927938953,1.0
-14.09424182444259,-14.09424182444259,1.0
-11.84429941757562,-11.84429941757562,1.0
-17.44873700408203,-17.44873700408203,1.0
-22.743224182710133,-22.743224182710133,1.0
-22.664806005529726,-22.664806005529726,1.0
-23.51619916573627,-23.51619916573627,1.0
-25.140806810366882,-25.140806810366882,1.0
-25.258946129544345,-25.258946129544345,1.0
-28.907257040468743,-28.907257040468743,1.0
-33.56881194619608,-33.56881194619608,1.0
-26.06291102846854,-26.06291102846854,1.0
-13.154229861204097,-13.154229861204097,1.0
-11.831623533456751,-11.831623533456751,1.0
-17.13382418950471,-17.13382418950471,1.0
-20.327753789085058,-20.327753789085058,1.0
-20.805203008326792,-20.805203008326792,1.0
-22.8808264221448,-22.8808264221448,1.0
-24.45862178320553,-24.45862178320553,1.0
-24.033696369648656,-24.033696369648656,1.0
-22.62846651393711,-22.62846651393711,1.0
-23.929610307913954,-23.929610307913954,1.0
-21.585737656469934,-21.585737656469934,1.0
-16.906491521067604,-16.906491521067604,1.0
-20.611389860037583,-20.611389860037583,1.0
-31.623250584573118,-31.623250584573118,1.0
-45.706548579250295,-45.706548579250295,1.0
-53.755511112320036,-53.755511112320036,1.0
-46.444585445994946,-46.444585445994946,1.0
-31.865851831709666,-31.865851831709666,1.0
-25.781331169528833,-25.781331169528833,1.0
-28.721928423680986,-28.721928423680986,1.0
-33.2471950576486,-33.2471950576486,1.0
-35.53912473486048,-35.53912473486048,1.0
-33.559470503977764,-33.559470503977764,1.0
-35.76422314542386,-35.76422314542386,1.0
-37.70943497068805,-37.70943497068805,1.0
-38.60685625680747,-38.60685625680747,1.0
-41.023674493213775,-41.023674493213775,1.0
-37.83617459960814,-37.83617459960814,1.0
-34.291283179760256,-34.291283179760256,1.0
-36.3793142836424,-36.3793142836424,1.0
-38.907575806315805,-38.907575806315805,1.0
-40.47839907990428,-40.47839907990428,1.0
-42.09401598752665,-42.09401598752665,1.0
-44.02153842848746,-44.02153842848746,1.0
-46.067208195372466,-46.067208195372466,1.0
-50.22071854678531,-50.22071854678531,1.0
-55.70484292879007,-55.70484292879007,1.0
-56.228355274273554,-56.228355274273554,1.0
-45.84345662140866,-45.84345662140866,1.0
-33.9536305336307,-33.9536305336307,1.0
-36.96926504685153,-36.96926504685153,1.0
-42.25768775140716,-42.25768775140716,1.0
-45.747580774812064,-45.747580774812064,1.0
-55.42735917595361,-55.42735917595361,1.0
-56.92496539428192,-56.92496539428192,1.0
-49.86931748288262,-49.86931748288262,1.0
-55.72704700379014,-55.72704700379014,1.0
-68.98807640517927,-68.98807640517927,1.0
-76.59664902235849,-76.59664902235849,1.0
-72.3584199465505,-72.3584199465505,1.0
-68.21859114412048,-68.21859114412048,1.0
-84.29784505897545,-84.29784505897545,1.0
-101.69074286246611,-101.69074286246611,1.0
-99.11288730649936,-99.11288730649936,1.0
-93.51471728228441,-93.51471728228441,1.0
-94.82285929572956,-94.82285929572956,1.0
-83.0021151640362,-83.0021151640362,1.0
-72.35808433096011,-72.35808433096011,1.0
-83.07396640969309,-83.07396640969309,1.0
-93.4082973955442,-93.4082973955442,1.0
-92.01548513513723,-92.01548513513723,1.0
-85.30426584108358,-85.30426584108358,1.0
-82.91473940386317,-82.91473940386317,1.0
-88.02721487695464,-88.02721487695464,1.0
-88.21090909914162,-88.21090909914162,1.0
-81.05225196364626,-81.05225196364626,1.0
-81.45459090304885,-81.45459090304885,1.0
-85.62969762292383,-85.62969762292383,1.0
-78.45573832704378,-78.45573832704378,1.0
-77.28392143892975,-77.28392143892975,1.0
-87.24195863482204,-87.24195863482204,1.0
-87.68526528009255,-87.68526528009255,1.0
-77.43444888324818,-77.43444888324818,1.0
-74.46870458199338,-74.46870458199338,1.0
-82.19893483285419,-82.19893483285419,1.0
-87.11160638019997,-87.11160638019997,1.0
-85.31948370686744,-85.31948370686744,1.0
-85.92775248982751,-85.92775248982751,1.0
-93.4586775918666,-93.4586775918666,1.0
-99.15385492533655,-99.15385492533655,1.0
-101.36324740015297,-101.36324740015297,1.0
-102.24980186588826,-102.24980186588826,1.0
-96.36966617680058,-96.36966617680058,1.0
-90.68571832034964,-90.68571832034964,1.0
-89.79591219470187,-89.79591219470187,1.0
-83.95466252828257,-83.95466252828257,1.0
-72.99794176903873,-72.99794176903873,1.0
-71.4831347867504,-71.4831347867504,1.0
-73.57207663772905,-73.57207663772905,1.0
-74.43723526133758,-74.43723526133758,1.0
-78.25842983285162,-78.25842983285162,1.0
-72.93194928044048,-72.93194928044048,1.0
-63.64171824837632,-63.64171824837632,1.0
-65.47471601532294,-65.47471601532294,1.0
-66.71345265294642,-66.71345265294642,1.0
-65.51371109874273,-65.51371109874273,1.0
-71.08105473369204,-71.08105473369204,1.0
-69.81316912962996,-69.81316912962996,1.0
-59.49215008904984,-59.49215008904984,1.0
-61.74198044907485,-61.74198044907485,1.0
-70.00624141220493,-70.00624141220493,1.0
-68.00638617467953,-68.00638617467953,1.0
-65.30682064940136,-65.30682064940136,1.0
-67.6856328599631,-67.6856328599631,1.0
-72.56550408590569,-72.56550408590569,1.0
-79.11075317827533,-79.11075317827533,1.0
-88.44773288932282,-88.44773288932282,1.0
-95.09635666434274,-95.09635666434274,1.0
-91.05944946324311,-91.05944946324311,1.0
-83.83200769598622,-83.83200769598622,1.0
-77.90356714943032,-77.90356714943032,1.0
-70.07492710231047,-70.07492710231047,1.0
-65.3468198940894,-65.3468198940894,1.0
-63.32391057680896,-63.32391057680896,1.0
-56.785707616368995,-56.785707616368995,1.0
-49.28972743644041,-49.28972743644041,1.0
-48.016795616586386,-48.016795616586386,1.0
-47.961871064283855,-47.961871064283855,1.0
-43.31264226035469,-43.31264226035469,1.0
-38.94093725476099,-38.94093725476099,1.0
-37.03067528435981,-37.03067528435981,1.0
-31.473245480063554,-31.473245480063554,1.0
-27.527991557724622,-27.527991557724622,1.0
-26.54013999216437,-26.54013999216437,1.0
-16.78705791489885,-16.78705791489885,1.0
-5.548033947055803,-5.548033947055803,1.0
-8.038512705259649,-8.038512705259649,1.0
-19.389065673024643,-19.389065673024643,1.0
-28.166973900386566,-28.166973900386566,1.0
-27.235692575943236,-27.235692575943236,1.0
-21.65760438580303,-21.65760438580303,1.0
-28.11527306535085,-28.11527306535085,1.0
-38.53116699807084,-38.53116699807084,1.0
-37.61054342518806,-37.61054342518806,1.0
