EEG.O1,EEG.O2
-59.195,6.4995
-94.70700000000001,1.8798
-99.287,-11.26
-82.488,-20.211
-57.31399999999999,-17.292
-29.329,-6.7406
1.5855,3.1054
32.812,9.2051
56.351000000000006,13.037
65.335,14.719000000000001
60.91,12.622
50.435,7.5649
39.491,3.0254
27.995,0.60139
14.020999999999999,-1.5830000000000002
-1.7375,-4.9888
-16.767,-7.8928
-29.195,-8.0212
-37.294000000000004,-5.8353
-39.033,-3.3079
-35.071999999999996,-1.0016
-30.087,1.3435
-27.57,2.2695
-24.92,-0.42539
-17.895,-5.626
-8.4847,-8.3837
-2.4992,-5.3899
0.8665799999999999,0.37256999999999996
9.7817,2.8846
26.416,0.82939
39.314,-0.52369
36.330999999999996,3.6489
21.924,10.915999999999999
12.880999999999998,14.17
16.588,10.183
22.340999999999998,2.9933
17.794,-1.5730000000000002
5.8858,-2.392
-1.8937,-2.6577
-3.5022,-4.5276
-7.4758,-6.3358
-17.315,-5.3526
-25.184,-1.8307
-24.16,0.9738
-18.329,0.73146
-15.517000000000001,-1.2106
-16.273,-1.9502
-16.131,-1.1340000000000001
-13.962,-1.1204
-11.18,-2.8908
-6.0885,-4.0761
3.4228,-2.5187
13.372,0.1309
17.5,0.8656799999999999
16.892,0.22593000000000002
18.044,1.5242
21.219,5.1695
19.448,7.3172
11.136,5.5915
4.5047,2.8788
4.8092,2.6660000000000004
5.5202,3.1260000000000003
-0.76584,-0.063675
-9.4368,-5.9566
-10.82,-8.1171
-5.5346,-3.3187
-2.8702,3.5712
-5.7256,5.8733
-7.614,3.1419
-5.5016,-0.36146999999999996
-5.3679,-2.8172
-10.978,-5.9175
-15.7,-9.4437
-11.937999999999999,-9.676
-2.9021,-4.7815
2.4269,1.8016
2.6136,5.6824
4.1274,6.6769
9.294,7.1142
11.993,7.0331
7.8291,4.4178
2.1047,-0.40349
2.6329,-3.841
8.2301,-3.3107
10.328,-0.35702
5.2443,1.4668
-0.9143700000000001,0.56072
-1.2912,-1.6653
2.4078,-2.8072
3.2004,-1.8979
-1.255,-0.20813
-6.3765,0.37303000000000003
-7.6708,0.037159
-5.977,1.0706
-4.7675,3.9024
-5.3418,4.7116
-6.4782,0.060346000000000004
-6.7854,-6.6807
-5.4756,-7.8785
-2.2154,-1.8778
1.8956,3.79
4.2559,2.5386
3.6128,-1.9519
2.1674,-1.5684
2.7764,3.7413
4.769,5.9977
5.0903,1.5769
3.3034,-3.4662
2.3238,-3.0138
3.5179,0.27488
4.3448,0.40128
2.6408,-2.0809
0.31369,-1.7052
0.0054276,2.3807
0.30622,4.8317
-2.0931,2.3808
-6.4726,-1.6064
-8.1452,-2.5789
-4.8385,-0.78993
0.17199,0.53563
2.4171,0.18336
1.2353,-0.57444
-1.0258,-0.8558399999999999
-2.7966,-1.0681
-4.2382,-1.5277
-5.2822,-1.8579
-4.6456,-1.5247
-1.1978,-0.11392000000000001
4.2662,2.3049
8.8511,4.3552
9.5024,3.8721
5.9246,0.4787
1.5816,-2.9369
0.60236,-2.7455
3.0792,1.2125
4.5259,4.842
1.0533,3.8471
-5.6988,-1.5211
-10.113,-6.3116
-8.6921,-6.0252
-3.2562,-1.6561
1.7577,1.5696
3.5901,0.7058
2.4765,-1.4757
0.31109000000000003,-0.8757
-1.0915,1.9453
-1.3397,2.8881
-1.629,0.66871
-2.7430000000000003,-1.298
-3.0797,-0.11373
-0.5035,2.5324
3.7793,3.4474
5.9479999999999995,2.8387
5.0096,3.2077
4.1708,4.2437
4.9131,2.2698
3.6054,-4.0887
-2.283,-10.238999999999999
-8.0146,-10.126
-7.1174,-3.6099
-1.297,3.0819
1.4119,4.5133
-1.7336,1.4898
-4.8005,-1.5056
-2.8354,-2.1625
1.3085,-1.5986
2.859,-1.0259
2.4439,0.15094000000000002
3.1194,2.6218
4.124,5.4158
2.7038,6.602
-0.34064,4.8953
-1.8923,0.5955600000000001
-1.7297,-3.9363
-1.8933,-5.071000000000001
-2.1204,-1.2063
-0.6912699999999999,4.2217
1.0516,5.1717
0.2486,-0.068603
-1.5853,-6.0009
0.11139,-6.0639
4.7618,-0.69324
