EEG.O1,EEG.O2,MarkerValueInt
4172.436035,4170.6411130000015,3.0
4173.205078,4168.7177729999985,3.0
4170.512695,4166.794922,3.0
4170.6411130000015,4169.102539,3.0
4174.615234000001,4169.3588869999985,3.0
4175.128418,4169.230957,3.0
4171.666504,4168.7177729999985,3.0
4171.794922,4162.692383,3.0
4171.666504,4160.6411130000015,3.0
4171.410156,4163.333496,3.0
4173.205078,4162.563965,3.0
4173.205078,4163.205078,3.0
4173.0771479999985,4170.256348,3.0
4177.307617,4175.128418,3.0
4184.743652,4182.692383,3.0
4183.846191,4185.0,3.0
4178.7177729999985,4170.512695,3.0
4176.025879,4160.0,3.0
4175.384765999999,4163.7177729999985,3.0
4178.461426,4167.692383,3.0
4182.692383,4165.256348,3.0
4176.794922,4163.974121,3.0
4169.102539,4164.743652,3.0
4175.384765999999,4165.769043,3.0
4180.128418,4171.2822270000015,3.0
4178.589844,4175.128418,3.0
4179.3588869999985,4171.538574,3.0
4173.846191,4166.538574,3.0
4168.846191,4162.307617,3.0
4170.384765999999,4156.538574,3.0
4169.487305,4152.179688,3.0
4165.6411130000015,4151.410156,3.0
4167.94873,4149.871582,3.0
4169.230957,4148.0771479999985,3.0
4167.563965,4148.461426,3.0
4168.333496,4147.820313,3.0
4169.743652,4148.589844,3.0
4170.384765999999,4148.461426,3.0
4170.384765999999,4148.333496,3.0
4170.512695,4151.2822270000015,3.0
4169.615234000001,4152.436035,3.0
4168.7177729999985,4154.871582,3.0
4169.102539,4156.025879,3.0
4169.743652,4150.6411130000015,3.0
4169.871582,4146.025879,3.0
4168.7177729999985,4152.05127,3.0
4168.974121,4159.871582,3.0
4171.2822270000015,4160.384765999999,3.0
4169.871582,4158.205078,3.0
4164.871582,4157.563965,3.0
4168.205078,4163.333496,3.0
4173.333496,4168.333496,3.0
4173.0771479999985,4167.436035,3.0
4174.102539,4166.025879,3.0
4176.9228520000015,4166.9228520000015,3.0
4176.794922,4168.205078,3.0
4174.871582,4166.410156,3.0
4171.538574,4156.794922,3.0
4166.794922,4152.307617,3.0
4166.666504,4162.820313,3.0
4170.128418,4165.128418,3.0
4170.0,4160.6411130000015,3.0
4169.871582,4162.692383,3.0
4172.820313,4160.769043,3.0
4173.974121,4153.589844,3.0
4172.179688,4153.205078,3.0
4172.820313,4153.205078,3.0
4172.179688,4151.794922,3.0
4168.333496,4158.333496,3.0
4166.794922,4160.769043,3.0
4168.846191,4155.256348,3.0
4170.128418,4156.2822270000015,3.0
4167.94873,4155.384765999999,3.0
4166.025879,4147.563965,3.0
4169.230957,4147.05127,3.0
4172.179688,4151.025879,3.0
4167.692383,4148.0771479999985,3.0
4163.974121,4148.974121,3.0
4168.589844,4158.846191,3.0
4172.94873,4160.6411130000015,3.0
4170.897461,4156.2822270000015,3.0
4167.436035,4161.794922,3.0
4171.9228520000015,4169.230957,3.0
4177.94873,4168.461426,3.0
4177.179688,4160.512695,3.0
4177.307617,4152.820313,3.0
4182.179688,4157.307617,3.0
4182.692383,4162.820313,3.0
4181.794922,4158.461426,3.0
4183.974121,4157.563965,3.0
4185.256348,4165.128418,3.0
4183.974121,4166.666504,3.0
4182.820313,4165.769043,3.0
4181.153809,4168.205078,3.0
4177.94873,4162.820313,3.0
4173.333496,4159.743652,3.0
4174.102539,4164.102539,3.0
4182.563965,4160.0,3.0
4178.7177729999985,4152.307617,3.0
4170.0,4151.153809,3.0
4172.820313,4155.384765999999,3.0
4177.94873,4157.179688,3.0
4176.153809,4156.2822270000015,3.0
4172.820313,4152.820313,3.0
4175.6411130000015,4148.461426,3.0
4183.974121,4153.589844,3.0
4188.0771479999985,4159.487305,3.0
4185.256348,4158.846191,3.0
4183.205078,4159.743652,3.0
4180.256348,4164.230957,3.0
4178.333496,4164.487305,3.0
4182.563965,4164.615234000001,3.0
4178.589844,4168.589844,3.0
4169.487305,4165.256348,3.0
4168.974121,4157.436035,3.0
4171.410156,4153.461426,3.0
4170.6411130000015,4151.025879,3.0
4169.615234000001,4151.2822270000015,3.0
4171.2822270000015,4152.05127,3.0
4175.6411130000015,4154.487305,3.0
4176.2822270000015,4157.563965,3.0
4168.589844,4156.9228520000015,3.0
4167.307617,4155.256348,3.0
4175.384765999999,4156.2822270000015,3.0
4177.436035,4158.7177729999985,3.0
4171.153809,4154.3588869999985,3.0
4170.128418,4147.436035,3.0
4173.7177729999985,4149.3588869999985,3.0
4168.974121,4150.384765999999,3.0
