EEG.O1,EEG.O2,MarkerValueInt
4184.871582,4176.025879,3.0
4184.3588869999985,4184.871582,3.0
4185.6411130000015,4199.230957,3.0
4184.3588869999985,4207.692383,3.0
4184.230957,4216.410156,3.0
4184.615234000001,4216.2822270000015,3.0
4178.205078,4210.512695,3.0
4176.410156,4217.307617,3.0
4182.179688,4218.846191,3.0
4178.205078,4200.0,3.0
4176.025879,4198.7177729999985,3.0
4182.692383,4218.846191,3.0
4176.9228520000015,4216.538574,3.0
4167.436035,4201.410156,3.0
4172.94873,4195.384765999999,3.0
4176.9228520000015,4192.05127,3.0
4177.179688,4191.153809,3.0
4179.871582,4191.9228520000015,3.0
4175.384765999999,4185.384765999999,3.0
4170.6411130000015,4183.7177729999985,3.0
4170.128418,4185.897461,3.0
4170.384765999999,4185.512695,3.0
4174.102539,4193.461426,3.0
4175.769043,4198.7177729999985,3.0
4173.461426,4196.9228520000015,3.0
4173.333496,4197.05127,3.0
4171.666504,4192.94873,3.0
4170.0,4182.563965,3.0
4170.128418,4177.820313,3.0
4169.487305,4179.743652,3.0
4172.94873,4184.871582,3.0
4180.0,4195.0,3.0
4182.307617,4196.666504,3.0
4181.2822270000015,4194.102539,3.0
4184.230957,4197.436035,3.0
4189.3588869999985,4203.205078,3.0
4190.384765999999,4202.436035,3.0
4185.897461,4192.94873,3.0
4184.743652,4187.436035,3.0
4181.9228520000015,4181.538574,3.0
4171.2822270000015,4173.333496,3.0
4165.0,4168.589844,3.0
4169.487305,4171.153809,3.0
4177.94873,4177.820313,3.0
4184.743652,4184.743652,3.0
4190.256348,4187.94873,3.0
4185.897461,4180.0,3.0
4175.769043,4171.025879,3.0
4176.794922,4169.743652,3.0
4186.538574,4171.025879,3.0
4184.615234000001,4171.410156,3.0
4174.102539,4171.153809,3.0
4175.769043,4166.025879,3.0
4185.256348,4165.6411130000015,3.0
4191.666504,4176.410156,3.0
4185.769043,4176.9228520000015,3.0
4173.205078,4167.563965,3.0
4175.0,4168.7177729999985,3.0
4187.820313,4172.820313,3.0
4192.820313,4170.769043,3.0
4192.820313,4176.2822270000015,3.0
4194.3588869999985,4184.743652,3.0
4190.128418,4188.0771479999985,3.0
4183.589844,4192.94873,3.0
4183.7177729999985,4192.820313,3.0
4190.512695,4187.94873,3.0
4192.307617,4182.05127,3.0
4179.871582,4171.9228520000015,3.0
4171.2822270000015,4164.871582,3.0
4173.974121,4165.512695,3.0
4180.128418,4168.589844,3.0
4186.025879,4170.512695,3.0
