,EEG.O1,EEG.O2,MarkerValueInt
716,4198.461426,4221.666504,5.0
717,4200.512695,4217.307617,5.0
718,4198.461426,4208.461426,5.0
719,4192.436035,4204.358886999999,5.0
720,4197.820313,4220.641113000001,5.0
721,4206.922852000001,4241.025879,5.0
722,4216.282227000001,4250.897461,5.0
723,4221.666504,4247.563965,5.0
724,4207.179688,4230.384765999999,5.0
725,4199.615234000001,4218.717772999999,5.0
726,4223.333496,4247.692383,5.0
727,4237.179688,4275.897461,5.0
728,4225.897461,4253.205078,5.0
729,4223.077147999999,4238.974121,5.0
730,4210.256348,4247.820313,5.0
731,4191.538574,4244.230957,5.0
732,4205.769043,4243.077147999999,5.0
733,4226.666504,4254.743652,5.0
734,4214.230957,4250.512695,5.0
735,4200.897461,4231.410156,5.0
736,4209.230957,4222.94873,5.0
737,4210.384765999999,4225.384765999999,5.0
738,4206.538574,4233.461426,5.0
739,4210.128418,4233.205078,5.0
740,4204.743652,4218.589844,5.0
741,4205.641113000001,4221.333496,5.0
742,4206.538574,4224.077147999999,5.0
743,4207.436035,4226.820313,5.0
744,4208.333496,4229.563965,5.0
745,4209.230957,4232.307617,5.0
746,4212.05127,4225.769043,5.0
747,4205.769043,4216.666504,5.0
748,4192.692383,4206.794922,5.0
749,4174.743652,4198.461426,5.0
750,4182.692383,4214.102539,5.0
751,4212.436035,4240.384765999999,5.0
752,4206.666504,4221.025879,5.0
753,4181.922852000001,4194.102539,5.0
754,4202.692383,4225.0,5.0
755,4227.692383,4248.974121,5.0
756,4198.077147999999,4215.769043,5.0
757,4168.205078,4201.153809,5.0
758,4178.846191,4205.641113000001,5.0
759,4184.871582,4179.230957,5.0
760,4180.769043,4178.589844,5.0
761,4189.102539,4215.769043,5.0
762,4195.897461,4219.743652,5.0
763,4186.025879,4203.846191,5.0
764,4189.615234000001,4210.641113000001,5.0
765,4202.436035,4208.205078,5.0
766,4196.794922,4203.974121,5.0
767,4188.077147999999,4217.692383,5.0
768,4183.461426,4209.743652,5.0
769,4172.436035,4183.205078,5.0
770,4172.307617,4188.974121,5.0
771,4192.692383,4219.230957,5.0
772,4203.205078,4224.102539,5.0
773,4189.102539,4205.384765999999,5.0
774,4179.487305,4192.05127,5.0
775,4179.487305,4193.461426,5.0
776,4182.563965,4204.358886999999,5.0
777,4198.974121,4213.846191,5.0
778,4203.461426,4192.307617,5.0
779,4179.743652,4170.897461,5.0
780,4170.0,4188.205078,5.0
781,4190.769043,4201.282227000001,5.0
782,4192.307617,4187.563965,5.0
783,4179.358886999999,4182.307617,5.0
784,4177.307617,4181.538574,5.0
785,4165.0,4167.436035,5.0
786,4166.794922,4174.615234000001,5.0
787,4177.05127,4172.692383,5.0
788,4172.436035,4154.487305,5.0
789,4172.05127,4163.461426,5.0
790,4172.05127,4166.153809,5.0
791,4165.769043,4159.102539,5.0
792,4176.538574,4183.717772999999,5.0
793,4190.256348,4204.871582,5.0
794,4181.410156,4192.692383,5.0
795,4175.641113000001,4178.461426,5.0
796,4182.563965,4172.307617,5.0
797,4184.230957,4185.0,5.0
798,4186.282227000001,4207.692383,5.0
799,4187.94873,4197.94873,5.0
800,4177.692383,4178.846191,5.0
801,4166.025879,4180.0,5.0
802,4169.871582,4185.769043,5.0
803,4174.230957,4183.589844,5.0
804,4167.820313,4182.307617,5.0
805,4170.384765999999,4188.205078,5.0
806,4171.666504,4183.974121,5.0
807,4152.05127,4165.512695,5.0
808,4149.743652,4171.025879,5.0
809,4170.512695,4192.05127,5.0
810,4167.05127,4171.794922,5.0
811,4160.0,4155.641113000001,5.0
812,4175.769043,4187.307617,5.0
813,4180.769043,4203.589844,5.0
814,4169.230957,4186.153809,5.0
815,4172.05127,4179.102539,5.0
816,4178.461426,4182.436035,5.0
817,4161.538574,4172.179688,5.0
818,4147.563965,4175.512695,5.0
819,4162.05127,4193.589844,5.0
820,4187.05127,4200.0,5.0
821,4178.717772999999,4192.563965,5.0
822,4151.666504,4181.538574,5.0
823,4158.461426,4177.692383,5.0
824,4172.179688,4173.077147999999,5.0
825,4149.743652,4157.94873,5.0
826,4145.256348,4168.077147999999,5.0
827,4183.205078,4198.717772999999,5.0
828,4197.94873,4203.077147999999,5.0
829,4176.025879,4189.615234000001,5.0
830,4170.769043,4192.94873,5.0
831,4179.358886999999,4188.846191,5.0
832,4189.102539,4181.794922,5.0
833,4188.717772999999,4188.717772999999,5.0
834,4178.077147999999,4193.974121,5.0
835,4178.589844,4190.897461,5.0
836,4176.282227000001,4184.871582,5.0
837,4164.743652,4187.307617,5.0
838,4171.794922,4196.922852000001,5.0
839,4181.025879,4182.436035,5.0
840,4164.743652,4159.615234000001,5.0
841,4160.128418,4177.05127,5.0
842,4166.794922,4193.589844,5.0
843,4154.487305,4168.205078,5.0
844,4155.384765999999,4157.179688,5.0
845,4175.256348,4173.205078,5.0
846,4171.410156,4177.179688,5.0
847,4159.102539,4186.538574,5.0
848,4161.025879,4191.410156,5.0
849,4159.743652,4163.461426,5.0
850,4160.384765999999,4156.666504,5.0
851,4161.538574,4170.128418,5.0
852,4147.692383,4160.641113000001,5.0
853,4142.94873,4161.025879,5.0
854,4163.205078,4181.666504,5.0
855,4166.922852000001,4174.358886999999,5.0
856,4150.128418,4159.487305,5.0
857,4151.538574,4173.333496,5.0
858,4160.0,4176.282227000001,5.0
859,4158.461426,4169.230957,5.0
860,4153.717772999999,4163.333496,5.0
861,4158.205078,4148.461426,5.0
862,4169.487305,4157.692383,5.0
863,4164.615234000001,4171.538574,5.0
864,4166.025879,4175.256348,5.0
865,4188.333496,4187.179688,5.0
866,4186.794922,4181.794922,5.0
867,4161.538574,4158.077147999999,5.0
868,4171.794922,4175.384765999999,5.0
869,4197.94873,4210.512695,5.0
870,4179.743652,4181.922852000001,5.0
871,4153.589844,4135.769043,5.0
872,4164.102539,4151.282227000001,5.0
873,4175.128418,4195.512695,5.0
874,4165.128418,4181.025879,5.0
875,4164.102539,4149.102539,5.0
876,4176.410156,4184.358886999999,5.0
877,4173.077147999999,4202.563965,5.0
878,4167.563965,4169.615234000001,5.0
879,4181.153809,4178.461426,5.0
880,4185.641113000001,4204.615234000001,5.0
881,4166.922852000001,4178.846191,5.0
882,4146.794922,4150.641113000001,5.0
883,4157.307617,4168.846191,5.0
884,4182.307617,4185.256348,5.0
885,4177.179688,4171.922852000001,5.0
886,4156.025879,4162.179688,5.0
887,4162.436035,4187.179688,5.0
888,4178.461426,4192.820313,5.0
889,4177.179688,4172.94873,5.0
890,4188.077147999999,4195.641113000001,5.0
891,4211.922852000001,4227.692383,5.0
892,4203.077147999999,4216.666504,5.0
893,4172.307617,4193.205078,5.0
894,4178.589844,4193.717772999999,5.0
895,4200.128418,4197.307617,5.0
896,4193.461426,4199.743652,5.0
897,4175.769043,4192.692383,5.0
898,4176.794922,4173.589844,5.0
899,4189.487305,4185.256348,5.0
900,4195.512695,4203.846191,5.0
901,4194.615234000001,4204.871582,5.0
902,4193.589844,4211.794922,5.0
903,4186.410156,4204.102539,5.0
904,4187.692383,4184.230957,5.0
905,4195.641113000001,4179.358886999999,5.0
