EEG.O1,EEG.O2,MarkerValueInt
4176.410156,4182.436035,5.0
4170.384765999999,4181.538574,5.0
4174.871582,4182.436035,5.0
4178.974121,4183.7177729999985,5.0
4176.794922,4181.9228520000015,5.0
4173.846191,4183.205078,5.0
4172.179688,4184.871582,5.0
4171.410156,4181.666504,5.0
4172.436035,4182.05127,5.0
4173.461426,4181.410156,5.0
4171.794922,4175.384765999999,5.0
4169.743652,4173.589844,5.0
4170.6411130000015,4173.461426,5.0
4171.9228520000015,4170.769043,5.0
4169.871582,4167.436035,5.0
4170.0,4169.230957,5.0
4174.871582,4181.666504,5.0
4173.7177729999985,4186.025879,5.0
4168.846191,4175.0,5.0
4174.743652,4175.769043,5.0
4181.794922,4186.025879,5.0
4180.128418,4183.589844,5.0
4180.0,4182.05127,5.0
4185.128418,4190.6411130000015,5.0
4182.179688,4186.410156,5.0
4173.974121,4170.128418,5.0
4174.615234000001,4169.615234000001,5.0
4182.692383,4180.769043,5.0
4186.9228520000015,4178.974121,5.0
4180.897461,4167.94873,5.0
4177.436035,4169.615234000001,5.0
4182.05127,4176.9228520000015,5.0
4186.794922,4178.461426,5.0
4185.512695,4176.153809,5.0
4181.410156,4171.9228520000015,5.0
4184.230957,4172.563965,5.0
4180.512695,4173.589844,5.0
4169.487305,4169.3588869999985,5.0
4168.846191,4168.846191,5.0
4172.307617,4171.025879,5.0
4170.897461,4166.794922,5.0
4176.153809,4165.512695,5.0
4185.128418,4174.615234000001,5.0
4183.846191,4182.820313,5.0
4185.0,4191.794922,5.0
4189.230957,4202.94873,5.0
4184.871582,4201.538574,5.0
4180.512695,4195.256348,5.0
4185.0,4202.307617,5.0
4191.2822270000015,4209.615234000001,5.0
4184.871582,4203.974121,5.0
4171.9228520000015,4195.512695,5.0
4168.7177729999985,4190.769043,5.0
4170.128418,4189.3588869999985,5.0
4167.820313,4190.128418,5.0
4168.7177729999985,4190.512695,5.0
4172.05127,4190.0,5.0
4172.692383,4187.692383,5.0
4173.589844,4186.025879,5.0
4174.230957,4193.846191,5.0
4174.102539,4201.2822270000015,5.0
4174.743652,4193.974121,5.0
4171.2822270000015,4186.153809,5.0
4165.769043,4187.05127,5.0
4165.384765999999,4187.179688,5.0
4170.0,4186.410156,5.0
4172.05127,4188.0771479999985,5.0
4172.179688,4187.94873,5.0
4173.0771479999985,4185.6411130000015,5.0
4173.461426,4185.897461,5.0
4172.179688,4183.461426,5.0
4165.897461,4174.102539,5.0
4162.05127,4167.820313,5.0
4162.692383,4171.410156,5.0
4158.205078,4167.179688,5.0
4153.846191,4157.179688,5.0
4157.692383,4162.179688,5.0
4160.769043,4167.307617,5.0
4157.563965,4160.256348,5.0
4155.128418,4157.563965,5.0
4153.7177729999985,4158.846191,5.0
4154.3588869999985,4154.871582,5.0
4156.2822270000015,4152.692383,5.0
4154.230957,4155.384765999999,5.0
4153.974121,4155.512695,5.0
4158.0771479999985,4157.307617,5.0
4163.333496,4162.05127,5.0
4168.846191,4161.666504,5.0
4165.384765999999,4155.0,5.0
4157.307617,4149.487305,5.0
4161.025879,4150.6411130000015,5.0
4169.487305,4154.230957,5.0
4168.205078,4156.153809,5.0
4166.9228520000015,4156.153809,5.0
4172.179688,4156.025879,5.0
4171.410156,4159.487305,5.0
4160.256348,4158.974121,5.0
4152.307617,4154.615234000001,5.0
4159.102539,4157.820313,5.0
4169.615234000001,4168.205078,5.0
4171.153809,4172.307617,5.0
4168.461426,4161.538574,5.0
4171.025879,4155.769043,5.0
4179.871582,4164.615234000001,5.0
4185.256348,4171.9228520000015,5.0
4183.589844,4175.256348,5.0
4183.589844,4182.563965,5.0
4183.589844,4182.05127,5.0
4174.615234000001,4171.410156,5.0
4167.94873,4171.153809,5.0
4169.102539,4167.820313,5.0
4168.461426,4153.333496,5.0
4170.512695,4154.3588869999985,5.0
4175.128418,4170.384765999999,5.0
4174.615234000001,4174.615234000001,5.0
4173.333496,4168.589844,5.0
4176.2822270000015,4173.333496,5.0
4173.589844,4177.94873,5.0
4166.2822270000015,4166.9228520000015,5.0
4166.666504,4159.871582,5.0
4171.538574,4169.230957,5.0
4172.05127,4173.589844,5.0
4170.512695,4167.179688,5.0
4169.3588869999985,4167.820313,5.0
4173.589844,4171.2822270000015,5.0
4185.128418,4174.3588869999985,5.0
4190.384765999999,4176.538574,5.0
4181.153809,4172.563965,5.0
4173.589844,4174.743652,5.0
4173.7177729999985,4184.487305,5.0
4172.05127,4186.794922,5.0
4169.3588869999985,4183.0771479999985,5.0
