EEG.O1,EEG.O2,MarkerValueInt
4182.820313,4186.025879,4.0
4183.589844,4187.820313,4.0
4175.897461,4187.436035,4.0
4171.025879,4184.102539,4.0
4165.769043,4173.461426,4.0
4156.2822270000015,4163.589844,4.0
4153.846191,4163.333496,4.0
4155.512695,4167.307617,4.0
4154.615234000001,4170.6411130000015,4.0
4154.230957,4167.307617,4.0
4156.538574,4159.230957,4.0
4161.9228520000015,4157.05127,4.0
4169.3588869999985,4156.9228520000015,4.0
4171.538574,4158.205078,4.0
4170.6411130000015,4165.384765999999,4.0
4172.563965,4172.05127,4.0
4172.94873,4172.436035,4.0
4172.563965,4172.94873,4.0
4169.102539,4173.0771479999985,4.0
4160.128418,4170.384765999999,4.0
4155.128418,4170.512695,4.0
4154.871582,4165.769043,4.0
4149.230957,4156.9228520000015,4.0
4145.128418,4153.974121,4.0
4150.897461,4156.153809,4.0
4154.743652,4155.897461,4.0
4152.820313,4151.9228520000015,4.0
4154.102539,4150.384765999999,4.0
4154.743652,4151.2822270000015,4.0
4152.94873,4154.230957,4.0
4159.743652,4161.9228520000015,4.0
4163.205078,4168.589844,4.0
4161.794922,4170.0,4.0
4165.512695,4165.512695,4.0
4164.3588869999985,4156.410156,4.0
4161.9228520000015,4152.692383,4.0
4169.102539,4157.179688,4.0
4174.102539,4159.230957,4.0
4171.410156,4161.025879,4.0
4175.384765999999,4170.384765999999,4.0
4176.9228520000015,4170.512695,4.0
4165.256348,4157.692383,4.0
4160.128418,4151.2822270000015,4.0
4166.2822270000015,4153.589844,4.0
4166.9228520000015,4153.589844,4.0
4161.153809,4152.692383,4.0
4165.769043,4159.743652,4.0
4171.153809,4168.589844,4.0
4170.384765999999,4170.256348,4.0
4178.7177729999985,4169.871582,4.0
4182.563965,4173.0771479999985,4.0
4169.871582,4169.3588869999985,4.0
4162.692383,4158.0771479999985,4.0
4168.205078,4159.871582,4.0
4171.794922,4170.256348,4.0
4168.7177729999985,4169.743652,4.0
4168.333496,4165.256348,4.0
4175.384765999999,4168.461426,4.0
4181.666504,4170.0,4.0
4177.05127,4168.589844,4.0
4172.05127,4169.230957,4.0
4173.0771479999985,4163.205078,4.0
4172.436035,4161.153809,4.0
4170.6411130000015,4166.666504,4.0
4172.05127,4161.666504,4.0
4167.94873,4154.743652,4.0
4160.0,4160.128418,4.0
4157.820313,4160.512695,4.0
4157.179688,4150.384765999999,4.0
4156.538574,4151.025879,4.0
4162.307617,4155.256348,4.0
4168.0771479999985,4152.820313,4.0
4172.179688,4157.307617,4.0
4180.256348,4169.615234000001,4.0
4186.153809,4175.769043,4.0
4182.307617,4168.461426,4.0
4175.256348,4157.94873,4.0
4164.615234000001,4153.0771479999985,4.0
4153.974121,4154.487305,4.0
4154.871582,4158.974121,4.0
4158.205078,4157.563965,4.0
4157.307617,4151.025879,4.0
4160.897461,4147.307617,4.0
4168.7177729999985,4151.025879,4.0
4172.436035,4162.436035,4.0
4170.384765999999,4167.307617,4.0
4168.846191,4158.333496,4.0
4169.487305,4156.153809,4.0
4172.692383,4166.538574,4.0
4172.94873,4169.871582,4.0
4170.384765999999,4166.538574,4.0
4175.512695,4170.384765999999,4.0
4180.512695,4177.94873,4.0
4177.94873,4186.025879,4.0
4174.743652,4189.3588869999985,4.0
4172.820313,4187.05127,4.0
4170.6411130000015,4186.794922,4.0
4171.794922,4187.179688,4.0
4173.333496,4184.230957,4.0
4168.205078,4181.153809,4.0
4167.05127,4181.538574,4.0
4169.743652,4183.974121,4.0
4167.692383,4182.307617,4.0
4167.692383,4183.205078,4.0
4171.153809,4184.871582,4.0
4167.94873,4178.589844,4.0
4158.846191,4169.102539,4.0
4155.128418,4167.307617,4.0
4154.3588869999985,4169.743652,4.0
4152.179688,4169.743652,4.0
4156.666504,4171.666504,4.0
4167.436035,4177.307617,4.0
4174.102539,4180.128418,4.0
4165.512695,4172.307617,4.0
4153.0771479999985,4158.7177729999985,4.0
4158.205078,4156.666504,4.0
4166.410156,4159.615234000001,4.0
