EEG.O1,EEG.O2,MarkerValueInt
4159.102539,4171.666504,1.0
4156.410156,4165.384765999999,1.0
4153.974121,4165.512695,1.0
4161.9228520000015,4169.3588869999985,1.0
4168.333496,4173.205078,1.0
4157.436035,4171.9228520000015,1.0
4149.615234000001,4171.2822270000015,1.0
4161.666504,4172.692383,1.0
4168.846191,4170.384765999999,1.0
4169.102539,4175.6411130000015,1.0
4179.743652,4185.769043,1.0
4190.256348,4185.384765999999,1.0
4185.256348,4181.538574,1.0
4173.846191,4181.666504,1.0
4171.2822270000015,4178.205078,1.0
4172.307617,4171.025879,1.0
4170.769043,4168.974121,1.0
4169.102539,4169.871582,1.0
4167.05127,4168.846191,1.0
4166.9228520000015,4168.0771479999985,1.0
4170.897461,4170.128418,1.0
4174.102539,4173.974121,1.0
4171.153809,4172.94873,1.0
4166.410156,4166.025879,1.0
4167.94873,4161.9228520000015,1.0
4170.6411130000015,4160.256348,1.0
4168.333496,4160.0,1.0
4173.846191,4166.153809,1.0
4182.692383,4173.846191,1.0
4174.743652,4173.205078,1.0
4162.692383,4170.128418,1.0
4167.436035,4170.0,1.0
4172.820313,4170.6411130000015,1.0
4171.153809,4171.410156,1.0
4177.05127,4162.179688,1.0
4183.974121,4157.05127,1.0
4185.512695,4167.94873,1.0
4182.692383,4174.487305,1.0
4174.230957,4168.7177729999985,1.0
4167.05127,4162.307617,1.0
4167.05127,4159.615234000001,1.0
4168.589844,4154.487305,1.0
4166.538574,4154.102539,1.0
4167.820313,4162.94873,1.0
4176.025879,4172.05127,1.0
4183.589844,4168.461426,1.0
4184.3588869999985,4159.230957,1.0
4180.0,4157.692383,1.0
4177.563965,4160.128418,1.0
4182.307617,4166.794922,1.0
4188.974121,4171.794922,1.0
4187.94873,4168.974121,1.0
4179.230957,4166.794922,1.0
4172.692383,4167.179688,1.0
4172.436035,4168.589844,1.0
4173.7177729999985,4164.3588869999985,1.0
4170.256348,4154.487305,1.0
4167.05127,4154.743652,1.0
4169.230957,4167.307617,1.0
4170.0,4177.94873,1.0
4167.94873,4183.7177729999985,1.0
4167.692383,4186.538574,1.0
4169.871582,4186.538574,1.0
4172.179688,4187.179688,1.0
4171.025879,4190.128418,1.0
4170.897461,4193.846191,1.0
4173.205078,4196.2822270000015,1.0
4171.538574,4194.487305,1.0
4167.94873,4191.9228520000015,1.0
4170.128418,4187.692383,1.0
4172.820313,4182.820313,1.0
4169.871582,4185.256348,1.0
4168.589844,4187.820313,1.0
4170.0,4184.871582,1.0
4170.128418,4187.94873,1.0
