EEG.O1,EEG.O2,MarkerValueInt
4167.820313,4167.05127,3.0
4167.820313,4175.128418,3.0
4168.7177729999985,4186.153809,3.0
4166.410156,4178.205078,3.0
4167.692383,4167.94873,3.0
4164.487305,4172.179688,3.0
4157.179688,4168.205078,3.0
4161.538574,4154.487305,3.0
4170.384765999999,4160.0,3.0
4170.769043,4173.7177729999985,3.0
4170.256348,4169.487305,3.0
4172.436035,4162.307617,3.0
4170.6411130000015,4166.410156,3.0
4169.743652,4170.384765999999,3.0
4170.6411130000015,4171.666504,3.0
4170.769043,4174.487305,3.0
4171.794922,4176.9228520000015,3.0
4171.538574,4177.820313,3.0
4173.0771479999985,4180.0,3.0
4178.333496,4183.205078,3.0
4178.205078,4187.820313,3.0
4171.153809,4185.0,3.0
4169.487305,4170.769043,3.0
4173.461426,4168.974121,3.0
4172.820313,4184.743652,3.0
4170.0,4187.05127,3.0
4168.589844,4173.974121,3.0
4168.7177729999985,4176.538574,3.0
4170.769043,4186.2822270000015,3.0
4171.538574,4180.512695,3.0
4169.102539,4171.538574,3.0
4166.666504,4168.589844,3.0
4165.256348,4166.2822270000015,3.0
4165.6411130000015,4169.871582,3.0
4168.846191,4177.436035,3.0
4171.538574,4176.410156,3.0
4172.692383,4174.102539,3.0
4170.384765999999,4170.128418,3.0
4166.9228520000015,4159.615234000001,3.0
4166.794922,4158.7177729999985,3.0
4165.128418,4166.153809,3.0
4161.538574,4161.666504,3.0
4166.153809,4162.179688,3.0
4177.05127,4180.897461,3.0
4179.615234000001,4188.333496,3.0
4178.7177729999985,4186.025879,3.0
4182.692383,4186.2822270000015,3.0
4184.743652,4177.563965,3.0
4185.512695,4167.692383,3.0
4183.333496,4166.025879,3.0
4175.897461,4166.666504,3.0
4176.794922,4173.205078,3.0
4183.205078,4187.05127,3.0
4176.2822270000015,4191.2822270000015,3.0
4173.974121,4188.846191,3.0
4186.794922,4191.410156,3.0
4190.512695,4185.256348,3.0
4184.487305,4171.153809,3.0
4180.769043,4166.410156,3.0
4178.205078,4167.436035,3.0
4181.153809,4169.743652,3.0
4184.230957,4172.307617,3.0
4181.410156,4172.692383,3.0
4185.128418,4176.666504,3.0
4190.128418,4185.128418,3.0
4187.820313,4185.512695,3.0
4187.563965,4180.512695,3.0
4188.333496,4181.9228520000015,3.0
4186.666504,4184.230957,3.0
4192.05127,4184.615234000001,3.0
4196.2822270000015,4188.974121,3.0
4187.179688,4188.205078,3.0
4178.846191,4179.3588869999985,3.0
4183.7177729999985,4179.102539,3.0
4187.307617,4180.6411130000015,3.0
4182.179688,4173.333496,3.0
4180.897461,4173.7177729999985,3.0
4185.256348,4182.94873,3.0
4185.769043,4185.128418,3.0
4181.666504,4180.0,3.0
4180.769043,4175.0,3.0
4182.820313,4171.025879,3.0
4183.589844,4173.589844,3.0
4184.3588869999985,4185.512695,3.0
4185.384765999999,4198.7177729999985,3.0
4186.794922,4202.563965,3.0
4187.05127,4196.025879,3.0
4183.0771479999985,4189.230957,3.0
4179.871582,4185.0,3.0
4182.94873,4183.205078,3.0
4185.512695,4187.94873,3.0
4181.666504,4189.230957,3.0
4180.512695,4186.153809,3.0
4182.94873,4192.307617,3.0
4184.487305,4200.769043,3.0
4186.794922,4200.384765999999,3.0
4182.307617,4191.153809,3.0
4175.128418,4178.205078,3.0
4179.743652,4175.128418,3.0
4188.846191,4190.384765999999,3.0
4187.820313,4202.692383,3.0
4185.128418,4197.563965,3.0
4187.179688,4199.615234000001,3.0
4186.794922,4204.230957,3.0
4186.2822270000015,4188.0771479999985,3.0
4180.897461,4169.871582,3.0
4172.94873,4165.384765999999,3.0
