,EEG.O1,EEG.O2,MarkerValueInt
85968,4182.820313,4186.025879,4.0
85969,4183.589844,4187.820313,4.0
85970,4175.897461,4187.436035,4.0
85971,4171.025879,4184.102539,4.0
85972,4165.769043,4173.461426,4.0
85973,4156.2822270000015,4163.589844,4.0
85974,4153.846191,4163.333496,4.0
85975,4155.512695,4167.307617,4.0
85976,4154.615234000001,4170.6411130000015,4.0
85977,4154.230957,4167.307617,4.0
85978,4156.538574,4159.230957,4.0
85979,4161.9228520000015,4157.05127,4.0
85980,4169.3588869999985,4156.9228520000015,4.0
85981,4171.538574,4158.205078,4.0
85982,4170.6411130000015,4165.384765999999,4.0
85983,4172.563965,4172.05127,4.0
85984,4172.94873,4172.436035,4.0
85985,4172.563965,4172.94873,4.0
85986,4169.102539,4173.0771479999985,4.0
85987,4160.128418,4170.384765999999,4.0
85988,4155.128418,4170.512695,4.0
85989,4154.871582,4165.769043,4.0
85990,4149.230957,4156.9228520000015,4.0
85991,4145.128418,4153.974121,4.0
85992,4150.897461,4156.153809,4.0
85993,4154.743652,4155.897461,4.0
85994,4152.820313,4151.9228520000015,4.0
85995,4154.102539,4150.384765999999,4.0
85996,4154.743652,4151.2822270000015,4.0
85997,4152.94873,4154.230957,4.0
85998,4159.743652,4161.9228520000015,4.0
85999,4163.205078,4168.589844,4.0
86000,4161.794922,4170.0,4.0
86001,4165.512695,4165.512695,4.0
86002,4164.3588869999985,4156.410156,4.0
86003,4161.9228520000015,4152.692383,4.0
86004,4169.102539,4157.179688,4.0
86005,4174.102539,4159.230957,4.0
86006,4171.410156,4161.025879,4.0
86007,4175.384765999999,4170.384765999999,4.0
86008,4176.9228520000015,4170.512695,4.0
86009,4165.256348,4157.692383,4.0
86010,4160.128418,4151.2822270000015,4.0
86011,4166.2822270000015,4153.589844,4.0
86012,4166.9228520000015,4153.589844,4.0
86013,4161.153809,4152.692383,4.0
86014,4165.769043,4159.743652,4.0
86015,4171.153809,4168.589844,4.0
86016,4170.384765999999,4170.256348,4.0
86017,4178.7177729999985,4169.871582,4.0
86018,4182.563965,4173.0771479999985,4.0
86019,4169.871582,4169.3588869999985,4.0
86020,4162.692383,4158.0771479999985,4.0
86021,4168.205078,4159.871582,4.0
86022,4171.794922,4170.256348,4.0
