,EEG.O1,EEG.O2,MarkerValueInt
5480,4158.333496,4174.6411130000015,1.0
5481,4158.589844,4176.410156,1.0
5482,4153.461426,4167.436035,1.0
5483,4157.563965,4168.7177729999985,1.0
5484,4158.205078,4170.128418,1.0
5485,4153.333496,4164.743652,1.0
5486,4158.461426,4167.563965,1.0
5487,4167.307617,4172.307617,1.0
5488,4166.666504,4169.487305,1.0
5489,4167.05127,4170.384765999999,1.0
5490,4172.307617,4178.205078,1.0
5491,4173.205078,4185.512695,1.0
5492,4173.205078,4184.102539,1.0
5493,4174.871582,4176.153809,1.0
5494,4172.307617,4173.461426,1.0
5495,4175.897461,4180.128418,1.0
5496,4180.6411130000015,4183.205078,1.0
5497,4172.94873,4182.692383,1.0
5498,4170.384765999999,4182.94873,1.0
5499,4168.846191,4177.05127,1.0
5500,4159.871582,4167.692383,1.0
5501,4161.794922,4166.794922,1.0
5502,4170.769043,4171.538574,1.0
5503,4171.025879,4171.666504,1.0
5504,4167.563965,4169.102539,1.0
5505,4163.333496,4168.846191,1.0
5506,4160.384765999999,4169.487305,1.0
5507,4165.6411130000015,4170.0,1.0
5508,4169.743652,4166.025879,1.0
5509,4167.436035,4159.3588869999985,1.0
5510,4168.205078,4158.846191,1.0
5511,4167.563965,4166.538574,1.0
5512,4166.538574,4172.563965,1.0
5513,4168.7177729999985,4170.769043,1.0
5514,4167.179688,4166.794922,1.0
5515,4167.307617,4164.743652,1.0
5516,4171.025879,4163.974121,1.0
5517,4169.487305,4165.384765999999,1.0
5518,4166.025879,4170.897461,1.0
5519,4169.102539,4174.230957,1.0
5520,4173.205078,4170.769043,1.0
5521,4171.538574,4170.128418,1.0
5522,4169.230957,4172.179688,1.0
5523,4169.230957,4163.7177729999985,1.0
5524,4170.128418,4151.2822270000015,1.0
5525,4172.05127,4153.205078,1.0
5526,4173.205078,4159.102539,1.0
5527,4172.436035,4155.6411130000015,1.0
5528,4171.666504,4155.384765999999,1.0
5529,4173.846191,4167.94873,1.0
5530,4174.230957,4173.205078,1.0
5531,4168.589844,4159.487305,1.0
5532,4166.410156,4155.897461,1.0
5533,4170.512695,4174.743652,1.0
5534,4170.6411130000015,4185.128418,1.0
5535,4169.487305,4179.3588869999985,1.0
5536,4172.307617,4181.666504,1.0
5537,4172.05127,4189.3588869999985,1.0
5538,4169.871582,4189.3588869999985,1.0
5539,4171.025879,4188.846191,1.0
5540,4169.743652,4183.846191,1.0
5541,4168.333496,4183.333496,1.0
5542,4172.563965,4193.846191,1.0
5543,4167.307617,4192.94873,1.0
5544,4157.436035,4183.0771479999985,1.0
5545,4165.897461,4185.897461,1.0
5546,4169.871582,4190.128418,1.0
5547,4152.692383,4182.436035,1.0
5548,4152.563965,4180.897461,1.0
5549,4166.9228520000015,4187.436035,1.0
5550,4160.897461,4183.0771479999985,1.0
5551,4149.871582,4178.0771479999985,1.0
5552,4156.025879,4184.230957,1.0
5553,4164.743652,4189.230957,1.0
5554,4163.7177729999985,4185.256348,1.0
5555,4162.05127,4183.461426,1.0
5556,4165.256348,4186.2822270000015,1.0
5557,4170.256348,4187.563965,1.0
5558,4172.179688,4191.410156,1.0
5559,4169.3588869999985,4188.0771479999985,1.0
5560,4164.871582,4175.128418,1.0
5561,4167.179688,4175.0,1.0
5562,4172.94873,4183.205078,1.0
5563,4169.230957,4179.743652,1.0
5564,4166.025879,4171.410156,1.0
5565,4171.025879,4177.179688,1.0
5566,4171.666504,4185.0,1.0
5567,4169.487305,4184.102539,1.0
5568,4171.666504,4190.897461,1.0
5569,4172.307617,4197.179688,1.0
5570,4171.410156,4193.846191,1.0
5571,4172.179688,4191.538574,1.0
5572,4173.589844,4192.820313,1.0
5573,4174.743652,4189.230957,1.0
5574,4172.307617,4183.7177729999985,1.0
5575,4174.871582,4183.589844,1.0
5576,4181.666504,4185.897461,1.0
5577,4179.102539,4182.307617,1.0
5578,4172.563965,4171.2822270000015,1.0
5579,4173.7177729999985,4173.0771479999985,1.0
5580,4174.743652,4186.2822270000015,1.0
5581,4170.256348,4182.692383,1.0
5582,4170.384765999999,4171.9228520000015,1.0
5583,4171.666504,4169.230957,1.0
5584,4168.333496,4164.743652,1.0
5585,4166.025879,4164.230957,1.0
5586,4170.384765999999,4172.436035,1.0
5587,4174.743652,4174.615234000001,1.0
5588,4172.05127,4168.461426,1.0
5589,4172.692383,4168.461426,1.0
5590,4180.256348,4176.794922,1.0
5591,4186.2822270000015,4185.897461,1.0
5592,4183.974121,4193.205078,1.0
5593,4176.410156,4183.7177729999985,1.0
5594,4173.7177729999985,4168.846191,1.0
5595,4176.2822270000015,4177.307617,1.0
5596,4173.333496,4185.384765999999,1.0
5597,4170.128418,4172.563965,1.0
5598,4176.2822270000015,4166.2822270000015,1.0
5599,4176.2822270000015,4174.230957,1.0
5600,4168.205078,4172.820313,1.0
5601,4168.7177729999985,4168.205078,1.0
5602,4175.128418,4170.256348,1.0
5603,4172.563965,4169.615234000001,1.0
5604,4163.333496,4168.7177729999985,1.0
5605,4164.615234000001,4170.256348,1.0
5606,4172.692383,4173.0771479999985,1.0
5607,4168.846191,4171.410156,1.0
5608,4161.025879,4164.615234000001,1.0
5609,4166.2822270000015,4164.3588869999985,1.0
5610,4172.307617,4169.615234000001,1.0
5611,4171.794922,4169.615234000001,1.0
5612,4172.307617,4171.410156,1.0
5613,4173.846191,4181.410156,1.0
5614,4174.230957,4188.7177729999985,1.0
5615,4171.794922,4183.0771479999985,1.0
5616,4174.230957,4176.794922,1.0
5617,4184.3588869999985,4175.6411130000015,1.0
5618,4182.820313,4171.025879,1.0
5619,4172.307617,4166.538574,1.0
5620,4171.666504,4170.128418,1.0
5621,4176.666504,4174.487305,1.0
5622,4179.102539,4170.6411130000015,1.0
