EEG.O1,EEG.O2,MarkerValueInt
4172.436035,4184.615234000001,1.0
4177.179688,4185.384765999999,1.0
4186.410156,4184.102539,1.0
4181.9228520000015,4173.7177729999985,1.0
4171.794922,4168.205078,1.0
4179.230957,4180.6411130000015,1.0
4187.436035,4188.589844,1.0
4182.307617,4182.563965,1.0
4181.2822270000015,4182.692383,1.0
4180.384765999999,4183.333496,1.0
4175.384765999999,4176.538574,1.0
4177.179688,4173.846191,1.0
4174.743652,4173.7177729999985,1.0
4168.846191,4173.7177729999985,1.0
4176.9228520000015,4176.9228520000015,1.0
4188.846191,4177.820313,1.0
4188.333496,4173.205078,1.0
4185.512695,4169.3588869999985,1.0
4187.563965,4168.461426,1.0
4187.563965,4168.205078,1.0
4186.666504,4170.6411130000015,1.0
4187.179688,4173.589844,1.0
4183.333496,4170.128418,1.0
4175.769043,4163.461426,1.0
4178.589844,4161.666504,1.0
4183.461426,4161.9228520000015,1.0
4176.794922,4156.410156,1.0
4175.897461,4151.538574,1.0
4186.025879,4158.846191,1.0
4189.487305,4170.0,1.0
4184.743652,4170.128418,1.0
4184.102539,4166.2822270000015,1.0
4185.769043,4166.666504,1.0
4186.153809,4162.94873,1.0
4181.666504,4154.487305,1.0
4173.974121,4153.974121,1.0
4177.307617,4157.820313,1.0
4183.461426,4160.769043,1.0
4175.769043,4165.128418,1.0
4166.666504,4170.0,1.0
4174.743652,4174.615234000001,1.0
4186.9228520000015,4183.333496,1.0
4187.179688,4189.102539,1.0
4183.333496,4187.692383,1.0
4184.3588869999985,4192.563965,1.0
4189.230957,4203.846191,1.0
4189.871582,4205.0,1.0
4185.256348,4199.615234000001,1.0
4185.256348,4203.0771479999985,1.0
4183.974121,4202.307617,1.0
4172.436035,4191.025879,1.0
4170.128418,4191.2822270000015,1.0
4182.94873,4202.179688,1.0
4190.512695,4204.871582,1.0
4184.871582,4197.05127,1.0
4173.974121,4185.128418,1.0
4168.0771479999985,4174.3588869999985,1.0
4168.589844,4171.666504,1.0
4165.256348,4170.256348,1.0
4160.512695,4172.436035,1.0
4165.897461,4182.179688,1.0
4172.179688,4186.538574,1.0
4172.436035,4184.871582,1.0
4173.205078,4184.3588869999985,1.0
4172.692383,4180.769043,1.0
4169.743652,4170.769043,1.0
4166.025879,4166.794922,1.0
4159.615234000001,4169.615234000001,1.0
4156.2822270000015,4172.820313,1.0
4155.128418,4167.179688,1.0
4152.05127,4156.153809,1.0
4155.897461,4160.256348,1.0
4165.128418,4171.410156,1.0
4169.743652,4172.436035,1.0
4170.6411130000015,4167.94873,1.0
4167.307617,4166.9228520000015,1.0
4162.820313,4166.794922,1.0
4165.256348,4169.3588869999985,1.0
4168.846191,4177.563965,1.0
4165.384765999999,4184.615234000001,1.0
4161.153809,4184.615234000001,1.0
4157.179688,4175.0,1.0
4154.230957,4168.205078,1.0
4162.820313,4173.461426,1.0
4171.666504,4176.794922,1.0
4166.153809,4171.153809,1.0
4155.128418,4165.897461,1.0
4153.333496,4166.9228520000015,1.0
4157.94873,4170.897461,1.0
4156.794922,4171.153809,1.0
4154.743652,4167.563965,1.0
4157.820313,4166.410156,1.0
4160.128418,4167.94873,1.0
4155.897461,4166.794922,1.0
4153.7177729999985,4161.025879,1.0
4161.794922,4158.461426,1.0
4169.743652,4161.9228520000015,1.0
4166.153809,4166.794922,1.0
4158.0771479999985,4170.128418,1.0
4155.512695,4167.436035,1.0
4157.05127,4160.384765999999,1.0
4158.846191,4155.128418,1.0
4157.307617,4155.256348,1.0
4152.820313,4155.512695,1.0
4151.410156,4153.205078,1.0
4153.333496,4151.410156,1.0
4157.563965,4150.256348,1.0
4160.6411130000015,4151.2822270000015,1.0
4158.205078,4152.94873,1.0
4157.05127,4151.666504,1.0
4164.3588869999985,4150.256348,1.0
4170.6411130000015,4159.102539,1.0
4168.974121,4168.205078,1.0
4166.153809,4161.153809,1.0
4167.94873,4150.0,1.0
4173.589844,4151.410156,1.0
4174.230957,4156.9228520000015,1.0
4168.461426,4154.743652,1.0
4171.794922,4155.6411130000015,1.0
4184.743652,4166.9228520000015,1.0
4190.256348,4175.512695,1.0
4186.9228520000015,4172.692383,1.0
4186.794922,4173.0771479999985,1.0
4187.307617,4176.794922,1.0
4183.0771479999985,4171.410156,1.0
4181.666504,4168.7177729999985,1.0
4181.2822270000015,4170.384765999999,1.0
4180.769043,4170.0,1.0
4188.461426,4177.436035,1.0
4196.2822270000015,4193.205078,1.0
4190.512695,4201.9228520000015,1.0
4184.615234000001,4199.3588869999985,1.0
4188.461426,4193.7177729999985,1.0
4183.333496,4188.333496,1.0
4169.3588869999985,4184.3588869999985,1.0
4167.179688,4183.461426,1.0
4171.2822270000015,4185.512695,1.0
4173.384765999999,4186.512695,1.0
4175.487305,4187.512695,1.0
4177.589844,4188.512695,1.0
4179.692383,4189.512695,1.0
4181.794922,4190.512695,1.0
4185.512695,4187.692383,1.0
4185.512695,4184.230957,1.0
4183.974121,4182.820313,1.0
4189.230957,4188.974121,1.0
4189.615234000001,4193.205078,1.0
4183.846191,4190.0,1.0
4190.897461,4192.94873,1.0
4201.2822270000015,4200.897461,1.0
4193.333496,4197.179688,1.0
4181.2822270000015,4187.820313,1.0
4182.692383,4185.769043,1.0
4182.563965,4180.897461,1.0
4177.307617,4171.025879,1.0
4181.153809,4170.512695,1.0
4190.256348,4175.512695,1.0
4189.743652,4173.205078,1.0
4183.846191,4168.974121,1.0
4186.410156,4173.461426,1.0
4183.205078,4176.666504,1.0
4166.9228520000015,4176.2822270000015,1.0
4158.205078,4180.512695,1.0
4160.256348,4184.615234000001,1.0
4162.179688,4182.307617,1.0
4166.538574,4182.820313,1.0
4172.692383,4188.7177729999985,1.0
4172.563965,4188.846191,1.0
4171.410156,4187.692383,1.0
4172.692383,4189.102539,1.0
4170.897461,4185.384765999999,1.0
4167.563965,4182.436035,1.0
4165.128418,4183.846191,1.0
4166.153809,4182.179688,1.0
4170.128418,4182.436035,1.0
4171.025879,4188.846191,1.0
4166.9228520000015,4185.6411130000015,1.0
4166.410156,4176.153809,1.0
4170.128418,4175.769043,1.0
4168.7177729999985,4177.563965,1.0
4167.179688,4171.410156,1.0
4171.666504,4169.615234000001,1.0
4172.436035,4179.102539,1.0
4167.94873,4181.538574,1.0
4167.692383,4172.563965,1.0
4172.179688,4169.871582,1.0
4174.230957,4174.102539,1.0
4172.05127,4173.0771479999985,1.0
4171.2822270000015,4170.0,1.0
4172.563965,4171.153809,1.0
4165.897461,4171.153809,1.0
4152.307617,4162.563965,1.0
4151.153809,4153.461426,1.0
4163.846191,4158.589844,1.0
4171.025879,4168.0771479999985,1.0
4167.820313,4167.307617,1.0
4166.794922,4166.025879,1.0
4172.179688,4170.384765999999,1.0
4175.384765999999,4171.153809,1.0
4170.769043,4170.512695,1.0
4170.897461,4171.025879,1.0
4179.743652,4172.05127,1.0
4179.615234000001,4173.846191,1.0
4170.256348,4166.538574,1.0
4168.461426,4155.256348,1.0
4171.410156,4154.615234000001,1.0
4170.0,4158.0771479999985,1.0
4168.333496,4154.615234000001,1.0
4169.3588869999985,4152.563965,1.0
4169.871582,4154.3588869999985,1.0
4171.025879,4154.3588869999985,1.0
4169.487305,4155.128418,1.0
4168.461426,4154.102539,1.0
4165.384765999999,4150.897461,1.0
4157.563965,4149.230957,1.0
4157.692383,4152.179688,1.0
4167.179688,4158.333496,1.0
4173.333496,4168.461426,1.0
4173.589844,4178.461426,1.0
4175.256348,4185.512695,1.0
4181.025879,4194.871582,1.0
4182.563965,4200.256348,1.0
4175.6411130000015,4194.230957,1.0
4168.7177729999985,4185.897461,1.0
4170.256348,4185.128418,1.0
4170.769043,4186.794922,1.0
4168.7177729999985,4186.2822270000015,1.0
4170.384765999999,4182.179688,1.0
4170.769043,4173.846191,1.0
4168.0771479999985,4170.769043,1.0
4166.410156,4171.410156,1.0
