EEG.O1,EEG.O2,MarkerValueInt
4161.666504,4153.333496,3.0
4160.128418,4151.153809,3.0
4166.410156,4151.794922,3.0
4171.410156,4159.615234000001,3.0
4166.9228520000015,4158.205078,3.0
4165.128418,4153.333496,3.0
4169.615234000001,4155.769043,3.0
4172.436035,4158.7177729999985,3.0
4166.153809,4154.743652,3.0
4155.897461,4152.692383,3.0
4154.871582,4154.3588869999985,3.0
4164.102539,4155.128418,3.0
4168.7177729999985,4155.769043,3.0
4166.410156,4155.256348,3.0
4165.769043,4156.025879,3.0
4167.436035,4156.9228520000015,3.0
4168.461426,4153.7177729999985,3.0
4172.05127,4156.794922,3.0
4175.512695,4169.615234000001,3.0
4174.102539,4174.102539,3.0
4170.769043,4169.102539,3.0
4169.3588869999985,4178.333496,3.0
4171.794922,4190.897461,3.0
4179.102539,4188.205078,3.0
4185.512695,4185.256348,3.0
4184.871582,4188.0771479999985,3.0
4184.230957,4185.0,3.0
4182.563965,4181.666504,3.0
4176.153809,4184.3588869999985,3.0
4178.0771479999985,4183.7177729999985,3.0
4182.436035,4182.179688,3.0
4174.3588869999985,4179.3588869999985,3.0
4171.153809,4172.436035,3.0
4182.307617,4176.666504,3.0
4189.230957,4186.9228520000015,3.0
4190.512695,4186.153809,3.0
4198.333496,4185.0,3.0
4202.94873,4191.025879,3.0
4193.7177729999985,4187.820313,3.0
4184.871582,4183.0771479999985,3.0
4186.2822270000015,4189.615234000001,3.0
4184.230957,4187.692383,3.0
4178.333496,4178.205078,3.0
4180.384765999999,4180.128418,3.0
4182.563965,4184.102539,3.0
4178.846191,4181.153809,3.0
4180.256348,4182.307617,3.0
4184.230957,4189.230957,3.0
4183.589844,4190.897461,3.0
4184.871582,4189.3588869999985,3.0
4186.2822270000015,4192.94873,3.0
4183.589844,4196.538574,3.0
4181.666504,4193.333496,3.0
4183.205078,4187.692383,3.0
4184.102539,4185.384765999999,3.0
4181.794922,4182.820313,3.0
4181.794922,4180.384765999999,3.0
4183.846191,4181.9228520000015,3.0
4185.0,4185.0,3.0
4184.487305,4188.461426,3.0
4183.333496,4188.205078,3.0
4183.846191,4182.94873,3.0
4185.897461,4180.128418,3.0
4185.0,4184.230957,3.0
4182.05127,4184.487305,3.0
4183.0771479999985,4178.589844,3.0
4183.461426,4176.153809,3.0
